bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,0e10c891-9b92-4d95-902a-c0d32b1cb47c,1633625398511,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,36e0ed85-874e-4ae6-abfa-836014a6654d,1633625398574,13.4301368,52.4956474,2.124221,0.045645647,-1.7896665,-1.6586971,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,f168ddd6-8069-4077-8f38-658848c36241,1633625398624,13.4301368,52.4956474,2.124221,-1.0195305,-0.52518725,2.414567,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,e9e6dc93-1cae-474f-ad0e-f2b51d596d8e,1633625398690,13.4301368,52.4956474,2.124221,-0.34915987,-0.982703,-3.119882,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,82d21cb2-9edb-4685-b6a5-efd08db7ba7c,1633625398741,13.4301368,52.4956474,2.124221,2.571407,3.023603,-2.4867353,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,c70daec9-ea34-4ce0-9d30-73562247c718,1633625398807,13.4301368,52.4956474,2.124221,-4.6719465,-7.3909645,1.3824472,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,04120e08-8d39-4afe-9c1a-448c5e95051f,1633625398858,13.4301368,52.4956474,2.124221,3.4318948,6.228364,-3.119307,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,c8e4f647-6e60-4bd8-beda-a5b35b224a9e,1633625398908,13.4301368,52.4956474,2.124221,-3.716752,-9.627559,11.088915,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,7e24431a-23ba-4860-8069-303995982ebf,1633625398958,13.4301368,52.4956474,2.124221,4.360845,2.3342805,1.0724821,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,b3dfddd1-935f-47f1-b4b2-ec4884bd76e9,1633625399024,13.4301368,52.4956474,2.124221,0.7295077,6.3976226,-7.0194798,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,1518af68-eda9-4fb4-8fea-69bf5f036e86,1633625399074,13.4301368,52.4956474,2.124221,2.7090816,2.0849257,-0.84975624,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,3b33ac5e-e1b0-4ec7-b29e-5e7254316af2,df6500ef-ac8f-4efa-8db7-930feb7e74fa,1633625399124,13.4301368,52.4956474,2.124221,-1.8534813,-3.5849063,0.6559162,on bike mount,cyclo cross,True,sett,intermediate
