bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,47f23d4b-31b9-4b4a-9274-0ce139e0cb77,1632392725941,0.0,0.0,0.0,-0.40301943,1.4170293,-3.5718956,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,32597c28-436a-4bda-9852-c08def9f35f5,1632392725992,13.4132398,52.4729444,5.104328,2.0925264,2.6884046,-5.6906576,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,6239e8d7-f2a2-4db2-89f2-b8d2bc512de3,1632392726060,13.4132398,52.4729444,5.104328,5.1993713,0.53598833,-1.0087891,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,6b93534e-4933-471b-ac21-6b8eb80f6d8f,1632392726110,13.4132398,52.4729444,5.104328,0.0031007528,1.3170996,0.97424126,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,5bb1b50b-0c6c-4668-88c4-7207f0b9ebdb,1632392726176,13.4130885,52.4729192,5.0617266,1.5781878,2.2688763,-1.4480567,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,7074dd3b-2221-457e-bd26-2cb825a4bf3f,1632392726226,13.4130885,52.4729192,5.0617266,1.8701276,0.90186787,-1.8965364,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,3ff92907-531f-45cb-a4bd-def77975ef17,1632392726276,13.4130885,52.4729192,5.0617266,-1.3195179,1.3449292,-1.7361431,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,d485ef69-0639-41ef-b586-99e930501019,1632392726326,13.4130885,52.4729192,5.0617266,0.21381915,-1.7876282,0.7868357,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,01cc68b4-1782-4dac-8034-29a3c2798771,1632392726376,13.4130885,52.4729192,5.0617266,2.313956,2.719675,-1.3640242,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,1a5a5de9-40c1-4f1e-ba4d-991353cd6574,a6133932-34c6-4d4a-a58f-dc518dd12651,1632392726443,13.4130885,52.4729192,5.0617266,-2.7991285,-3.3759017,0.511467,on bike mount,cyclo cross,True,paving stones,intermediate
