bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,9f5e2032-6a29-4e72-8069-b816416702f8,1633860648419,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,7a4cd1a7-1b4c-4ede-b395-f75ada0712f5,1633860648522,13.4750402,52.4872792,0.0,4.646282,5.030443,-6.344964,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,8e979730-6d30-4d12-87b4-0e8162aa5104,1633860648572,13.4750402,52.4872792,0.0,6.2552147,6.7064447,-2.3566375,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,a51f53ff-ddc8-4333-934e-982da278aeb8,1633860648622,13.4750402,52.4872792,0.0,-2.3802207,7.37031,0.54043794,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,82901763-d5a3-4cea-8ba5-26e41b38f8cf,1633860648671,13.4750402,52.4872792,0.0,-0.11054033,1.5102711,-12.337017,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,ae3f4260-e3f1-4c07-bfc1-e7864ce669e6,1633860648721,13.4750402,52.4872792,0.0,-7.6951666,-14.531069,18.358967,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,7c165514-7820-4c95-bca4-7b0d8b19af7f,1633860648772,13.4750402,52.4872792,0.0,-0.6612133,0.7098789,-3.067573,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,fecaebc3-4ebc-4ced-af5c-402e9a2e8c66,1633860648823,13.4750402,52.4872792,0.0,-0.24251309,7.6687346,1.8345315,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,53384e7e-0bd7-4589-a4db-557a940dac07,1633860648873,13.4750402,52.4872792,0.0,7.2425723,0.13353825,2.4626412,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,a632e233-0c76-4039-8d13-b7da2194682e,1633860648922,13.4750402,52.4872792,0.0,2.0995955,-7.2617483,-0.9748416,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,283371a3-c8b4-4aeb-9fd4-65cbc75e0108,1633860648972,13.4750402,52.4872792,0.0,-4.4550776,-6.0059676,8.783595,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,ddedea68-d856-4748-9b37-07b9c01b41a6,1633860649022,13.4750402,52.4872792,0.0,-0.1483064,4.7286797,4.359769,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,3f94ae37-89aa-46c3-83a5-fbf24fab090b,1633860649072,13.4750402,52.4872792,0.0,-0.90997,2.8593826,-6.2655783,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,6dac03df-2644-4ca0-bb94-c1ca17801005,1633860649123,13.4750402,52.4872792,0.0,-1.5593836,-2.4597807,-4.1208715,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,944bd301-c298-4a82-b0d0-63815af034fc,1633860649173,13.4750402,52.4872792,0.0,-2.8796825,-8.0943165,6.817315,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,f6962622-ebbc-42b5-a6ad-61a1064cf09c,1633860649223,13.4750402,52.4872792,0.0,-0.06074196,-4.2238503,13.742083,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,bd75f9b1-41ab-4827-b23d-bab55d241b74,1633860649274,13.4750402,52.4872792,0.0,2.4717236,-0.35615444,9.047826,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,37fef21b-47e0-40cf-a851-10e7b919abf1,1633860649325,13.4750402,52.4872792,0.0,2.335292,6.1383057,-5.04099,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,c4efdc1f-de9a-4f4c-8c7b-21a7e5c5507b,1633860649375,13.4750402,52.4872792,0.0,-6.2520685,-10.507174,8.895415,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,e04c5069-be6e-4ee7-b445-d9dc7d897c09,1633860649426,13.4750402,52.4872792,0.0,-2.336974,-27.233908,-0.909508,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,21596ed4-e8a3-4e96-897e-becd8e4a50e9,1633860649474,13.4750402,52.4872792,0.0,5.6145363,4.4839478,-10.099234,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,ee88a062-ea0d-4bd2-9c74-18b5918bbc6a,1633860649524,13.4750402,52.4872792,0.0,-6.6027694,-3.8515143,18.371012,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,a0eb552a-4760-472f-ab1a-61c6a99c1470,1633860649574,13.4750402,52.4872792,0.0,-2.2455509,5.191824,4.4519377,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,a2cd6455-c928-4f46-8920-c586b4891137,1633860649625,13.4750402,52.4872792,0.0,-2.275658,-3.7144165,12.425726,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,a6dfeabd-2d5f-45fe-b616-ae533a245935,1633860649676,13.4750402,52.4872792,0.0,1.3308678,-16.904833,4.2746716,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,068ee373-4195-4c71-8c5d-50f83cbc32de,1633860649725,13.4750402,52.4872792,0.0,-2.5459282,-2.4254847,-0.42812443,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,66c5657a-912f-4a0e-a22d-c6b112359ace,1633860649775,13.4750402,52.4872792,0.0,-4.5106983,-0.2978258,4.2467117,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,14dd1d1a-1f24-4c65-950f-5744575c151a,1633860649825,13.4750402,52.4872792,0.0,1.2762296,-5.1118336,15.113814,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,ee0b8ce3-1c55-4c52-a617-719307359b8c,1633860649875,13.4750402,52.4872792,0.0,1.3782635,-9.881193,2.2011662,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,18e257d2-3d72-44a2-8bc6-23198cf413cf,1633860649925,13.4750402,52.4872792,0.0,-6.525928,-1.9640307,25.524252,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,e4b78c6d-cc9a-4927-9d54-e4c9b405df79,1633860649975,13.4750402,52.4872792,0.0,-1.0961537,-6.6276174,23.223763,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,a2b64215-2bce-4606-a9e8-82dbd875e96a,1633860650025,13.4750402,52.4872792,0.0,-4.553904,-2.8166375,-4.852947,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,60223550-52f6-4f46-af53-fe1d74d42cad,1633860650075,13.4750402,52.4872792,0.0,-2.4506245,1.3200655,-5.512938,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,8d12d8ef-6d0e-4b5d-9184-3bf7361b71e6,1633860650125,13.4750402,52.4872792,0.0,-3.4572003,1.441639,-6.985713,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,1cd19b8b-7073-44a4-824c-7b879cdd0037,1633860650174,13.4750402,52.4872792,0.0,1.2597332,-7.802753,23.029562,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,961bbffe-3072-4109-b48c-f8f517a873ae,1633860650224,13.4750402,52.4872792,0.0,-0.99707294,-14.175873,-9.625878,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,76c0fdc4-b806-4b8a-b0ef-5ef123ad285b,1633860650274,13.4750402,52.4872792,0.0,0.7691755,0.5982065,-10.698157,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,4ff50762-fd36-46af-b79d-4481f7e2147c,1633860650324,13.4750402,52.4872792,0.0,-0.43579605,-8.338646,9.621443,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,b664bd62-bba7-4d1d-b26a-9716b05cf53c,1633860650375,13.4750402,52.4872792,0.0,-0.24438018,-3.7224674,8.345677,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,e414593c-4772-493d-8c2d-5abef1ef3336,1633860650424,13.4750402,52.4872792,0.0,-0.6851151,-12.172958,0.26828098,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,0cf5c7d7-de49-43e0-a4fd-e630a9275b41,1633860650474,13.4750402,52.4872792,0.0,-0.8180963,-0.07123661,0.3762865,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,dc22e9a3-1a44-4f3c-a168-60631ee861fa,1633860650524,13.4750402,52.4872792,0.0,0.34252954,-1.9706292,14.322564,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,54828931-ed3b-409e-96fc-d67fc541b6f5,1633860650575,13.4750402,52.4872792,0.0,-1.2227973,-7.9875994,14.519547,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,28c9fb40-1caa-461e-8131-7c0ae6a97863,1633860650625,13.4750402,52.4872792,0.0,-2.359772,-6.02537,-0.7694888,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,a49cfe2e-d349-4bfe-b282-cf6467365d49,1633860650675,13.4750402,52.4872792,0.0,3.390266,-4.89762,-0.77479386,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,1386b950-33d3-4b1d-b267-79b443f37b21,1633860650725,13.4750402,52.4872792,0.0,0.40924606,-0.057759285,-1.3691894,on bike mount,cyclo cross,True,fine gravel,good
