bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,54af955e-839a-49c7-9028-cccebe5fdbf7,1644236990985,0.0,0.0,0.0,-0.9138669,-1.4271753,7.3957167,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,e454d81a-8c1a-4429-ba5e-12b11a278b9a,1644236991041,13.3632107,52.5110288,0.006990488,-0.8579904,-0.318076,-1.6481366,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,1ed65e91-f665-4e7b-af48-13bb1ff4984d,1644236991097,13.3632107,52.5110288,0.006990488,-1.4252157,0.9064512,0.12754917,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,5d3491ca-6f9a-4e87-9f42-c40ad39e7f11,1644236991152,13.3632107,52.5110288,0.006990488,-0.76029193,-0.98401976,2.2320776,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,cdbf60c0-ba8f-4422-bd46-888b95618f86,1644236991207,13.3632107,52.5110288,0.006990488,0.35668617,-0.5966778,-2.2550406,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,5511a2e2-34f3-4095-8563-0f245f614483,1644236991263,13.3632107,52.5110288,0.006990488,0.45703474,-0.6129346,-1.5516939,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,1856314b-c41c-4b80-b9c6-bbddf8a05612,1644236991318,13.3632107,52.5110288,0.006990488,-1.8456532,-2.3610802,5.4346304,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,3de6c682-5ed0-4fb9-8988-4c4d26748196,1644236991374,13.3632107,52.5110288,0.006990488,1.9001055,-0.84155726,-5.355426,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,3c9d1406-867d-4679-843a-c9225c1b2c0d,1644236991429,13.3632107,52.5110288,0.006990488,-0.5558065,-0.24136376,5.651417,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,34ac6db6-42db-41e6-a893-3debda4d98e8,1644236991486,13.3632107,52.5110288,0.006990488,0.7254352,-0.013081789,-2.1222253,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,a536698d-bd7c-4c71-92b3-07ec2bfaf6c0,1644236991541,13.3632107,52.5110288,0.006990488,-0.6458234,-0.6217017,-0.27636528,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,d0f8c8a6-f15f-4303-991b-89725abd7d80,1644236991597,13.3632107,52.5110288,0.006990488,-1.0918181,-2.0015256,2.3840818,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,9b1c9697-92f2-4898-a89c-9c16fff08151,1644236991652,13.3632107,52.5110288,0.006990488,0.3580262,0.040721416,-2.064435,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,40d9195b-3ada-4bca-80fc-6b2b48e2d27b,1644236991708,13.3632107,52.5110288,0.006990488,0.1861951,-1.4513111,1.7366896,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,5d3f7975-b895-4fc9-aa2c-b8b97c644d9b,1644236991764,13.3632107,52.5110288,0.006990488,0.46675682,0.6756954,0.7557554,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,8e9e96df-1afa-47d1-92ed-fc093c6d9250,1644236991819,13.3632107,52.5110288,0.006990488,-1.241648,1.1579199,1.907548,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,ae50a4fd-f83d-462f-9a6f-064ebd6685fc,1644236991875,13.3632107,52.5110288,0.006990488,0.2094056,-0.21450663,-0.7123928,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,02ed59ef-3c06-411d-ba98-35f37e3980b7,1644236991931,13.3632107,52.5110288,0.006990488,-0.25287083,1.1813974,4.0161734,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,00aaa29e-1247-40d0-bcf5-381f3571f7e4,1644236991985,13.3632107,52.5110288,0.006990488,0.22027403,2.4039974,-2.0689516,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,2ab06871-be0f-4012-839d-b54ae82da192,1644236992041,13.3632107,52.5110288,0.006990488,0.099806786,-2.431431,3.57121,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,36dc71ea-2a3c-4460-99f2-db25b8a00c89,1644236992098,13.3632107,52.5110288,0.006990488,-1.5584385,-1.5475292,0.20074177,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,85536f51-6a3c-431d-95fc-d8c532d0e87f,1644236992152,13.3632107,52.5110288,0.006990488,-1.1007603,-0.13358998,1.7536469,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,b31c0e7a-434e-4759-988c-4a64a8eb794c,1644236992209,13.3632107,52.5110288,0.006990488,-0.5813344,-1.8277564,4.56448,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,f81d01d9-48ef-483d-ae60-173f227f1e6a,1644236992265,13.3632107,52.5110288,0.006990488,0.50397086,2.110817,1.0373907,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,6f52ecf3-21bd-4b12-b522-f2266ab57d3c,1644236992320,13.3632107,52.5110288,0.006990488,-1.101332,-1.2236798,-0.072211266,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,12cac2d9-a1ea-4363-9d09-10f69f701374,1644236992384,13.3632107,52.5110288,0.006990488,-0.31084484,0.90006113,-1.1907263,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,1a8699e3-9ea5-45bc-9cc7-3df5b1abfdf7,1644236992437,13.3632107,52.5110288,0.006990488,-1.5267737,-4.2042284,1.1671314,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,82ff900e-8622-45c5-a2e3-14acbb5d0514,1644236992492,13.3632107,52.5110288,0.006990488,0.61360455,0.2838068,-1.3058162,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,3a22ca3f-b1ad-49f4-bf78-3e09c470fb4d,1644236992549,13.3632107,52.5110288,0.006990488,1.7558802,2.336318,-9.437264,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,3b107d0f-c2a8-4a60-8d82-bb2e33af090b,1644236992603,13.3632107,52.5110288,0.006990488,-0.4946881,0.036829233,8.69523,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,60383fe7-c07a-4626-b563-81af2c937d14,1644236992659,13.3632107,52.5110288,0.006990488,-2.5980422,-2.0238764,1.8873119,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,5d758403-ba43-413f-9651-6f1937d61e39,1644236992714,13.3632107,52.5110288,0.006990488,1.1355112,0.60213137,-1.2963071,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,7a0a8566-e561-4ba8-aa75-193c8c243a79,1644236992776,13.3632107,52.5110288,0.006990488,1.1534992,0.56393147,-1.0021524,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,41dd33b2-c2f7-4888-9a8a-528a1f718ac5,1644236992830,13.3632107,52.5110288,0.006990488,0.15885061,-0.5329044,2.5916271,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,c0e316cc-faee-4bd7-9d3f-77284beac044,1644236992885,13.3632107,52.5110288,0.006990488,-0.50307333,0.67522573,0.63162327,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,dfc4be62-e01a-4ff6-996f-ba32633c3399,1644236992941,13.3632107,52.5110288,0.006990488,0.43920997,-0.80987453,1.9786711,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,946bc283-7202-4f1f-afb1-e59f0c287f5f,1644236992997,13.3632107,52.5110288,0.006990488,1.4792942,0.6249287,-3.197607,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,5aff1f80-5199-4765-a0ce-b3e67a580793,58df7bd5-ae0d-43f2-a298-2e309af8dbf1,1644236993053,13.3632107,52.5110288,0.006990488,-0.9021311,-1.5897238,0.42509747,on bike mount,cyclo cross,True,fine gravel,good
