bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,bd71c696-15c3-46e7-ab37-632bf2b3bad5,1633530914055,0.0,0.0,0.0,3.067909,0.99388003,-4.2089434,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,7b0f86b9-a5a8-40ed-b2ac-c161e23727f1,1633530914104,13.4330869,52.4989346,2.0856113,-2.1379046,3.5975485,-0.388175,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,aa30ba02-ce38-4a70-b955-3784a4378d2f,1633530914155,13.4330869,52.4989346,2.0856113,-0.67729497,-3.664059,0.041074753,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,b6b26678-fb78-4f48-aac0-751c428d10d9,1633530914205,13.4330869,52.4989346,2.0856113,-2.4992568,-1.5819455,3.0695696,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,83684223-9833-4c1f-bb5a-b4abe066630d,1633530914255,13.4330869,52.4989346,2.0856113,0.9776561,0.9230423,-0.90583277,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,07b3ac61-2618-470a-bb36-6b5749bbc119,1633530914304,13.4330869,52.4989346,2.0856113,-3.218913,-2.2772222,7.21875,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,d9a2a6a5-471b-449e-85d7-67ccb4bf7c36,1633530914356,13.4330869,52.4989346,2.0856113,3.889058,2.0755582,-2.8518052,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,1991517c-30ec-4ef9-a5de-e8c9d5804f69,1633530914406,13.4330869,52.4989346,2.0856113,-6.158186,-9.448811,1.474597,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,3583089e-e515-4ea8-ab19-b20afdd61d81,1633530914455,13.4330869,52.4989346,2.0856113,3.915046,3.053061,-0.63738203,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,d126e256-4ff2-4638-981b-fac95ab39535,1633530914506,13.4330869,52.4989346,2.0856113,-0.26887345,-0.80116796,-2.127562,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,0dc2a75a-695b-45d8-ac82-2f14db884129,1633530914556,13.4330869,52.4989346,2.0856113,0.14491057,-2.6440156,6.723324,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,2dce0de6-f54c-41b0-a4bf-62f5a0bd62da,1633530914623,13.4330869,52.4989346,2.0856113,-1.6036563,-1.5961313,3.672596,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,5156bc68-9450-4b7c-9067-7a1e2a4141be,1633530914689,13.4330869,52.4989346,2.0856113,5.4775476,5.9316425,4.1193924,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,8f193e82-e73c-4829-9546-762292eba1d7,1633530914739,13.4330869,52.4989346,2.0856113,-1.2961694,-3.1062236,-2.191669,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,3375daef-0754-4c08-8f8d-e3b2ede930eb,1633530914789,13.4330869,52.4989346,2.0856113,-1.5375376,6.0298977,4.8515368,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,7fae5417-9c76-465a-a7b8-71372b663dc0,1633530914840,13.4330869,52.4989346,2.0856113,0.24071932,3.6086817,-2.8632188,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,3b528139-875a-470a-bbc1-7ea239a6a76b,1633530914890,13.4330869,52.4989346,2.0856113,-1.6916307,-6.6574244,5.5734053,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,af63cd2f-7494-408e-93b5-5350a1880732,0e597678-cc6b-4016-a8f3-11df77dd29b1,1633530914956,13.4330869,52.4989346,2.0856113,0.3096875,3.3499618,-4.6310406,on bike mount,cyclo cross,True,sett,intermediate
