bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,f70ad6c0-2a58-4602-ae7e-e9a3faaf2c79,1632238786045,0.0,0.0,0.0,0.9133744,1.2576704,1.3594351,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,6abfdf4f-fc86-452b-a44c-d64eda3898f7,1632238786097,13.3892112,52.4727794,4.3439856,4.541469,1.2946649,0.50379753,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,10104a59-5940-4515-b03b-f031fb7d1611,1632238786147,13.3892112,52.4727794,4.3439856,-2.9370532,-0.59095156,4.393511,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,4b4ea054-bf11-4cf0-8037-2345a379efe3,1632238786198,13.3892112,52.4727794,4.3439856,6.068732,-2.8676496,-0.17158699,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,b61f6d54-d1bc-4f10-aebd-7919fb954a7a,1632238786265,13.3892112,52.4727794,4.3439856,4.4659786,0.24972796,-1.5905833,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,5b601ebe-77c7-4561-82ad-4b70258e091d,1632238786331,13.3892112,52.4727794,4.3439856,-2.4969485,0.6574795,-0.43268204,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,0b1dc55b-ba23-4f08-a012-b3ebbd6c08c9,1632238786398,13.3892112,52.4727794,4.3439856,1.4259257,6.5877023,-2.4327683,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,71828b4a-fee6-4fe0-99cc-d048a15e3152,1632238786465,13.3892112,52.4727794,4.3439856,-2.9345,2.7873561,-5.349798,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,138d725b-7988-4625-8ad8-7c2cf681586d,1632238786532,13.3892112,52.4727794,4.3439856,2.9326866,0.9940746,-5.5666285,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,c4b34953-b0e5-4910-9f8a-e6813e3a9759,514fb423-eb70-4ae7-b253-1d00516eea33,1632238786598,13.3892112,52.4727794,4.3439856,0.6197208,-1.1226602,-1.8240585,on bike mount,cyclo cross,True,paving stones,intermediate
