bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,18033015-1acb-4783-a6ef-d8698245cc7c,1626969315246,0.0,0.0,0.0,-0.7865367,-0.22803801,0.36011505,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,3f717784-7989-4f75-8cbf-8dd2dd80e3cf,1626969315314,13.6585724,52.4749151,0.0034505227,0.7853761,-0.5065793,0.23200321,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,1b686382-c5f2-4af9-941e-26bf598d975b,1626969315380,13.6586613,52.4747538,0.27351227,0.7076317,-0.23985198,0.25557804,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,9b480ca4-3098-43ca-87f4-35ec2787d58c,1626969315447,13.6586613,52.4747538,0.27351227,1.2856269,-0.5277351,0.08547497,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,de4d3a79-99a0-4d8c-b20f-6c49507934c1,1626969315512,13.6586613,52.4747538,0.27351227,0.11130524,-0.23715997,0.097743034,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,b0563df3-d576-4275-8e2b-e4a6f08f7737,1626969315578,13.6586613,52.4747538,0.27351227,0.37299347,-0.7621303,4.067854,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,c43850c6-bd9a-445c-ad92-20de49dac8e1,1626969315645,13.6586613,52.4747538,0.27351227,0.27670717,-0.27668244,2.0021906,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,0f7b25b1-37e2-46cb-bac6-fc00b0acb2c4,1626969315712,13.6586613,52.4747538,0.27351227,1.102154,-0.6687889,3.6789007,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,b03373f5-b267-4796-953d-bcc55f272365,1626969315762,13.6586613,52.4747538,0.27351227,1.5842195,-0.14601123,-2.0581112,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,0c33ae57-9d37-4ab5-8608-8cbc225328a6,1626969315828,13.6586613,52.4747538,0.27351227,0.6495226,0.10943961,-0.64941406,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,0231dea4-7f80-4405-94ff-313e5561bda7,1626969315895,13.6586613,52.4747538,0.27351227,0.07256091,-0.08555478,-0.3390522,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,b5eda8f2-aa4d-439b-a0b3-aa989a08cb1a,1626969315961,13.6586613,52.4747538,0.27351227,-0.008162737,0.1420213,-0.012007713,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,8a57c367-6a44-4862-b6a9-3d66f74ada0f,1626969316013,13.6586613,52.4747538,0.27351227,0.30364442,0.31062698,0.0484972,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,c89dcb67-b22a-40d6-9613-c03919a6f599,1626969316079,13.6586613,52.4747538,0.27351227,-0.21215415,0.1437465,-0.09785175,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,16a8b9de-0ced-4da7-b48b-0a309b39092d,1626969316146,13.6586713,52.4747544,0.8603119,0.20180333,0.1339246,-0.28765583,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,0be200e0-b7b2-443d-94d7-e9857da4d51f,1626969316213,13.6586713,52.4747544,0.8603119,0.426369,-0.22059125,0.23747921,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,3252068e-9bd0-4db7-90a9-ffeb99848b1c,1626969316277,13.6586713,52.4747544,0.8603119,0.8582378,0.7443408,-0.7227068,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,870ca5c9-7d0b-47d9-90b2-19f304d98a01,1626969316345,13.6586713,52.4747544,0.8603119,1.1070197,-0.2475298,1.9530745,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,1141ecb8-c185-4195-a011-986f26e8a6e6,1626969316413,13.6586713,52.4747544,0.8603119,0.6141444,0.8359641,-0.5387449,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,dd2d1269-d3c9-48be-a3fa-3d65538dec9f,1626969316488,13.6586713,52.4747544,0.8603119,-0.6926688,1.680496,0.6715679,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,8a681e2e-d66c-47df-82bf-eb22e643b580,1626969316538,13.6586713,52.4747544,0.8603119,0.63150156,0.560539,-1.41366,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,85fc4f0b-1a6c-49a1-9cbe-2aaf515cda60,1626969316588,13.6586713,52.4747544,0.8603119,4.9621787,-4.5882077,2.4690876,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,bff746c0-2abb-4609-a0ef-7bab7cb4f81d,1626969316639,13.6586713,52.4747544,0.8603119,3.062054,0.84001684,-1.7727842,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,82e276e7-f48a-4214-b549-c0485f42268a,1626969316689,13.6586713,52.4747544,0.8603119,-1.1331228,-0.03999424,0.8317919,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,7baa3ee2-94ce-4e40-bd74-0223c5c8eda5,1626969316739,13.6586713,52.4747544,0.8603119,-2.8188467,0.48361242,0.5647392,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,7c6ff0ec-427b-4268-b470-5f05ae261071,531f4551-31aa-44cd-b69a-208c73a938a2,1626969316789,13.6586713,52.4747544,0.8603119,1.4270433,2.94923,-1.6058874,on bike mount,road bicycle,False,grass,bad
