bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,20f97236-76f3-45b5-9b66-bc2af0c185e1,1633161015460,0.0,0.0,0.0,-0.03449489,2.6752706,6.4816856,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,8fcb5247-35cc-4544-ba2e-0f5429ba3bf0,1633161015515,13.8239553,52.419053,2.4607573,-0.7882881,-0.77928686,1.3012362,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,f855a1a6-ea55-4c72-afd5-8ebbff0d0b5d,1633161015564,13.8239553,52.419053,2.4607573,2.0450745,2.4902558,-5.0061727,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,ca9d511b-4571-4f60-96fc-3338e290e96e,1633161015614,13.8239553,52.419053,2.4607573,-3.585046,-2.2674942,-0.82153225,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,31ed653f-0abb-4b9c-b07b-1f74e2e4947b,1633161015664,13.8239553,52.419053,2.4607573,-0.43526497,-1.2686636,-0.9845395,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,cae2c182-6cbb-40df-ae6b-c15e1f3abe2c,1633161015715,13.8239553,52.419053,2.4607573,-1.0159528,0.13357425,0.22913456,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,2b2d0503-21db-4fd9-9fc1-0a07fab6d38e,1633161015765,13.8239553,52.419053,2.4607573,-1.6473176,-0.18070698,-1.4632578,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,23ef1155-259c-4ea0-ad43-cf2a51761939,1633161015815,13.8239553,52.419053,2.4607573,-0.95178473,-1.1114388,0.78622055,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,07e8c173-84ef-4189-9095-ac8e3c1b3c6e,1633161015865,13.8239553,52.419053,2.4607573,0.13639575,-4.3028817,2.9915514,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,f66eb777-16bc-4b1b-bc07-15ae54c31071,1633161015916,13.8239553,52.419053,2.4607573,0.43873948,-1.365953,1.5977278,on bike mount,cyclo cross,True,asphalt,excellent
