bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,8c86ebc7-51bb-4387-913d-096826f09172,1634556956012,0.0,0.0,0.0,0.3614561,2.0274801,-2.0396895,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,4c802463-759e-4963-a8af-81b9e60dbeb4,1634556956064,13.4798358,52.4843429,5.4940095,-0.7899979,-5.977485,-0.3852129,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,af63b555-2d3e-4c1e-b1ef-97fbf0f171e6,1634556956114,13.4797942,52.484387,5.334977,-1.5273048,-4.9855857,-0.6711197,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,427c92bd-6c46-46d0-994e-8fcd17053f9f,1634556956181,13.4797942,52.484387,5.334977,-1.5143778,-3.1853638,-0.91485214,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,98a78a60-ebe0-4583-992a-47e08e45486b,1634556956248,13.4797942,52.484387,5.334977,0.9748075,-0.7237716,-1.9443994,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,30229d6b-e000-4dc4-bcf7-893d25f288d6,1634556956315,13.4797942,52.484387,5.334977,2.8490863,-0.63851404,0.72094345,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,6cb5a4ad-4a2f-422c-80e6-150037deafc8,1634556956365,13.4797942,52.484387,5.334977,-0.4953643,-3.1586108,2.6926756,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,9c06f135-517c-4c36-b997-a50ddd1f1d7f,1634556956432,13.4797942,52.484387,5.334977,-3.8575797,-1.9882889,1.4760551,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,577af0d3-ef96-4fb0-bc5a-792e059f7d4a,1634556956499,13.4797942,52.484387,5.334977,3.1442738,-3.792176,-1.1922832,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,69f4f5ea-cfb1-4c62-9d2d-c3aa7e106ff0,1634556956549,13.4797942,52.484387,5.334977,2.002877,-0.5507517,2.7753296,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,64edfca9-10dd-4381-b526-670b06dfa31d,1634556956599,13.4797942,52.484387,5.334977,1.5712619,-2.2665753,-0.34053898,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,a404c55d-f5c0-472d-b76e-e9a5c04c7a0e,1634556956649,13.4797942,52.484387,5.334977,0.96040136,-4.6932817,-1.5207677,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,bc189e22-ab6b-4280-bacd-d8131af5a803,1634556956715,13.4797942,52.484387,5.334977,1.4341389,0.25585318,2.189703,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,af837553-36b5-405e-b600-07125093bc3b,1634556956766,13.4797942,52.484387,5.334977,2.5117555,0.1289854,3.1947565,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,e8c3c5ff-b6e8-4253-9d64-2d71a19e953f,1634556956816,13.4797942,52.484387,5.334977,1.7663145,3.33982,0.9884653,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,fa97c7e0-b737-4397-96b5-e26c2f40b67d,1634556956883,13.4797942,52.484387,5.334977,0.09633303,-2.4597192,-1.2577682,on bike mount,cyclo cross,False,mixed,mixed
14664d53-e581-4930-bde7-44fd9f3d8709,860224c2-aeac-4980-9705-6e634496ba7d,c90fe62f-26a1-4b09-a0bc-6a4e517a6731,1634556956949,13.4797942,52.484387,5.334977,-0.5671966,-0.85902786,-3.552838,on bike mount,cyclo cross,False,mixed,mixed
