bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,b7880a60-9e1e-4f8c-996b-3bc0ec23ff93,1627403742552,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,2417cd67-7b9c-4feb-8205-737ae94b32fe,1627403742707,13.3881532,52.4540977,0.0,-0.13053346,-0.033236027,-0.033735275,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,eab64d56-4819-4e9f-85eb-07e5b34d3a30,1627403742757,13.3877632,52.454034,0.0,-0.058090985,-0.07450271,0.049394608,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,83ff8b13-362e-4212-89bc-30f69c14ba67,1627403742807,13.3877632,52.454034,0.0,-0.00339669,-0.12891269,-0.020017624,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,189f894a-301b-4f32-be31-ec1673230128,1627403742857,13.3877632,52.454034,0.0,-0.056355894,-0.098068714,0.041750908,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,1029c5e1-140f-43c5-9c1f-a50cb6eb6347,1627403742907,13.3877632,52.454034,0.0,-0.08722228,-0.043968916,0.0068092346,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,8380db6f-05c7-46d2-8855-f208781b32a8,1627403742957,13.3877632,52.454034,0.0,0.053842604,-0.117200136,0.025884628,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,b934a6dc-ee55-416a-beaf-b4faa4a4ff37,1627403743007,13.3877632,52.454034,0.0,-0.11707765,-0.025036335,-0.02380848,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,a464af31-bc27-4a92-a341-49aa59f393cd,1627403743057,13.3877632,52.454034,0.0,-0.037820995,0.057623863,-0.01557827,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,6379f971-e613-445f-aff0-e87003d9a02c,00648ed4-fdf6-4ffa-8127-c36c37ff6b4e,1627403743107,13.3877632,52.454034,0.0,-0.049569547,-0.2517755,-0.014806747,on bike mount,cyclo cross,False,mixed,mixed
