bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,387bd341-735d-4fad-968f-2ea3406d83ef,1643888587486,13.3965778,52.4728675,6.4012823,0.8416573,0.82739663,1.0534887,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,bb9caf81-5033-4a44-9598-cb2b451c10e9,1643888587541,13.3965778,52.4728675,6.4012823,-0.2900599,-0.7177379,0.048026085,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,cb2f3691-90ad-4257-8a9a-0aaf281049b6,1643888587597,13.3965778,52.4728675,6.4012823,0.95994925,-0.65632224,1.9407578,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,74508c9a-1eeb-4e39-89cf-606c7291da6d,1643888587659,13.3965778,52.4728675,6.4012823,-0.91161335,2.5196705,-0.2262106,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,bb72c926-0611-4175-9f12-767f67080cb4,1643888587707,13.3964802,52.4728598,6.462463,-0.10406652,-1.7453045,-1.8609328,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,dc7bcd25-73bc-41de-b4ab-ebfdce91b4c8,1643888587763,13.3964802,52.4728598,6.462463,-0.263186,-0.9301357,0.24058247,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,60341f34-3238-4c13-8c0b-81709804f9fb,1643888587820,13.3964802,52.4728598,6.462463,-1.3999639,0.09929371,1.1087036,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,2bdf431b-c23b-4681-929d-2d16320561b3,1643888587875,13.3964802,52.4728598,6.462463,0.6038598,-0.6463926,-4.493432,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,7977699c-8316-4773-9670-85d11d3a5654,1643888587930,13.3964802,52.4728598,6.462463,0.18676724,-0.79225314,2.8213348,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,07ed1494-09c1-4588-9ff7-ff8289ce19c7,1643888587986,13.3964802,52.4728598,6.462463,1.0433753,1.7000384,-0.7746744,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,46d529e0-63ca-4ed7-9f51-35c680119c4b,1643888588041,13.3964802,52.4728598,6.462463,-1.0866649,-1.4743247,2.0113564,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,498bb645-ab84-4217-9472-4cac1e096060,1643888588097,13.3964802,52.4728598,6.462463,1.6096845,0.512141,-3.4751468,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,68cad5b4-24cc-495b-b4f1-543b05c2abfd,1643888588153,13.3964802,52.4728598,6.462463,1.6325338,-1.7883582,4.6499634,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,f14a4aa6-a503-4374-9abe-5fdc5f911e2e,1643888588208,13.3964802,52.4728598,6.462463,-0.00038794987,3.6751876,-0.10265255,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,d2ffb626-0aa0-4bf1-a778-173d6bbf0048,1643888588264,13.3964802,52.4728598,6.462463,-0.18953346,-3.1250055,-2.7216725,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,15a79405-f139-499c-a7e9-10313791ad54,1643888588319,13.3964802,52.4728598,6.462463,0.8203782,1.5286837,-0.22190762,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,7c5ea1b5-0710-45b3-8f7d-2390d18dc6f0,1643888588375,13.3964802,52.4728598,6.462463,-1.2443843,0.19994712,-3.4537225,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,e6f38079-4189-4ae5-b384-4746c9bda715,1643888588430,13.3964802,52.4728598,6.462463,0.8882168,1.3870327,0.28669643,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,4b8237dd-d772-44aa-9ef8-0e83df5a064f,1643888588486,13.3964802,52.4728598,6.462463,1.5232371,-2.6536462,5.446576,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,f273ab22-f6f4-44b9-a40e-cecb976a7cb0,1643888588543,13.3964802,52.4728598,6.462463,-2.3207388,-1.053817,-0.42951488,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,e4e86fe1-a1e4-45b2-8672-6b0df50785f6,1643888588598,13.3964802,52.4728598,6.462463,0.75888145,0.96062493,-2.930635,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,7e51093a-f68a-4263-bebc-6da877588d89,e783cf1f-5376-4328-a715-9b2938871eee,1643888588657,13.3964802,52.4728598,6.462463,-0.8793988,0.12554383,0.8552656,on bike mount,cyclo cross,False,paving stones,good
