bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,73edfd62-f25f-4abb-acda-41c42f9e1b35,1626969710715,0.0,0.0,0.0,-4.492079,-2.2813573,0.47007084,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,442b37e4-2561-4c67-9cf9-dc136a6713d7,1626969710778,13.6423793,52.4610015,0.3642001,-3.0515742,-3.1460128,2.4822931,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,2fe3b3ef-924e-405c-834c-819e5160931a,1626969710829,13.6423793,52.4610015,0.3642001,-1.3504137,-9.689118,6.100706,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,66ba0074-73d1-4522-8acb-5f28fa037345,1626969710895,13.64229,52.4609967,1.7886032,0.70454603,-3.0534952,-0.9104085,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,22f6e5ea-f986-4de3-941f-2fcf57046745,1626969710945,13.64229,52.4609967,1.7886032,-3.5851555,-5.773516,4.7314835,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,ddc41a4a-1935-47ac-ab6a-1019a4253cd5,1626969711011,13.64229,52.4609967,1.7886032,1.4131546,-6.5870075,5.3454256,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,1a83bf6d-0e4a-42cb-8bfa-0a0ab0742f10,1626969711078,13.64229,52.4609967,1.7886032,3.4710655,-5.949352,-3.635263,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,b85e6a6b-6e57-4ad3-bc39-f7ebd6ed4e55,1626969711128,13.6422606,52.460994,2.2946267,1.4722028,1.3186388,0.59375095,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,ce19899f-6456-4ebe-bef3-dd1c820e0aac,1626969711194,13.6422606,52.460994,2.2946267,0.8093403,-11.048581,-0.7097187,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,55e94c5d-4616-426a-93ec-bc47d8e403ff,1626969711261,13.6422606,52.460994,2.2946267,-6.146587,-2.533477,7.082183,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,a633d65e-52c8-462e-b3c7-a5bba534ae07,1626969711327,13.6422606,52.460994,2.2946267,-1.5126572,-0.6760044,2.3042488,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,d4fb53c0-5e8e-45c5-8be7-13d8c958ddbd,1626969711395,13.6422606,52.460994,2.2946267,-4.3357,-1.120904,3.7602644,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,1e150d80-e21d-4d25-a593-52eb454419d6,1626969711460,13.6422606,52.460994,2.2946267,5.6287208,-6.394644,6.725725,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,44d1cab6-fdef-4a35-ab30-8c8131fe1a1f,1626969711511,13.6422606,52.460994,2.2946267,-6.231206,-2.669547,-0.22155094,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,2cdac4b7-6318-4133-8dee-19b37ff61da2,1626969711577,13.6422606,52.460994,2.2946267,-0.5568123,-1.2373161,-6.7758107,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,b21ddf71-43fa-4d87-8916-716a7e88d757,1626969711628,13.6422606,52.460994,2.2946267,0.8350796,-3.7877648,10.146704,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,b0e976c4-0da2-4b89-b111-40bd337958df,1626969711695,13.6422606,52.460994,2.2946267,-4.733882,-10.407331,1.7396984,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,b40ee630-b2df-4846-98b3-c0dcd9b0eb9c,1626969711761,13.6422606,52.460994,2.2946267,0.8264478,0.08159733,-3.9494834,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,2947d754-d160-4b92-beb3-163a8529f299,1626969711828,13.6422606,52.460994,2.2946267,6.0017433,-4.1305327,-0.2452836,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,30aa07ce-8b39-439f-9f83-56ed483b136f,1626969711894,13.6422606,52.460994,2.2946267,-2.099959,-1.6162875,1.1194859,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,fce7b8b5-c65b-4068-97c7-9ea8aa58e946,1626969711960,13.6422606,52.460994,2.2946267,-1.7693809,-3.0334084,6.0213776,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,60afbbba-69b6-4fcb-b2b8-a73402f7dc4c,1626969712027,13.6422606,52.460994,2.2946267,-0.1860401,-6.2745905,-2.3035612,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,6f3373a9-45af-45cc-94e1-2d00bc9f9709,1626969712094,13.6422606,52.460994,2.2946267,2.5773463,-3.486597,-2.4061046,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,21e8a2e5-b3a3-43f3-9d62-1d7488244152,1626969712160,13.6422207,52.4609944,2.1603477,-3.0819569,-0.2715068,2.7967396,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,ffd438ba-6677-4ad0-b520-9519dff997c3,1626969712211,13.6422207,52.4609944,2.1603477,0.9857625,-7.068995,1.6590061,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,c8d4fc6c-4aba-4115-af60-81935c8cb3f8,1626969712277,13.6422207,52.4609944,2.1603477,-4.614198,-3.428918,-1.5702543,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,461afa8b-f939-4e42-bdf4-b1e7ab2580ad,1626969712344,13.6422207,52.4609944,2.1603477,0.76200414,-0.43273735,2.2742443,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,e678265c-c4f0-4027-bc1b-883464864f3c,1626969712411,13.6422207,52.4609944,2.1603477,5.2680907,-1.6836977,-1.0884843,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,f1b2347c-3be3-423d-84f3-1df3da41dca8,1626969712478,13.6422207,52.4609944,2.1603477,5.6232376,0.53525925,6.628907,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,b13ef899-0c99-4be8-a8de-21949ad45d42,1626969712544,13.6422207,52.4609944,2.1603477,2.609509,-4.5504155,1.8245125,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,5d92be6c-c44c-42ce-9551-aab05a32f92b,1626969712610,13.6422207,52.4609944,2.1603477,0.8558791,-6.204605,-2.2121134,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,f3ba6f6d-fc37-4f01-8986-9dadd6ef8cde,1626969712678,13.6422207,52.4609944,2.1603477,-0.40816742,0.14194965,2.512333,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,4f8637d3-a636-4b34-b4d2-0b5d93fd10c8,1626969712744,13.6422207,52.4609944,2.1603477,-0.24519086,-2.5368114,-7.743554,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,202253ac-8685-402c-b725-cacfc9bcc7ef,1626969712810,13.6422207,52.4609944,2.1603477,2.2154748,-1.8951402,-1.8813243,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,76f604c3-6546-40db-b617-852d452ac243,1626969712878,13.6422207,52.4609944,2.1603477,0.14706516,-7.7288933,-2.831389,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,65b6eaec-2a01-47bf-bb0f-b6e10ed6c76d,1626969712943,13.6422207,52.4609944,2.1603477,-6.6264515,-0.955055,5.664837,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,a7fff5d8-ddca-4cb2-8a73-9629d3252225,1626969713010,13.6422207,52.4609944,2.1603477,-6.7741795,-5.759221,4.925946,on bike mount,road bicycle,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,95237026-ece9-4e15-81ec-bd68b4d32e69,69b87dda-3479-4113-9805-a48027a97574,1626969713077,13.6422207,52.4609944,2.1603477,0.22706008,-4.016095,-3.912654,on bike mount,road bicycle,gravel,intermediate
