bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,507a2b6a-876c-4da0-b51f-e20e4167f780,1635689631668,0.0,0.0,0.0,1.1090801,-0.536355,0.4229164,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,3b6583ae-d48b-48ae-ac4b-e075818eedfc,1635689631732,13.4172743,52.4760897,3.0289228,1.0108143,1.3429604,-1.8554091,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,0b1f1ee4-30c0-4d39-8b0a-850f91ee6a3a,1635689631798,13.4172743,52.4760897,3.0289228,1.4267933,-0.45247722,2.0071173,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,094a7493-1fad-40f8-8b3c-4576b05190f6,1635689631849,13.4172743,52.4760897,3.0289228,-0.33073115,-0.18754005,-1.3058324,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,ca9e45e6-df4a-4787-b69b-5a56bc0b2ff4,1635689631914,13.4172743,52.4760897,3.0289228,-0.85808885,-0.5371449,1.8380547,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,8ccee475-d58e-470d-ab91-e158ccc1993a,1635689631965,13.4172743,52.4760897,3.0289228,0.9021375,0.70135164,-1.1420512,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,b26beff9-27a2-41e1-aa49-b3e737422e2e,1635689632014,13.4172743,52.4760897,3.0289228,-0.012722589,-1.0053792,-1.2076755,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,9500f9a2-5f16-43b7-bc5d-b7ef39cd86bd,1635689632064,13.4172743,52.4760897,3.0289228,-0.94415677,-1.0782797,0.08943939,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,dc5dfae2-5ff4-4ece-93ef-1e60ffe5fdb3,1635689632115,13.4172743,52.4760897,3.0289228,-0.12642746,0.2562666,0.09300995,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,68f6dd53-dd71-4be7-8226-c9ac7e5d5874,1635689632165,13.4172743,52.4760897,3.0289228,-1.0980209,-0.19700742,-1.9488211,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,0ce33cdf-6007-4cb4-85e8-b319777fdb04,1635689632216,13.4172743,52.4760897,3.0289228,-0.030711502,-1.1722182,-3.1361604,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,3b3b736a-9a27-4f28-9a9f-838149fd2a51,1635689632266,13.4172743,52.4760897,3.0289228,-0.7237325,-0.9055488,3.383566,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,7efb6384-d5cc-45bf-a128-734489137b2d,1635689632316,13.4172743,52.4760897,3.0289228,-0.73281837,-1.4009533,-1.3634973,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,3003dbe7-63c4-4722-bdbd-dfcc8a923f21,1635689632365,13.4172743,52.4760897,3.0289228,1.0066271,-0.020447493,0.98257446,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,c1a60c19-5fd4-436c-a892-bfcf3f70f27a,1635689632416,13.4172743,52.4760897,3.0289228,-2.1366105,0.4559567,0.5770416,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,9e79c3f1-d4cc-4041-b285-86ade7c51442,1635689632466,13.4172743,52.4760897,3.0289228,0.15871042,-0.07433534,-0.13505554,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,fc9bbaee-92bb-43d3-8b8a-d8c4a7dc4170,0d0e5f52-1756-4483-9aa2-0e9f11a3b232,1635689632517,13.4172743,52.4760897,3.0289228,-0.015736014,-0.08398819,0.41259575,on bike mount,cyclo cross,True,concrete plates,good
