bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,e6d672b7-e92a-40e3-96f3-ae6de9aed0af,1630562098818,0.0,0.0,0.0,1.4497437,1.6892915,7.799199,on bike mount,cyclo cross,False,asphalt,good
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,f959a127-e377-4815-b676-75c271699e47,1630562098890,13.4071024,52.4820045,4.2111173,0.96084285,1.3180456,-0.42356682,on bike mount,cyclo cross,False,asphalt,good
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,6696f81a-a7a8-48b9-b2e4-800e20084f18,1630562098942,13.4070884,52.4819714,4.229524,-0.27308983,0.45690012,-0.5548372,on bike mount,cyclo cross,False,asphalt,good
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,26e49128-6160-4db5-97ec-14a2ab809e62,1630562098998,13.4070884,52.4819714,4.229524,-1.0798738,0.8818424,0.52547073,on bike mount,cyclo cross,False,asphalt,good
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,442ebc0a-9f3f-4144-bf88-5e7d33dc89c3,1630562099048,13.4070884,52.4819714,4.229524,-0.4257632,1.4366276,2.1483068,on bike mount,cyclo cross,False,asphalt,good
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,6f92db96-bf70-44dc-88ac-3b8dde331f78,1630562099098,13.4070884,52.4819714,4.229524,0.49504745,0.905036,4.023633,on bike mount,cyclo cross,False,asphalt,good
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,9cc24732-d129-4cfb-8581-705852036aa4,1630562099148,13.4070884,52.4819714,4.229524,-0.3006747,-1.4800072,3.0914526,on bike mount,cyclo cross,False,asphalt,good
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,ae5eb9b4-0b34-449c-870e-7abddca60577,1630562099198,13.4070884,52.4819714,4.229524,0.06505673,2.0346236,1.4011259,on bike mount,cyclo cross,False,asphalt,good
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,3dec2725-178e-4aca-a5e3-e587d6337b19,1630562099248,13.4070884,52.4819714,4.229524,-0.42555135,1.9065208,1.6032429,on bike mount,cyclo cross,False,asphalt,good
1a520d19-bb78-48b7-aa5a-9a7c6c8de73b,8f34fd24-2b5e-4e5a-a87e-ba9c65789ab9,2a52b070-430d-412e-9749-5b50905f61b0,1630562099299,13.4070884,52.4819714,4.229524,-0.59910434,2.4046535,-2.612949,on bike mount,cyclo cross,False,asphalt,good
