bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,6ac97e91-bc78-46bb-9382-8849d45286a8,1634557041156,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,98f82cee-4ba5-4eb2-912f-91cf1ff12f8c,1634557041212,13.4775062,52.4885212,5.5958614,-0.16418168,-0.9511136,1.2905312,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,3fb32b15-81ab-448f-909a-5cd118922c4e,1634557041263,13.4775062,52.4885212,5.5958614,1.2305142,-0.65286565,-1.3435202,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,1efaf4ab-c68b-4b50-a7c3-d1a9ca4034e9,1634557041313,13.4775062,52.4885212,5.5958614,-0.40341264,0.22525525,0.95939255,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,97318bd2-92a1-4050-9dfd-36d2809314ea,1634557041363,13.4775062,52.4885212,5.5958614,0.27038652,-0.29004335,0.66808224,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,d6537260-c591-4aff-b503-ec38e856e794,1634557041413,13.4775062,52.4885212,5.5958614,-0.06921369,0.08808136,0.66638565,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,193df991-d026-4615-9025-cf5954d50f90,1634557041463,13.4775062,52.4885212,5.5958614,1.2035589,0.55718493,0.12613106,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,f5965507-356d-4408-aa18-66b58a52b600,1634557041513,13.4775062,52.4885212,5.5958614,-1.7689953,-2.3302794,2.0556126,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,4d8584a6-35fd-4ce0-ab12-f958837ea031,1634557041563,13.4775062,52.4885212,5.5958614,-1.212357,-0.44226384,1.7823887,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,2685e38d-a7c7-4040-8993-3fd3f1eeafcc,1634557041613,13.4775062,52.4885212,5.5958614,1.0477083,-0.18234205,0.38716507,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,85875428-233d-4c70-b84c-b8cd4d5733e7,1634557041664,13.4775062,52.4885212,5.5958614,-0.8038322,-0.28704906,-0.43528938,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,7055fbcc-0424-4397-85d3-cada881657c6,cbc4a6e7-a39b-44e2-aafd-21190262109c,1634557041714,13.4775062,52.4885212,5.5958614,-0.082685485,-0.15950346,0.86980534,on bike mount,cyclo cross,False,mixed,mixed
