bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,f5390950-514c-4062-92af-a086d4faa21f,1627365303391,0.0,0.0,0.0,-0.17981505,0.7499144,1.8260102,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,fa27366d-f3b4-46ae-90c7-2f5a1c4e7682,1627365303477,13.4246831,52.4974592,4.4633827,0.6387631,-0.3721459,-1.7999163,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,b695651a-d7cf-44b7-88f9-fe149bfb9f1c,1627365303531,13.4246831,52.4974592,4.4633827,0.058374673,-1.224726,1.3733482,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,db52cb80-6e16-4fdb-90a8-d1e5fdab35c6,1627365303582,13.4246831,52.4974592,4.4633827,-0.34215719,-0.17157412,1.4086666,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,68f37188-0bb2-449f-abbf-fc8052211660,1627365303649,13.4246831,52.4974592,4.4633827,-0.23875928,-2.0732143,0.6130543,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,088ca19f-4a3a-477a-a838-64d8c4239ba5,1627365303699,13.4246831,52.4974592,4.4633827,1.6304755,0.35555887,2.8145561,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,31dc1edd-54f2-438c-a1e6-7164478080b7,1627365303766,13.4246831,52.4974592,4.4633827,-0.4263021,-1.5041804,1.8516912,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,7313637c-297e-49d3-9d4f-14bd17bd5e94,1627365303816,13.4246831,52.4974592,4.4633827,1.4230602,-2.4163861,2.542406,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,2975dd14-d7f5-41f1-a93f-f8c7e9f750ee,1627365303866,13.4246831,52.4974592,4.4633827,-1.1425114,0.51078653,-1.2532864,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,db2ec685-9601-4f0b-86ca-da62e7a3ad39,1627365303933,13.4246831,52.4974592,4.4633827,-1.8308256,-1.1982841,-1.0435433,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,1f563759-e636-4ce6-bf03-aa542fe7b13f,1627365304000,13.4246831,52.4974592,4.4633827,1.3103428,-0.67025805,-2.2152896,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,bf35fdc5-023f-41a9-a90c-111637907cdf,1627365304066,13.4246831,52.4974592,4.4633827,0.023890465,-1.8024952,-0.7796812,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,42a73ddc-a7a4-4ef3-adcd-b5b4629f48c1,1627365304133,13.4246831,52.4974592,4.4633827,1.0868487,0.5315561,-0.19152641,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,0c7d17c6-0dd6-42ef-92f0-dca3401d3697,1627365304200,13.4246831,52.4974592,4.4633827,0.05423209,0.09577322,-0.20131493,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,3924fcb0-2a6e-4ebe-9e7c-44d3a3149b7a,1627365304249,13.4246831,52.4974592,4.4633827,0.79174715,-2.193297,2.7790852,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,557b8abe-bdbf-402a-a277-3ec57cc974d1,1627365304299,13.4246831,52.4974592,4.4633827,0.6039915,-2.7796571,-1.3918533,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,93de50a4-06c1-41cc-a5b0-4a78496ab694,1627365304350,13.4246831,52.4974592,4.4633827,0.11598617,-1.8440871,1.2243681,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,8851fcf9-8590-456a-a7d3-fef55053f734,1627365304400,13.4246831,52.4974592,4.4633827,-0.08936453,0.46435595,1.2217932,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,8b457cc6-d2b0-416f-b540-6a3577f4a1e8,1627365304467,13.4246831,52.4974592,4.4633827,1.1785793,2.6328635,2.5180063,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,1e340a7d-ddef-44dd-9c5f-fb54dd7302cd,1627365304534,13.4246831,52.4974592,4.4633827,1.9870383,-1.979968,-0.9884262,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,05108a0a-5b3c-4035-81c7-1cc8e2087779,1627365304600,13.4246831,52.4974592,4.4633827,1.3435819,4.4034395,1.2069225,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,82b4f8f9-6d98-45ec-a293-8c99281b8d3f,1627365304667,13.4246831,52.4974592,4.4633827,1.4691075,-3.1315346,2.6781292,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,eb17ed5b-25df-47a2-beee-7c5cb82b5d75,1627365304734,13.4246831,52.4974592,4.4633827,1.1775638,0.20367765,0.0069293976,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,55aa48aa-7a73-44c8-8030-1beeb0f243ba,1627365304802,13.4246831,52.4974592,4.4633827,0.30402064,0.81418085,-1.4655752,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,920178d1-ec02-4808-91a5-95d6f4756c56,1627365304868,13.4246831,52.4974592,4.4633827,0.9140508,-2.1832798,-0.45933914,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,5be7a324-b5a1-4ddb-8478-b6186cadfec5,1627365304935,13.4246831,52.4974592,4.4633827,1.6738895,-0.022498608,-2.010725,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,069201eb-b5ca-4d03-8353-e05e9dc491a0,1627365305002,13.4246831,52.4974592,4.4633827,0.6676457,-0.93777895,0.21349621,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,43dfe31c-dace-467e-b03c-1bd7500e58a1,1627365305069,13.4246831,52.4974592,4.4633827,0.5095318,-2.003762,-0.37790394,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,65d1fcfd-9fca-425c-8153-a9b6fbf1545b,1627365305135,13.4200167,52.4959995,3.22,-0.32548976,-0.2176137,1.4855871,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,dffe6766-f510-4b82-8901-4db1fae15eb9,1627365305202,13.4200167,52.4959995,3.22,1.6392797,-2.3493323,-0.61943626,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,704bb512-dac9-43c7-bd2f-d3e09477ddce,1627365305268,13.4200167,52.4959995,3.22,1.5770296,-1.7793156,-1.0026588,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,3b18d27c-b39c-455e-96b5-5eb66c1faa8f,1627365305336,13.4200167,52.4959995,3.22,-0.053410172,-1.4443843,2.443699,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,26964326-feff-4f68-b76c-54afb30ad294,1627365305402,13.4200167,52.4959995,3.22,0.32968387,0.8722029,-0.04696083,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,20ec2dab-1e31-4a75-836e-2ab1b04707c9,1627365305469,13.4200167,52.4959995,3.22,0.3869411,0.13851738,0.23410797,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,4b993924-0585-4d28-8bc7-f8c3db3d1116,1627365305536,13.4200167,52.4959995,3.22,0.9764102,-1.5780874,-0.89200306,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,dea522c0-6fff-488b-9480-aed41d05bf4d,1627365305602,13.4200167,52.4959995,3.22,1.956264,-0.76023984,1.457839,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,6ffad7db-4ca4-4819-9003-6acbb817040a,1627365305669,13.4200167,52.4959995,3.22,0.78724277,-0.7793734,-4.4826345,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,68fb8694-fdcd-48a6-8e09-dc31b2c1dca6,1627365305736,13.4200167,52.4959995,3.22,0.19140702,-0.4274509,3.6159973,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,ae95fdc0-f9a5-4733-803b-6d20d9ccfb47,1627365305803,13.4200167,52.4959995,3.22,0.03172636,-0.3579843,2.870597,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,dc728af6-dd83-40b7-854a-048c7f1d9a6d,1627365305869,13.4200167,52.4959995,3.22,-0.27377844,0.20668173,2.3263817,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,9c55e85e-6066-4105-bc40-95e797462165,1627365305936,13.4200167,52.4959995,3.22,0.2525916,-4.1194253,1.8677225,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,c183eabb-ca1c-421e-928c-0ca1b3f08b7d,1627365306003,13.4200167,52.4959995,3.22,0.9662014,-2.3445747,-1.1304636,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,37913b50-beec-4770-ac4a-2d3d02e7c409,1627365306070,13.4200167,52.4959995,3.22,-0.527364,-0.9876013,1.1835861,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,9c3c8b24-24a8-4654-bdc9-4830a2fcf4d3,1627365306135,13.4200222,52.4959679,3.6369035,0.90157235,-3.289227,1.0741539,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,577591d0-fcb9-40cd-a81f-e82783487d26,1627365306202,13.4200222,52.4959679,3.6369035,-0.3511285,0.0245862,0.30206013,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,de527b2a-5116-4a8b-af32-e4603d953a9b,1627365306268,13.4200222,52.4959679,3.6369035,0.9687239,-2.9451203,0.06582546,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,fcfc0222-2541-43cb-a0b5-b6014af810c3,1627365306318,13.4200222,52.4959679,3.6369035,1.917563,-0.4992144,-0.48515797,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,d6194d62-2502-41d6-b5fa-0ba0d44f4031,1627365306368,13.4200222,52.4959679,3.6369035,0.51585954,-0.9876478,-0.19625473,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,94927f29-9211-4bf9-a0ee-5f8a3ddca5c3,1627365306419,13.4200222,52.4959679,3.6369035,0.7472836,-0.25638676,-2.5409489,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,7688f0c2-f1d0-4a76-aa30-d9ec4ec58c66,1627365306487,13.4200222,52.4959679,3.6369035,1.4173303,-1.1428361,0.41878605,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,b6997917-5b9f-4f6c-95c5-fe1f5cbff725,1627365306553,13.4200222,52.4959679,3.6369035,0.21237606,-0.71774435,0.4997177,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,78686fac-ccd3-4272-83fa-ba72de4e410e,5bc9e463-173a-46e1-8225-42e54aabb814,1627365306620,13.4200222,52.4959679,3.6369035,0.73819494,-2.2697828,3.600707,on bike mount,cyclo cross,False,sett,intermediate
