bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,e1753832-1e80-40a7-a277-5d980de1a1d2,1626969564721,0.0,0.0,0.0,-0.2977847,0.20400435,0.08605862,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,eac52860-f8bf-44f7-be03-6a9887174ef8,1626969564776,13.6556046,52.4639873,0.00081074197,0.13152683,-0.1064679,0.112443924,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,95babafe-fefe-4f92-a822-f754c8a1ed1d,1626969564843,13.6556046,52.4639873,0.00081074197,0.17903495,-0.07850444,-0.1312418,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,5f93fe25-9966-41b6-86d7-bd07bfc4622a,1626969564909,13.6556282,52.4638919,0.5587921,-0.09292638,-0.11752963,0.090851784,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,3f81ea54-30aa-43a0-8de1-7b9d89766572,1626969564977,13.6556282,52.4638919,0.5587921,0.09785068,-0.2739554,-0.005432129,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,b5830689-eb70-4702-b6e0-7ef26b72f4e8,1626969565043,13.6556282,52.4638919,0.5587921,1.200788,0.63904727,1.2144117,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,03dda3e4-d5c5-45cf-a7e8-4d70d8463289,1626969565109,13.6556282,52.4638919,0.5587921,-2.2896543,0.12976217,-0.10506344,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,66b7ce62-7152-40cd-89c7-948264fa54bf,1626969565176,13.655625,52.4638892,0.554923,0.62538177,1.6602916,-0.85352516,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,494f8bd3-94c2-4f99-a1fb-3e51cf86681e,1626969565243,13.655625,52.4638892,0.554923,-0.7138655,1.9345307,-0.1951685,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,0ffd9750-9989-4c55-b4e4-06f86120f6ed,1626969565310,13.655625,52.4638892,0.554923,-0.43141723,1.8120122,0.28037357,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,5774df40-4500-42d7-a920-c7d59ada5f92,671f46dd-779a-444c-807e-0b19e584a869,1626969565376,13.655625,52.4638892,0.554923,-0.8992324,2.630322,-0.80165577,on bike mount,road bicycle,False,concrete,good
