bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,31cd9cbc-747e-41ca-b0f8-fd1931a56b58,1633161521971,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,5fed30cf-198d-4148-91a2-529bf9a8ed23,1633161522029,13.8254756,52.3917984,3.0974753,-2.182841,-3.0562694,3.2125015,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,f76c3be4-4269-422b-b00b-a8946f7168cb,1633161522094,13.8254756,52.3917984,3.0974753,-3.011015,1.9321911,3.557455,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,39d86584-03c8-43ef-9b92-cfc8b18c4d4a,1633161522162,13.8254756,52.3917984,3.0974753,-4.7693987,0.16225171,-1.3521433,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,ff50aa83-c2ed-4034-97d1-9792fae1841a,1633161522211,13.8254312,52.3918012,0.0,-3.7987976,2.4985242,-4.348072,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,27a152cf-b79a-4a07-b2dd-93eef8f99fc2,1633161522262,13.8254312,52.3918012,0.0,-3.1609406,-0.31475186,0.76371574,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,0220ce84-53a5-47a8-919a-ae7e544ed635,1633161522312,13.8254312,52.3918012,0.0,-3.187143,-3.0828562,1.2904205,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,198960ce-92e1-4c73-87a1-6a9aded66851,1633161522379,13.8254312,52.3918012,0.0,-2.9845612,-1.3517883,0.07720852,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,9c7d127d-eaed-4686-810d-0dc46c2dbfe1,1633161522446,13.8254312,52.3918012,0.0,-2.694835,-0.40358806,4.2008047,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,3f51ad45-00e3-43a7-8eb4-a74fdc436f0f,1633161522496,13.8254312,52.3918012,0.0,-1.3138785,-3.889585,2.8600636,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,a8ebc104-01b3-4680-8db9-a164522e100f,1633161522563,13.8254312,52.3918012,0.0,1.9105752,1.999022,-2.2735353,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,6cf46ac6-4dad-4ff0-8fa1-12aebe432903,1633161522612,13.8254312,52.3918012,0.0,-1.5582912,-0.13437366,-1.8493786,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,5080fbe9-db59-4731-8f98-31ef9e9f57c7,1633161522662,13.8254312,52.3918012,0.0,-4.551505,-4.6728754,2.805541,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,7aa01232-6d3d-4dcb-8ed3-785a93a1fc86,1633161522712,13.8254312,52.3918012,0.0,-0.31800348,0.7324045,0.038474083,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,ac857e96-ff0c-465a-aa0d-b7f3083025af,1633161522763,13.8254312,52.3918012,0.0,-0.62693715,-1.4411445,-0.6275492,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,464f8f71-7932-4318-ac73-a5bd4cda8558,1633161522830,13.8254312,52.3918012,0.0,-0.629181,1.0929389,2.2553167,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,3db9077c-3ffe-45f1-bd02-04454be49419,1633161522896,13.8254312,52.3918012,0.0,-0.16580069,-0.8993218,0.042467117,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,54344a44-f30f-4d2e-871e-0995de5c5091,1633161522947,13.8254312,52.3918012,0.0,-0.4197016,-2.4147258,0.51044273,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,64118411-b5ad-45ca-b7ab-8c81fe1f7706,1633161522997,13.8254312,52.3918012,0.0,-2.2744458,-0.48574042,-0.73762035,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,f0a16c9c-927d-4677-9eb6-ac53b26cbda2,1633161523064,13.8254312,52.3918012,0.0,-0.9200455,-0.6914289,-0.3961935,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,965cfddd-beb5-4f0d-ba77-1d9227a5b76e,1633161523130,13.8254312,52.3918012,0.0,4.429545,-3.0497258,-2.2872696,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,76e230df-ffcc-449f-b0c4-fda9ab344d16,1633161523180,13.8254312,52.3918012,0.0,1.2177287,-0.67890596,1.1335535,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,e1e672b3-a65a-41ec-80a7-e009a820932c,1633161523231,13.8254312,52.3918012,0.0,-1.8001482,-0.900918,0.25766563,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,caee1d31-2257-430f-a628-dfaf554c248b,1633161523297,13.8254312,52.3918012,0.0,0.41239625,-0.021370888,-1.1096449,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,a2392392-ddf6-4d03-81d9-216b8be3209f,1633161523347,13.8254312,52.3918012,0.0,0.56387657,1.0708039,1.5147123,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,abce4625-8e97-4678-be96-8ee4a0029825,1633161523399,13.8254312,52.3918012,0.0,-0.1865412,-1.1926057,-1.5084057,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,1b9e261e-4213-4a64-bc0c-1a143c3601dd,1633161523465,13.8254312,52.3918012,0.0,-1.0671513,0.7971153,2.5580149,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,fd0218c9-4042-4780-b4d2-e48690837673,1633161523532,13.8254312,52.3918012,0.0,0.33153015,-0.36327553,-0.5456295,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,bc26204d-1b0e-499f-87c1-9cbc741bb2d2,1633161523599,13.8254312,52.3918012,0.0,-0.5188705,-2.6791372,-0.48638248,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,c0a31087-cf64-458d-aa95-6f0fd1fc0a38,135a51d3-d4f8-4e2f-b442-8731e95c2dee,1633161523666,13.8254312,52.3918012,0.0,0.055942476,-0.24691987,2.546545,on bike mount,cyclo cross,True,asphalt,excellent
