bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,3521ec85-56c9-4f79-b650-460e6907bd7a,1632649655068,0.0,0.0,0.0,1.5296569,0.5629375,7.4099817,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,4ed3099e-dc47-440e-a5b3-a957e4290d03,1632649655135,13.4947287,52.4719281,3.6045196,2.8634815,-0.58450484,-0.22135353,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,8b3213ea-e132-4d9c-8c02-0bc5d5787fce,1632649655185,13.4947287,52.4719281,3.6045196,0.18294555,0.04067564,-5.2177153,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,d6759d39-a258-4209-ac92-f004cba408dd,1632649655236,13.4947287,52.4719281,3.6045196,0.08859247,0.663059,3.543395,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,c522be85-c1db-49fb-8f35-bd8d0223ae34,1632649655287,13.4947287,52.4719281,3.6045196,0.6199873,1.7091556,-2.640191,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,a6875cfd-aabe-4081-aa72-96f652733826,1632649655337,13.4947287,52.4719281,3.6045196,-1.1375577,0.28618646,0.020623207,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,93d091d8-7c59-4f45-bd5e-2d9f890465d3,1632649655386,13.4947287,52.4719281,3.6045196,-0.561773,-1.0765221,2.644683,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,0cb69985-6f8d-4121-955f-f4a234842b33,1632649655437,13.4947287,52.4719281,3.6045196,0.072849244,1.5806353,-2.2168255,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,7d5ca631-42a9-4b77-8f75-fa324f6f8d00,1632649655488,13.4947287,52.4719281,3.6045196,0.16990307,6.4435296,0.9242916,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,dd808c56-f31b-4df4-894d-5b65023a5b60,1632649655539,13.4947287,52.4719281,3.6045196,2.024005,-4.226657,-4.1189837,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,6dc2436e-304d-4c76-9a16-75fe68c48b77,1632649655587,13.4947287,52.4719281,3.6045196,1.0038111,3.47986,2.3869724,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,1df8a7b5-196b-49b5-bea6-cfa30e50ddf9,4a261717-5738-4a39-b13b-d4ba68928b58,1632649655636,13.4947287,52.4719281,3.6045196,-1.3633876,-0.51706195,3.989359,on bike mount,cyclo cross,True,fine gravel,good
