bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,bb489eaa-8561-4b39-ac1b-5a58416fb855,1634108973780,0.0,0.0,0.0,2.484974,1.8616705,1.3301613,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,ab48bb70-6ed1-4e82-bae8-718c033d0d0a,1634108973966,13.4220176,52.4979958,6.559022,-3.2905693,-6.899768,0.9414048,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,f34050a1-8fac-44ad-9d43-3963d948540a,1634108974016,13.4219846,52.4980099,6.501371,0.9547757,-31.010048,5.8231297,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,3e23d198-68d2-4cc8-9918-d7b06ba3e833,1634108974066,13.4219846,52.4980099,6.501371,12.734269,14.578432,-11.163278,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,7c360783-f9cd-42f2-a062-ff68966d9d5e,1634108974116,13.4219846,52.4980099,6.501371,3.9942951,5.4759207,-13.840185,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,9874a21a-a2c7-47ed-aa46-30b4f822bf66,1634108974166,13.4219846,52.4980099,6.501371,0.2514572,-6.4877276,7.0052137,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,b5ccb622-0931-4925-a620-91a94dd42b13,1634108974216,13.4219846,52.4980099,6.501371,0.70728964,-18.634935,1.8185291,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,7f720787-3eef-4aff-bd06-645f7d3e02ee,1634108974266,13.4219846,52.4980099,6.501371,-6.086275,-16.838722,16.53835,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,6fe94bbf-46e6-4ba7-b569-44d258abf5e9,1634108974316,13.4219846,52.4980099,6.501371,0.7281395,-16.826801,8.478793,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,f5fc7552-cd06-4763-80b1-c805aaa97904,1634108974367,13.4219846,52.4980099,6.501371,2.2169833,5.231632,8.010693,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,aa41f3b4-3267-4502-807b-08d8cbe71b32,1634108974416,13.4219846,52.4980099,6.501371,0.61043286,3.225514,11.042994,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,3d25bb3c-89a2-4c3b-9710-ce1b7e74304e,1634108974466,13.4219846,52.4980099,6.501371,-1.2173568,9.351383,-10.01575,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,51a5a78f-6036-418a-a89e-bb7d29d6b2ca,1634108974516,13.4219846,52.4980099,6.501371,-1.2853081,-13.332319,14.620537,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,c4bbc219-5225-4c12-83c6-d33af600dcc4,1634108974566,13.4219846,52.4980099,6.501371,-0.32891905,5.5953484,-0.86035204,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,50d8494d-ea09-4993-836f-eaf92cca8d02,1634108974616,13.4219846,52.4980099,6.501371,-2.8506463,6.331333,16.018229,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ebf537ee-d27d-4eea-84af-42646bc8a3c3,433c2fce-c823-4868-bed9-ea0648cb27aa,1634108974667,13.4219846,52.4980099,6.501371,-1.4128314,-20.000696,19.852192,on bike mount,cyclo cross,True,sett,intermediate
