bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,feefaf25-b561-45a7-a4f0-d9ff20e23224,1632157825818,0.0,0.0,0.0,1.8212726,3.0703902,7.0337963,on bike mount,cyclo cross,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,3abb16a5-9913-468e-8e4d-7d5613f3d325,1632157825869,13.3918194,52.4743244,6.4703927,-0.6745856,0.8665981,-4.0602922,on bike mount,cyclo cross,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,189e4c30-0e6b-4e79-a796-06543b503ed8,1632157825919,13.3918721,52.4743279,6.452615,-0.5138159,-0.48477507,-0.37879562,on bike mount,cyclo cross,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,bd534e90-81cc-4feb-ba29-17dd2832639d,1632157825970,13.3918721,52.4743279,6.452615,0.8122344,-2.6219087,1.871027,on bike mount,cyclo cross,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,52b3ad81-25a3-4d60-bdd3-8b7ffb5d7729,1632157826036,13.3918721,52.4743279,6.452615,-0.10772526,-0.17435741,-0.977406,on bike mount,cyclo cross,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,adbb331a-aa5e-4d3f-87ae-87fcfd27d6e1,1632157826087,13.3918721,52.4743279,6.452615,-1.1451116,-0.002029419,3.8870268,on bike mount,cyclo cross,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,2499bc57-2aef-4291-9f17-ae6896cdbe90,1632157826153,13.3918721,52.4743279,6.452615,-0.05669689,3.436749,0.07778931,on bike mount,cyclo cross,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,debc5a41-502a-4c20-99fb-615c0ac80c39,1632157826220,13.3918721,52.4743279,6.452615,-1.7605867,1.6300116,-1.6505489,on bike mount,cyclo cross,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,7f72d39a-771e-4de0-a1b1-888dd3eb642a,1632157826287,13.3918721,52.4743279,6.452615,-2.1725276,-0.53584075,1.4778347,on bike mount,cyclo cross,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,50171329-8d4d-487a-85b0-d15af3947b74,1632157826354,13.3918721,52.4743279,6.452615,-1.6775279,-0.27494645,1.8983088,on bike mount,cyclo cross,asphalt,good
