bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,3fc6cfe9-57a4-4dab-b5c2-d68b1a40dbb3,1628436563215,13.4918469,52.4709104,5.1548605,0.6744971,2.4367466,1.1892462,on bike mount,cyclo cross,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,bb878a13-597b-49a5-9af9-37787d767eb4,1628436563288,13.4918469,52.4709104,5.1548605,-1.1443892,2.7848115,2.120699,on bike mount,cyclo cross,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,f7325de2-1bb8-47b2-85c4-a90733c05406,1628436563338,13.4918469,52.4709104,5.1548605,1.0196972,-0.6038356,-0.8763342,on bike mount,cyclo cross,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,2b65f993-3dec-481f-be93-d784395fd1a3,1628436563388,13.4918469,52.4709104,5.1548605,0.16274953,-1.6176734,3.8532848,on bike mount,cyclo cross,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,dd81bf7a-05a2-4a78-a037-d64ec66b27c0,1628436563438,13.4918469,52.4709104,5.1548605,0.22643143,0.8957453,-1.9803481,on bike mount,cyclo cross,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,50a3f9dd-f4cb-41b8-a4c6-3a6960ae57f3,1628436563487,13.4918469,52.4709104,5.1548605,0.58261114,0.46757555,2.6085768,on bike mount,cyclo cross,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,16ecdca1-fe8d-4c98-b9a4-83f71c7696e3,1628436563538,13.4917959,52.4709629,7.275504,1.9580078,-4.396538,-2.1371083,on bike mount,cyclo cross,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,9a25b31c-277c-4b3f-b039-0a2199d10464,1628436563587,13.4917959,52.4709629,7.275504,-4.997684,-16.725431,16.83086,on bike mount,cyclo cross,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,574a68c1-20ab-403d-8e6c-281607612682,1628436563637,13.4917959,52.4709629,7.275504,4.511588,7.0368576,-0.30683613,on bike mount,cyclo cross,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,050822c0-3db9-43a9-8d97-51e87ec76143,a6ee9bac-c037-42c9-bab9-bf9c765fd73a,1628436563686,13.4917959,52.4709629,7.275504,-4.8156962,16.776707,-6.357577,on bike mount,cyclo cross,paving stones,good
