bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,27023e3f-7ef1-44bd-923a-4ef86a6930d7,1633936717958,0.0,0.0,0.0,0.32961786,2.903799,9.496635,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,d2840da5-a5ae-4183-abcc-73a08e79a1c2,1633936718017,13.4943263,52.4750111,4.804567,-2.5004249,-4.8901587,1.5100288,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,1bea7f9c-d741-4b64-95e7-c76e118345e5,1633936718068,13.4943263,52.4750111,4.804567,2.4820898,2.1355956,-1.346797,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,6dffdcc9-7913-47aa-a7a1-8c0230ab4ff9,1633936718134,13.4943263,52.4750111,4.804567,2.6596036,5.087603,-5.9971657,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,52464ef8-6c66-4f81-a58f-5ba2260882d7,1633936718200,13.4943263,52.4750111,4.804567,-0.83741033,-0.5004631,0.52363396,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,9d2b45c8-8968-4abc-bb31-e3395914e310,1633936718252,13.4943263,52.4750111,4.804567,0.645128,3.414133,-2.4426203,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,5d95be97-d5d5-4cb2-b488-52529b18042e,1633936718304,13.4943263,52.4750111,4.804567,-0.36472732,-0.570421,2.9890728,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,071728a1-04e3-4d89-8896-dcbbcbc6b64f,1633936718368,13.4943263,52.4750111,4.804567,1.9287399,5.363379,-3.7672782,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,be782606-91f3-4d2a-9c29-600f557df365,1633936718435,13.4943263,52.4750111,4.804567,-1.3394606,-4.384018,-0.81841373,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,121170a9-abe9-4c3a-9537-ab5ac78b4de1,1633936718487,13.4943263,52.4750111,4.804567,-0.22722197,2.5350113,-0.43055725,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,e530a296-b375-4dd0-abbb-80af497ac45a,1633936718537,13.4943263,52.4750111,4.804567,-0.16376334,-1.5440446,3.2113342,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,9f8ee55e-615c-4074-929f-3a4793ef4b2b,1633936718587,13.4943263,52.4750111,4.804567,0.045944273,0.10590696,-1.6383138,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,7ba676b3-fa05-45e1-b85e-7cf05d40c465,1633936718638,13.4943263,52.4750111,4.804567,-1.2661709,-0.7114494,-0.17840862,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,7db5eaf0-fc74-4aac-b07b-ce9ed1e2eabb,1633936718703,13.4943263,52.4750111,4.804567,-0.8281586,-0.044473886,-0.52999496,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,cdf2d3e7-db12-4d5d-b8a1-72ee06280b8a,1633936718753,13.4943263,52.4750111,4.804567,-0.7665365,-4.9851055,1.1485023,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,56bce5ce-173a-4ee7-897e-34cd0b214abb,1633936718803,13.4942885,52.4750298,3.0963032,-1.9426243,-1.2486748,-0.117108345,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,2e46adf8-d245-4b93-9ee6-275fe1abc557,1633936718854,13.4942885,52.4750298,3.0963032,3.4131527,-1.1959747,-1.6263399,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,2a582c51-4228-43f3-a481-ff5cd12c4aad,1633936718904,13.4942885,52.4750298,3.0963032,-0.4359607,4.7913146,-1.2954493,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,0e02c311-a90c-4c39-9104-2fb940521a1e,1633936718970,13.4942885,52.4750298,3.0963032,-0.7365574,1.2778537,-0.25563812,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,717c4291-5394-4c4f-8467-e307bd065e93,1633936719037,13.4942885,52.4750298,3.0963032,-1.0733001,-6.198453,5.6213894,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,6b42e14e-0b11-4565-9e01-fbfcf7b384b4,1633936719103,13.4942885,52.4750298,3.0963032,0.27275914,-0.20613742,-1.5217352,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,67a043f0-6a1e-44a8-8116-7c5682eefa20,1633936719153,13.4942885,52.4750298,3.0963032,-1.640719,0.6350384,-1.242588,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,8be9755d-042d-4570-93ce-424e2157cfc1,1633936719204,13.4942885,52.4750298,3.0963032,0.40227965,-0.7151215,1.8000021,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,38e42c35-e32c-4dd3-8095-2d739a92beff,1633936719270,13.4942885,52.4750298,3.0963032,0.12601544,-4.2184258,0.06926632,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,47049d9b-e490-44f8-a1d4-d8581242abe7,1633936719320,13.4942885,52.4750298,3.0963032,-0.5074035,-0.5957725,2.8297882,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,769a7050-fac8-4b12-a97d-33a73cf638ba,1633936719370,13.4942885,52.4750298,3.0963032,0.29562563,2.5744038,-0.031259537,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,f231f257-ef18-41ce-9aa7-c87d0e92a28b,1633936719422,13.4942885,52.4750298,3.0963032,1.2019246,1.475616,1.7207766,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,5f4ac361-9e74-4407-a3a4-aa51a82fd31e,1633936719488,13.4942885,52.4750298,3.0963032,0.53475976,2.2819605,0.9531412,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,993fe1ec-95ed-4c41-a554-0c5d477a11f3,1633936719538,13.4942885,52.4750298,3.0963032,1.5135505,-1.123709,-6.421884,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,adc4e617-2763-403d-a0d2-ee86bd35b16a,1633936719590,13.4942805,52.4750494,3.7003112,-1.0001742,0.84003854,-1.9217787,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,aa3a866c-621e-4163-a90c-0a918ae7eca9,1633936719655,13.4942805,52.4750494,3.7003112,-0.9302926,-5.3670263,-0.9739666,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,f6813050-8b3d-4bdb-a683-df5e336881bd,1633936719705,13.4942805,52.4750494,3.7003112,-1.8543241,-1.8822547,3.2952948,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,adf0ba6d-28fe-43af-917d-13a6e74639ca,1633936719757,13.4942805,52.4750494,3.7003112,-2.6892216,9.5387335,-1.9104066,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,10f9b554-0574-4b78-a4c2-7876e0a0116a,1633936719822,13.4942805,52.4750494,3.7003112,1.9166749,-1.9836053,-4.920146,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,35252ab6-f1ad-4883-b6d1-e79a47baab6a,1633936719872,13.4942805,52.4750494,3.7003112,1.3559921,-0.14804721,-2.0974326,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,105d67cf-edc4-440a-b969-b0ad49033356,1633936719924,13.4942805,52.4750494,3.7003112,0.58429444,-1.0482556,2.7298174,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,786d7e04-00ef-4ebe-9085-847dbbf023f7,1633936719990,13.4942805,52.4750494,3.7003112,-0.4979294,-2.66225,0.31304836,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,f81d40ee-b693-4a3b-bba1-6e2f5560bac4,1633936720041,13.4942805,52.4750494,3.7003112,-0.8650008,-2.5783765,1.6437397,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,ccaa2b0a-e091-49ee-bab6-fc6b318e05eb,1633936720094,13.4943124,52.4750809,5.1157517,0.84626716,3.1514473,2.6491966,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,c73728c6-cf6d-47c4-9fdf-7610025d2887,1633936720157,13.4943124,52.4750809,5.1157517,-2.3648887,6.2231894,-9.841235,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,bfe6a86c-4189-485a-ab61-d764fd0a16fd,1633936720209,13.4943124,52.4750809,5.1157517,-3.8510456,-5.731439,-5.453168,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,f3489b9a-81e9-44b0-93ee-47f4229bd2b3,1633936720258,13.4943124,52.4750809,5.1157517,0.24561822,7.887428,4.897497,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,6d9434ef-c68a-47b3-adc9-293674a3ae59,1633936720308,13.4943124,52.4750809,5.1157517,-1.3005904,-2.7430813,3.811575,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,2fa91380-1f95-450c-8429-96fb4f541857,1633936720358,13.4943124,52.4750809,5.1157517,-2.5866272,-2.6192584,4.183876,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,61a1515f-19c9-482e-8806-06202d7a6aa8,a76bc0d7-344b-4725-b0ae-57dab06ab5a8,1633936720408,13.4943124,52.4750809,5.1157517,-0.9715833,-2.6824439,-3.695229,on bike mount,cyclo cross,True,fine gravel,good
