bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,28121d87-8156-4edb-8c79-402ec4d24864,1633937658387,0.0,0.0,0.0,-0.2180914,-1.8251896,4.0205526,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,e8c21875-a24f-4fe7-869a-9933399e46d4,1633937658447,13.4392796,52.493066,3.3982463,-5.2610383,-4.09571,4.9129753,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,59ba29fa-ea31-40e2-ab15-3a9776382043,1633937658497,13.4392796,52.493066,3.3982463,8.132121,-1.1384917,0.93191624,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,8ae0029c-199c-4da8-8678-ae247c4a961e,1633937658547,13.4392796,52.493066,3.3982463,2.3774593,7.404582,-6.2511735,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,63b0df94-8d99-4dc3-9120-8501e9a4c28f,1633937658598,13.4392796,52.493066,3.3982463,-5.946635,-3.3816,7.8904552,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,3ceaae3c-fd4f-4846-bb37-138528294d2f,1633937658664,13.4392796,52.493066,3.3982463,-5.6795187,-3.9426584,14.142462,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,abb35ea6-084b-4074-9419-4428a2d12567,1633937658715,13.4392796,52.493066,3.3982463,-0.012036324,1.277452,0.010082245,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,2939c36a-c3ee-49f3-96af-8221946ccee5,1633937658765,13.4392796,52.493066,3.3982463,4.1816306,3.535707,-2.697908,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,4f0eb4fc-ff06-4d57-b8f9-97632861b204,1633937658816,13.4392796,52.493066,3.3982463,-0.5281637,9.696128,-11.320647,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,841690db-6a55-4d35-aa44-02dc1f478949,1633937658867,13.4392796,52.493066,3.3982463,-2.9082174,3.5610023,-4.9937267,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,e997a0f4-afd6-41ba-af57-2c7ebc180125,1633937658931,13.4392796,52.493066,3.3982463,0.096012056,-4.1457376,-1.5568042,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,b63c459e-1984-4675-ad64-9156f18b0571,1633937658982,13.4392796,52.493066,3.3982463,1.6202308,-4.734709,0.4312706,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,b9e7365d-224b-4fd0-9473-85008b6bb39c,1633937659033,13.4392796,52.493066,3.3982463,-1.9551501,6.483635,5.149273,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,76328c3e-4f40-4ddd-afb8-27be23ed5ede,1633937659083,13.4392518,52.4930494,2.928497,4.059543,6.5184584,-2.6356401,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,aefd4000-7484-49ae-9a21-81f4595fec8a,1633937659148,13.4392518,52.4930494,2.928497,-0.37052345,-2.6108625,1.6162882,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,9a0b4f60-8de1-4e8a-b309-c27ebbdd675d,1633937659199,13.4392518,52.4930494,2.928497,-0.9194552,-0.14933658,7.827548,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,472897dd-c7f1-4861-a6ca-c5bed9511b43,1633937659249,13.4392518,52.4930494,2.928497,1.3793453,-2.760685,-7.721822,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,6cec04df-973e-41ab-9fbf-5adbacc5d1e1,1633937659299,13.4392518,52.4930494,2.928497,-1.3787109,-2.2436974,-0.89082146,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,c6cc6caa-e175-4c31-8f31-9bb0aeacd25e,1633937659349,13.4392518,52.4930494,2.928497,-2.7481186,4.3576016,-4.8049636,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,fc131b31-31c0-400c-9bc1-207ae5d51023,1633937659399,13.4392518,52.4930494,2.928497,0.09489483,-2.8472967,4.4638157,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,909d85bc-17eb-4329-9480-8abdd3d6688a,1633937659449,13.4392518,52.4930494,2.928497,1.9602054,3.7969398,-0.18045998,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,37e92c01-63a7-4fbe-88c0-d619ecf34d18,1633937659501,13.4392518,52.4930494,2.928497,1.3011827,-2.926903,3.2730827,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,3715c3dd-4aa1-4cb3-a6d2-c8578bd44e6d,1633937659566,13.4392518,52.4930494,2.928497,3.1262841,-3.0676062,-1.4190068,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,c03bc226-24dc-48e8-84dc-c1da1e122ac0,1633937659616,13.4392518,52.4930494,2.928497,4.5397515,-3.74403,9.432241,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,0b9b00fa-aaa8-4ce0-a8b4-9febe3c901be,1633937659666,13.4392518,52.4930494,2.928497,0.42340142,-2.8750155,-3.5353227,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,c83ab2bb-de82-4a87-863c-0f5eccf5f0bc,553a5c17-ed24-47a7-963f-b8811c2e598b,1633937659717,13.4392518,52.4930494,2.928497,2.326129,0.61257243,-0.8981085,on bike mount,cyclo cross,True,sett,intermediate
