bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,4277a9a9-61cd-4180-98b8-35d82cf659e1,1633167974290,0.0,0.0,0.0,-2.0457387,0.8499158,7.0249805,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,5f393869-f1b1-43ef-bf98-48d25dd3c29f,1633167974380,14.2426132,52.3043638,4.5389986,0.39086407,-1.8412795,-2.1738405,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,7bd0d1a4-375c-4da2-86da-9269656eb0e0,1633167974435,14.2426132,52.3043638,4.5389986,-1.4893132,-3.061586,1.4252987,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,7f0d4c1f-b568-4e6e-bbd7-150525b4455f,1633167974485,14.2426132,52.3043638,4.5389986,-1.3691335,-3.014378,3.0340557,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,02bcf2a7-b00a-481e-b844-13a61fd5787d,1633167974552,14.2426132,52.3043638,4.5389986,1.2630781,-5.095097,3.2933788,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,5e047579-09c2-43b1-a4c9-85bf654e45d8,1633167974618,14.2426132,52.3043638,4.5389986,1.3317358,-3.6664386,2.8085537,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,5c7de4d4-6560-4c7b-bd63-67ae31df828d,1633167974668,14.2426132,52.3043638,4.5389986,1.1404679,-4.289194,3.5814142,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,a26ef2c0-8e11-4438-a7bf-f63a41174833,1633167974735,14.2426132,52.3043638,4.5389986,0.56459695,-1.6114473,-0.6790576,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,e99d236f-1f9c-4064-bd01-4206896f864a,1633167974785,14.2426132,52.3043638,4.5389986,0.49438304,-4.556867,-0.15505457,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,c5b0a372-7182-4382-9f0d-121f389db709,1633167974836,14.2426132,52.3043638,4.5389986,-0.9500158,-2.7113042,3.7821789,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,4124623a-ebd5-450a-9051-0d61baf5a3a8,1633167974903,14.2426132,52.3043638,4.5389986,1.4935726,-1.3245363,2.843956,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,bc57cf94-63da-4116-9053-bbecf367717e,1633167974952,14.2426132,52.3043638,4.5389986,2.5091567,-3.7014587,0.51131296,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,31ca58fc-1be8-4204-b5fa-8f20b8c87210,1633167975003,14.2426132,52.3043638,4.5389986,0.3979138,-4.3804383,3.4888763,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,9c600162-1a0d-4c43-8de7-6f89e89c0a3d,1633167975069,14.2426132,52.3043638,4.5389986,-0.97838295,-2.6064065,0.7991953,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,6a2906b2-37fe-4db6-a928-fa8e530f9ca5,1633167975119,14.2426132,52.3043638,4.5389986,-0.10982287,-3.1960487,2.1503315,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,db1e7e44-3c8e-46d2-af21-b156e39a5f6c,1633167975170,14.2426132,52.3043638,4.5389986,0.5586719,-2.8818665,1.0912914,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,046013f3-0602-4528-b085-d9ec6afdcbd8,1633167975237,14.2426132,52.3043638,4.5389986,0.31242305,-0.5322466,1.0099015,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,7aa5b158-d0fe-4a23-96d0-37c338e3655e,1633167975303,14.2426132,52.3043638,4.5389986,1.7189375,-4.8694353,2.5233855,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,4840a9af-cc97-486a-a09b-b22edc6c2b71,1633167975353,14.2426132,52.3043638,4.5389986,-0.8287156,1.6660156,5.7081337,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,a2715237-6960-4d06-9cc2-38cbb3b27769,cdf6c364-0999-4858-807d-2eae517caae3,1633167975404,14.2426132,52.3043638,4.5389986,0.9316654,1.338582,1.1497374,on bike mount,cyclo cross,True,asphalt,excellent
