bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,b37a7cd6-ecf4-4a4c-aaa2-89543481b8b9,1632057964566,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,200b9367-adc8-46e9-b012-0765b9582711,1632057964646,13.5942199,52.4491872,0.0001914409,0.04848168,0.006142378,-0.010520935,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,790ec699-d462-4b6d-a9e2-10cae473c77a,1632057964707,13.5942198,52.4491867,0.00038821582,-0.024165541,-0.071418524,-0.0032701492,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,9637bf5e-b6a6-4335-8bf2-65acd1ee1d72,1632057964772,13.5942198,52.4491867,0.00038821582,0.0020861477,-0.12517238,-0.014737129,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,471aa8e0-30f3-4e66-a444-0b25236c2622,1632057964822,13.5942198,52.4491867,0.00038821582,-0.117896914,0.0015816689,-0.0033197403,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,ec0468f2-04c1-4cc2-88bd-04b818965fca,1632057964889,13.5942198,52.4491867,0.00038821582,-0.16105717,-0.05329871,0.038983345,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,2ac91941-5edd-4a12-ad56-36483a32c216,1632057964939,13.5942198,52.4491867,0.00038821582,-0.0075003803,-0.081243515,0.015805244,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,cf670dae-fc8d-49d5-8328-b00f4a59fec3,1632057965006,13.5942198,52.4491867,0.00038821582,0.082196884,-0.26524925,0.08854866,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,d0cf7365-adbb-4843-ace4-0978d31a2a5c,1632057965073,13.5942198,52.4491867,0.00038821582,0.16856365,0.08797264,0.002357483,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,5ea7a26d-3366-43b5-ace3-c5adafc65bff,1632057965140,13.5942198,52.4491867,0.00038821582,0.010208227,0.35575056,-0.118720055,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,4df8ba56-063c-4c25-98a2-e887d8922b91,1632057965206,13.5942198,52.4491867,0.00038821582,-0.010376751,0.5578387,-0.19528389,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,c51a201c-0006-41bb-a675-c52211ae2187,1632057965256,13.5942198,52.4491867,0.00038821582,-0.21688053,0.5595844,-0.16764355,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,c35c5d8e-5e19-4a46-80ea-e4a127020463,1632057965307,13.5942198,52.4491867,0.00038821582,-0.2470035,0.43159652,-0.18638515,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,96dd93bd-5193-4efe-97d8-5f0f3767fd82,1632057965357,13.5942198,52.4491867,0.00038821582,-0.14691113,0.554724,-0.18647575,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,ff345b0a-ddbd-44e0-841a-3d90adb65d49,1632057965423,13.5942198,52.4491867,0.00038821582,-0.015615508,0.60528946,-0.29850674,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,e691a878-cee7-45f7-a63a-ba057c3558c1,1632057965474,13.5942198,52.4491867,0.00038821582,-0.07118736,0.5799928,-0.103196144,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,8c713c17-3eb1-47ae-a417-eb619ed07eb1,1632057965524,13.5942198,52.4491867,0.00038821582,0.19752167,0.733737,-0.039608955,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,bd918e04-b60c-4f45-9158-ec8a1e936084,1632057965574,13.5942198,52.4491867,0.00038821582,-0.030275337,0.7862282,-0.3377962,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,701aa844-c0b0-4284-baff-1bd15a65cd33,1632057965641,13.5942198,52.4491867,0.00038821582,0.54667675,0.8795831,-0.16178226,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,e793531e-58a9-48e3-94a2-c77a83644d22,1632057965691,13.5942198,52.4491867,0.00038821582,-0.22782855,1.0148275,0.040991783,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,bd269f29-6014-41a9-9b2a-5280da29049a,1632057965758,13.5942198,52.4491867,0.00038821582,-0.26841494,0.974493,-0.3538828,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,b243ee47-8dd2-4c3b-acf0-3b10f72c2722,1632057965824,13.5942198,52.4491867,0.00038821582,-0.0039851367,0.28778434,0.2988367,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,10d94ba7-c419-4950-aa5b-3bb392f036f6,1632057965874,13.5942198,52.4491867,0.00038821582,0.17298445,0.29636407,-1.2806058,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,8786c6ac-24f7-41a3-b805-8ae1bf4430f2,1632057965925,13.5942198,52.4491867,0.00038821582,1.0231879,1.0237422,-0.2575388,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,e9ef03ca-18f3-49c3-9619-cd39f516eb69,1632057965974,13.5942198,52.4491867,0.00038821582,0.2122631,0.15088153,0.122834206,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,efc6e8d0-42d1-4abe-9fd5-d1170cf3c09d,1632057966025,13.5942198,52.4491867,0.00038821582,1.142863,0.83153105,-0.33125973,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,8da382ef-eab5-4299-ab70-5aa301175f18,1632057966092,13.5942198,52.4491867,0.00038821582,-1.0811135,0.3246317,-0.09655666,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,2e416674-897a-485f-925d-e4e14215251c,1632057966142,13.5942198,52.4491867,0.00038821582,-0.028442621,1.2977357,0.13491344,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,2f962a32-3d6d-487c-8a37-b6d26ea7d21f,1632057966192,13.5942198,52.4491867,0.00038821582,-0.14699364,2.0990763,-0.87914515,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,01a6a118-10a1-4be6-b65d-477c088be6f3,1632057966259,13.5942198,52.4491867,0.00038821582,1.607445,1.5326748,0.7319441,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,798160bd-5fb1-41aa-b20f-9646d8a2fb42,1632057966309,13.5942198,52.4491867,0.00038821582,0.6125718,0.9103551,0.9598694,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,c218f93f-758b-4f47-bcaf-375a4015e9e7,1632057966359,13.5942198,52.4491867,0.00038821582,0.7543457,0.6423502,1.0591888,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,0ae1efa0-cec1-4499-babd-6e3c03a889d0,1632057966409,13.5942198,52.4491867,0.00038821582,-1.044332,0.85763335,-0.86360264,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,0fa793c2-da61-4ca3-b493-f58038ac78d6,1632057966460,13.5942198,52.4491867,0.00038821582,-0.17989075,0.72964644,0.21460438,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,31594104-ac10-425a-8464-66b40b005f58,1632057966527,13.5942198,52.4491867,0.00038821582,-0.8575957,0.817909,-0.42964458,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,95fe6da7-0831-48dd-a8ce-4ada99079e3c,1632057966593,13.594207,52.4491865,0.07125608,0.12880327,0.4044609,-1.1013064,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,d0e60289-3b73-4250-8134-eedbc66f604c,1632057966660,13.594207,52.4491865,0.07125608,-2.6330276,2.7429466,-0.2074213,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,372c954b-1ed8-41b0-ad16-449a010a96a0,1632057966727,13.594207,52.4491865,0.07125608,0.64355314,-0.8807218,-0.7258444,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,09b8522b-21af-4460-a153-64f57af481fd,1632057966794,13.594207,52.4491865,0.07125608,-0.42960268,2.1179519,0.0045433044,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,b9f62312-928c-4cdc-b33a-c546c1a07542,1632057966860,13.594207,52.4491865,0.07125608,-1.1218327,1.7657986,-1.0797672,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,200193e6-16f3-48d5-93e0-7a62bde3a63a,1632057966927,13.594207,52.4491865,0.07125608,0.53317857,-0.9268111,-1.1490765,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,44c5094a-17fc-474f-8851-3224b30d1ccd,1632057966977,13.594207,52.4491865,0.07125608,-1.2137542,1.7913132,-0.531909,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,7dc98033-e5c8-4b3f-8eb5-163faadda248,1632057967044,13.594207,52.4491865,0.07125608,-0.9540514,1.5726995,1.9821882,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,7ed86fc1-c012-4689-918e-76f189cdda40,1632057967094,13.594207,52.4491865,0.07125608,2.1203165,-0.7906482,0.86691856,on bike mount,cyclo cross,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,97779753-baf7-4189-a935-c51e4bff24b7,1632057967161,13.594207,52.4491865,0.07125608,-2.3619664,-0.20621753,0.3586893,on bike mount,cyclo cross,fine gravel,good
