bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,a3f555b6-bae4-4c00-aaa7-c63c5008efdb,1636123815313,0.0,0.0,0.0,-4.5236216,-0.36027998,10.732223,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,a562cbf9-ca85-4adb-a2d1-7e883a49cd84,1636123815371,13.4162362,52.4912032,1.5255166,5.08332,0.9155586,-2.0946617,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,b692860f-4529-42e7-99c4-02b88439b67f,1636123815428,13.4162362,52.4912032,1.5255166,2.8252423,3.0637212,-1.4597898,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,b47e915e-ffe9-4ed3-b997-19c029739314,1636123815494,13.4162362,52.4912032,1.5255166,2.0183532,2.9748218,-0.638185,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,8177a05e-4b89-4251-9853-e285b700c375,1636123815545,13.4162362,52.4912032,1.5255166,0.82864034,-2.1669073,4.0859833,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,25b13608-1585-4205-8d83-798ac8e848ba,1636123815595,13.4162362,52.4912032,1.5255166,2.0109768,0.029728293,1.4463024,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,e815f243-6145-4353-9fa0-8427d7083826,1636123815661,13.4162362,52.4912032,1.5255166,2.9997334,0.00942564,-0.8210583,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,f2938ac8-9402-4717-a03e-39b496d203db,1636123815712,13.4162362,52.4912032,1.5255166,2.6351452,2.2008085,-2.254457,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,24f50f23-e50d-4ba9-b6be-37a10ef2eb68,1636123815778,13.4162362,52.4912032,1.5255166,0.5501218,1.7295766,1.1714859,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,61e1a999-5acf-4585-b903-a2863e84480d,308ffda7-2b8f-41bb-b6ca-b1946913bd8e,1636123815828,13.4162362,52.4912032,1.5255166,0.74130523,-0.085546255,0.73813057,on bike mount,cyclo cross,False,asphalt,excellent
