bike_activity_ui,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,d724d589-dd2d-420e-89bf-5bc3aebb956e,1625048204247,0.0,0.0,0.0,0.13582027,0.0947299,0.28485298,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,bf0b48cf-f190-41c7-882e-bfebd87792ec,1625048204300,-16.8362059,32.6485114,0.0,-0.13322985,0.09027958,-0.26396894,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,3940b12c-d31e-440c-b13b-25c22b556055,1625048204356,-16.8362059,32.6485114,0.0,-0.24524307,0.4169259,-0.18541527,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,e5225d6d-b000-46fe-889d-027b98b15e63,1625048204406,-16.8362059,32.6485114,0.0,-0.1057564,-0.0518775,-0.030312538,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,a7752ba6-ad2c-4a3d-bd9f-b7aa0bb8c0fc,1625048204472,-16.8362059,32.6485114,0.0,0.07807427,0.42422247,0.37704754,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,f7c6ac35-9278-4518-b0b7-b34780f865e0,1625048204523,-16.8362059,32.6485114,0.0,-6.4851716e-05,0.2844162,0.19291878,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,3baa6348-4083-40c7-a3a6-fd7b0a766237,1625048204589,-16.8362059,32.6485114,0.0,0.60437155,0.43295622,-0.1899128,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,c9730c66-dcd2-4ddc-aa52-09ea98523233,1625048204640,-16.8362059,32.6485114,0.0,-0.11127343,-0.61967707,-1.0931339,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,7b323689-336a-4866-a470-3b79bd0c8daa,1625048204707,-16.8362059,32.6485114,0.0,0.86255145,0.015553951,1.0335207,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,a12954b4-0246-4acf-a666-f03ef129f647,1625048204773,-16.8362059,32.6485114,0.0,0.17892575,0.7870488,-1.2255969,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,e7b9cec2-6975-4ec6-9a79-5d04d085a353,1625048204823,-16.8362059,32.6485114,0.0,-0.15584052,0.1271491,-0.46668148,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,11801b88-26f9-4500-b69f-748415ba17a3,1625048204873,-16.8362059,32.6485114,0.0,0.010602526,-0.9150648,-0.37614632,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,da12dbd4-9e64-4fca-827e-adeaec40f168,1625048204924,-16.8362059,32.6485114,0.0,-0.41464847,-0.8912442,-1.5708351,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,5f053421-57c5-4761-85dc-fedffba16901,1625048204990,-16.8336076,32.6431595,0.0,-0.62576777,-0.906795,-0.7050576,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,e7446706-84d5-4898-95a6-862a136a6e47,1625048205057,-16.8336076,32.6431595,0.0,-1.179844,0.8125243,-0.41073513,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,85cfe31d-e55d-4435-a9a9-55aa514bdcda,1625048205108,-16.8336076,32.6431595,0.0,-0.7615082,0.7188692,-0.02519846,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,8d71828f-08f1-42b5-b211-200b989a7a72,1625048205174,-16.8336076,32.6431595,0.0,-0.26295757,-0.47825074,-0.8507972,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,5c851d71-d597-4c3a-b7af-afa97711d497,1625048205241,-16.8336076,32.6431595,0.0,0.53237677,-0.39181876,-0.9395809,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,c7648d85-5750-4aa2-839a-6ab35153888d,1625048205291,-16.8336076,32.6431595,0.0,1.0385427,2.6442509,0.09261131,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,aabd626d-80af-48f5-8471-c8e631c18f89,1625048205358,-16.8336076,32.6431595,0.0,1.0832186,1.7953893,-0.7249284,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,d1054a03-5ecf-4ee1-b1ce-1c21c356d335,1625048205424,-16.8336076,32.6431595,0.0,-0.41443825,-0.86764693,-1.9905751,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,6809fb0e-d605-41ed-b10e-6a6035d2e8d7,1625048205474,-16.8336076,32.6431595,0.0,0.41572762,-1.0475385,0.47455978,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,0e5f87ce-7c81-41f5-9f62-046c540f6c81,1625048205525,-16.8336076,32.6431595,0.0,0.3620863,-0.23667169,-2.9021845,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,88b05d3f-8f9d-469f-af7e-843d4c3a3c23,1625048205592,-16.8336076,32.6431595,0.0,0.56378746,-0.0505805,2.2392986,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,416a0f36-b2f6-48f4-b44e-e3e37078888a,1625048205660,-16.8336076,32.6431595,0.0,0.37089825,-0.12911034,2.4537623,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,d2e8a535-96b7-44e2-a8bf-cf278a30d500,1625048206147,-16.8336076,32.6431595,0.0,0.463058,0.9083419,-1.9279423,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,94abd37e-128f-4e22-9db7-c16ab29cd8a2,1625048206211,-16.8336076,32.6431595,0.0,0.81230736,-0.1090498,0.42584777,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,40b7a1ae-c158-4862-9ea8-57e107030b72,1625048206261,-16.8336076,32.6431595,0.0,1.4552588,1.7799287,-0.02203083,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,e2ba6307-4e4a-4c53-88b8-524c854941bc,1625048206311,-16.8336076,32.6431595,0.0,1.015419,2.622879,0.4427054,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,0a7655ae-15af-46c6-929c-37a9c1a37378,1625048206362,-16.8336076,32.6431595,0.0,-0.3697569,7.9771404,1.1077373,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,2e810abf-60e4-4457-886b-d8865b67f1f1,1625048206412,-16.8335662,32.6430299,1.3044496,3.545523,-2.0081215,-27.337769,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,67507d39-4c76-4359-b08d-4a68aaa2ab89,1625048206462,-16.8335662,32.6430299,1.3044496,-1.6789546,-0.08090019,4.267244,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,a83462aa-ad51-4ea9-98d7-1e1027b290f5,1625048206533,-16.8335662,32.6430299,1.3044496,1.4229851,-1.1799107,0.48036435,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,47e35736-f3ba-41a7-a58c-d3f0f3ff4539,1625048206586,-16.8335662,32.6430299,1.3044496,1.30217,-0.89743996,-0.5146167,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,cdd00bff-c981-4c20-b68c-41888cbba94e,1625048206646,-16.8335662,32.6430299,1.3044496,0.72890615,-0.3019619,-0.101288915,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,11b7ab47-d9ba-4f67-bd4e-3d56c813bb88,1625048206696,-16.8335662,32.6430299,1.3044496,1.1615908,-0.14971352,-0.5647067,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,7fb71a05-438b-4fde-8dbe-9cf4d236ea7e,1625048206746,-16.8335662,32.6430299,1.3044496,0.8949461,0.032240868,-0.24163336,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,9b15f31f-a58a-42ba-a98e-66a09503f21d,1625048206797,-16.8335662,32.6430299,1.3044496,0.7065036,-0.7734833,-0.7153877,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,944d4966-d339-4943-9051-4a1465894ce7,1625048206848,-16.8335662,32.6430299,1.3044496,0.22650003,-0.86558247,-1.0293934,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,584369f1-6893-472c-9bbb-23bab7f23e87,1625048206897,-16.8335662,32.6430299,1.3044496,0.0010380745,-0.686635,-0.915367,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,10074a4f-291b-4acf-be0c-d9a580e120f1,1625048206947,-16.8335662,32.6430299,1.3044496,0.4210801,0.31441736,1.7548356,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,81270b8f-cc13-49c8-b454-5fd3ed1f52b5,1625048206997,-16.8335662,32.6430299,1.3044496,-0.5799508,-1.2548285,0.34827018,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,041a23b6-1e7b-4c3b-964b-1c67ddf1ebea,1625048207047,-16.8335637,32.6430633,0.79719967,-0.32242298,-1.5695391,-0.10324073,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,ac87116d-a9a0-4532-95bd-c1291b759918,1625048207097,-16.8335637,32.6430633,0.79719967,-0.65110016,-1.718009,-0.100100994,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,62e327e6-df3b-4558-aa41-b2c532e65dfa,1625048207147,-16.8335637,32.6430633,0.79719967,-0.69860077,-1.4555187,0.2244271,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,ea900a2f-374b-4f32-be5f-d350febf8f14,1625048207198,-16.8335637,32.6430633,0.79719967,-0.03920126,-1.146739,0.55966043,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,7c4f2aea-9f6b-47d8-9b29-65f64a7a957e,1625048207248,-16.8335637,32.6430633,0.79719967,-1.0356092,-1.0049143,0.22036667,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,747fa73f-904a-489b-bd21-82fe343eadf3,1625048207298,-16.8335637,32.6430633,0.79719967,1.1195731,0.43297863,0.018573403,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,2e5a5105-18a7-47a8-a881-d9ebb8385ab3,1625048207347,-16.8335637,32.6430633,0.79719967,-3.960596,-4.394849,0.03246379,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,a2cbf192-94f9-48f1-8326-f2565f80bdc2,1625048207397,-16.8335637,32.6430633,0.79719967,1.5966251,1.1319642,0.5699247,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,e52fa9c3-cf08-49b2-adaf-3f49c18a7f01,1625048207447,-16.8335637,32.6430633,0.79719967,0.91162753,0.56853056,1.0735399,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,48a65e14-31bb-49ad-b090-15e859c02cbe,1625048207498,-16.8335637,32.6430633,0.79719967,2.0605159,1.3076687,0.7932591,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,a2752754-7152-4213-be31-1ab3af806486,1625048207549,-16.8335637,32.6430633,0.79719967,-0.51480293,0.040768147,0.8774324,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,65c67133-7ea0-4c7d-82f0-d6d2bbd36b0e,1625048207600,-16.8335637,32.6430633,0.79719967,0.4795084,0.36034822,0.9268116,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,3366c2aa-0383-47a7-8394-81dc1a38017b,1625048207650,-16.8335637,32.6430633,0.79719967,2.0308986,0.5446911,0.8311942,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,b8bc77c0-94a5-46a3-8149-eb1d1cca8212,1625048207700,-16.833572,32.6430872,1.3204267,-0.13053131,-1.310401,-0.066725016,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,95cdce77-c598-43d2-a0c9-4e03e469f356,1625048207751,-16.833572,32.6430872,1.3204267,0.5176201,-0.3630228,0.36371493,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,66c973ed-b4a9-4c59-8f3e-175af96c23dd,1625048207800,-16.833572,32.6430872,1.3204267,1.0417666,1.0256467,0.6828579,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,62a4fa09-d6d1-4d33-b750-6db9a0b00a13,1625048207849,-16.833572,32.6430872,1.3204267,-0.2476368,-0.26559734,2.799631,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,b07bb8bb-bb55-42bc-9576-8340f7031100,1625048207900,-16.833572,32.6430872,1.3204267,-1.504262,-0.44240475,1.0421457,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,4f887c7d-c0fa-4e6b-806b-f93eeefbb5e8,1625048207951,-16.833572,32.6430872,1.3204267,-0.55067587,1.069067,1.1787343,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,9bbc7a9c-6ee1-40e6-af01-79087b16e61c,1625048208001,-16.833572,32.6430872,1.3204267,-0.7613692,1.2363648,0.8593396,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,5890c4c7-7067-4108-9a8e-0d82bede87d2,1625048208051,-16.833572,32.6430872,1.3204267,-0.86471415,1.391757,0.29387993,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,5b685ae1-5195-4bfa-8e0e-7cec2c28ce9f,1625048208103,-16.833572,32.6430872,1.3204267,-1.3831472,0.9705086,4.8995018e-05,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,027c4af2-1aca-4e1b-90d6-e751a345f6c0,1625048208152,-16.833572,32.6430872,1.3204267,-2.3042355,1.5975542,-0.3251164,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,e8a0f01c-96ae-4c42-9fd4-775a8bdd9fb9,1625048208202,-16.833572,32.6430872,1.3204267,-2.44976,1.4142356,-0.27603817,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,b0eab366-1e0e-4256-b290-c22485f9521c,1625048208251,-16.833572,32.6430872,1.3204267,-3.0213876,0.39376926,-0.37615258,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,484048c2-7d6f-400c-ae1a-5018e1adf39e,1625048208302,-16.833572,32.6430872,1.3204267,-5.3825884,-0.71920586,-0.17000145,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,08a7acef-d5e8-404e-9225-1e37785c04ae,1625048208352,-16.833572,32.6430872,1.3204267,-3.6434364,-1.754921,-0.15912867,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,f18eb660-ee7b-4de8-be07-3606f3603fe9,1625048208403,-16.833572,32.6430872,1.3204267,-1.4420238,-3.2401228,-1.9152675,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,b6c7491b-f663-4689-b61b-4fb7c1b287c0,1625048208454,-16.833572,32.6430872,1.3204267,0.4849229,-0.7453022,-3.7762334,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,2f9ad896-7af2-4fef-9a20-2918b1b75cfe,1625048208505,-16.833572,32.6430872,1.3204267,-0.6317053,1.731297,-1.2537146,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,d1d39e1f-b4cb-4f34-83ba-04ecdce4e68d,1625048208556,-16.833572,32.6430872,1.3204267,-1.0266718,3.2731986,1.1586155,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,5af7515c-42aa-4ddf-95a5-d8642b32f33b,1625048208608,-16.833572,32.6430872,1.3204267,-1.3938614,2.5270228,0.32389438,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,520ffa47-441e-46a0-a578-89fbbac9e092,1625048208658,-16.833572,32.6430872,1.3204267,-0.9963516,2.2002158,0.7063241,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,899642e3-7eaf-4eb8-be5d-6078b10679fc,1625048208708,-16.833584,32.643096,0.54678917,-0.45603597,1.3545647,0.39614356,other,other,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,3ec85490-7d71-4da2-9cae-5934222b8f7f,ff9230fa-8a53-4790-9682-becbb362cac4,1625048208758,-16.833584,32.643096,0.54678917,-1.527493,-1.1744051,0.69325554,other,other,mixed,mixed
