bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,c583b95f-0189-4ccd-9233-aaf4de4bb47b,1627365445749,0.0,0.0,0.0,-0.99103534,0.90641356,2.8879647,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,3a286feb-de22-4e59-804f-50b41bef742c,1627365445847,13.4163006,52.4911015,0.3432471,-0.49332213,-0.5263443,1.071455,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,d4e6e938-6b97-4302-8946-4bce7a930a11,1627365445897,13.4162997,52.4910994,0.33999017,1.029549,-0.18246865,-1.6926594,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,b481af2a-9e1d-4a4a-bd4c-4cdac924ff39,1627365445948,13.4162997,52.4910994,0.33999017,0.7193368,0.2524264,1.1820974,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,e9b7cfb9-5079-4e7f-b7d7-a28f44aebc2e,1627365445997,13.4162997,52.4910994,0.33999017,0.030123353,-0.29147983,1.4043112,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,27018955-2523-4e72-bb89-f51ee796c786,1627365446047,13.4162997,52.4910994,0.33999017,0.35881603,0.09789133,0.27889442,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,9d000d95-2626-4f7b-8547-40d80d3af33f,1627365446097,13.4162997,52.4910994,0.33999017,0.4043432,0.56323147,-0.24339199,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,10ff7814-1c8e-4e12-8934-46a58f843572,1627365446147,13.4162997,52.4910994,0.33999017,0.10684851,-0.63033414,1.3771782,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,63fd308e-152d-4591-b676-cfbd5935c25d,1627365446197,13.4162997,52.4910994,0.33999017,1.0050882,-1.1348076,1.7743158,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,e3c29d52-157e-4047-a482-d6b8f04ce2ef,1627365446247,13.4162997,52.4910994,0.33999017,0.5866506,-0.48089528,2.0805063,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,a0eaa2e6-94b3-46a1-b021-b721a55e9200,1627365446297,13.4162997,52.4910994,0.33999017,1.4488467,0.47189927,1.5228176,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,4bae1c26-7641-41ba-afc8-586936311694,1627365446348,13.4162997,52.4910994,0.33999017,-0.16039819,-0.51280546,-0.34480858,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,8b1358a4-5264-4b21-8116-90f65c6ec9de,1627365446399,13.4162997,52.4910994,0.33999017,1.1675069,-0.50085044,-1.1373744,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,415b1a54-51a3-4d94-8224-b84acdbf48a5,1627365446449,13.4162997,52.4910994,0.33999017,-0.9075147,-0.23334718,1.8141041,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,1119a494-14cd-4bac-9b65-8bd1eaef9ea7,1627365446501,13.4162997,52.4910994,0.33999017,0.103800625,0.5735235,-0.120007515,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,67a59422-5271-4e67-8758-37c148fb91c2,1627365446551,13.4162997,52.4910994,0.33999017,0.23162234,-1.1931281,-0.24382114,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,ba426b65-14f8-4603-b4df-e56665dd1417,1627365446601,13.4162997,52.4910994,0.33999017,1.2607098,-1.3054795,0.8709421,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,b582dd63-2e09-418b-8abf-bdfd254622e9,1627365446652,13.4162997,52.4910994,0.33999017,0.6412161,-1.3581073,0.76171684,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,4e704559-5313-44ac-9663-697d70bf914c,1627365446701,13.4162997,52.4910994,0.33999017,0.88195103,0.5721483,-2.4467607,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,68f0896d-5eac-4318-a8e4-908f2f34edfb,1627365446751,13.4162997,52.4910994,0.33999017,2.3402615,-1.4510932,2.762495,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,44e9f6f2-42e3-413f-b047-f3ae6674ddd1,1627365446801,13.4162997,52.4910994,0.33999017,3.8593996,-2.3423922,1.4177971,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,91fa42b9-240d-4cce-92b7-3a38972557e2,1627365446852,13.4162997,52.4910994,0.33999017,2.1286428,0.74252415,-0.29383755,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,6f72690a-60e2-4dd8-a28b-c74019ec9eb7,1627365446902,13.4162997,52.4910994,0.33999017,0.22814417,0.4264152,-0.7291155,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,1cfbabfc-4ffa-4c3b-9c03-9193c30a6b8a,1627365446953,13.4162997,52.4910994,0.33999017,1.6678205,-1.3311788,0.98631,on bike mount,cyclo cross,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,229de40c-175b-4de3-adcd-07e6397aee23,e24b2a7a-dad6-4a5b-b1fc-e8ad58f9c95c,1627365447004,13.4162997,52.4910994,0.33999017,2.2273579,-1.5829309,0.17078876,on bike mount,cyclo cross,asphalt,excellent
