bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,9054b8c9-d1ee-48d3-ab49-2f08d8664be1,1633153338205,0.0,0.0,0.0,-0.2258994,0.73191833,2.4226694,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,07968e3e-5669-4705-863f-1971a2c90c08,1633153338313,13.4244598,52.4964267,0.0,0.36085293,0.21162248,0.087145805,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,92eaf4bd-efe8-4743-93a8-793af5e7c410,1633153338387,13.4244598,52.4964267,0.0,-0.13113058,-0.024695635,0.11979675,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,1ca55ef5-1ce6-42a1-b77c-7ec2be220585,1633153338453,13.4243597,52.496591,0.0,0.2464155,0.014036894,-0.040881157,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,a39eaae7-dc63-4467-bc42-4378b1a1218c,1633153338503,13.4243597,52.496591,0.0,-0.5016351,0.21626735,-0.11062813,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,39393341-8329-4807-91d4-5533a263724b,1633153338553,13.4243597,52.496591,0.0,0.5968477,0.011578321,0.043121338,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,962ca07c-b097-4c4b-be26-7034559c6e0a,1633153338620,13.4243597,52.496591,0.0,0.019503891,0.33858943,-0.3327055,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,d88296ca-ee36-46ea-aaa5-e6c6dcb3da89,1633153338670,13.4243597,52.496591,0.0,0.15077446,0.9255755,-0.30551147,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,d61eb8b6-f9ed-43c1-8248-dc0d6e7b9111,1633153338736,13.4243597,52.496591,0.0,0.476623,1.0482905,-0.59023094,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,156a97db-28b7-4956-9644-13aed9815e79,1633153338787,13.4243597,52.496591,0.0,-0.14829111,0.49497223,-0.73596764,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,4e3a3f71-69b3-4e49-9988-5b26e38dd6e6,1633153338836,13.4243597,52.496591,0.0,0.122691736,0.49342275,-0.07667923,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,1772fc37-8d0b-483d-91cf-63ac2863658f,1633153338887,13.4243597,52.496591,0.0,0.047834083,0.18242908,0.44390297,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,7cac25bc-5b20-45f7-a950-a53069601cd1,1633153338954,13.4243597,52.496591,0.0,-0.16851237,1.6065187,-0.58769417,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,75beb4cb-f451-4473-86eb-225e1d50780a,1633153339020,13.4243597,52.496591,0.0,-0.88259065,0.9609208,0.7839956,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,cac3f3c6-1f2c-4534-a10a-3759dea6ecec,1633153339070,13.4243597,52.496591,0.0,0.23975217,0.08970976,0.19537067,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,64a9e2ad-ca4b-4fca-913b-162c4a23dc40,1633153339120,13.4243597,52.496591,0.0,1.0820676,1.3782709,-0.16410923,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,588d2d05-8047-4dc4-b91a-42f38677e9be,1633153339188,13.4243597,52.496591,0.0,0.16331227,0.17303944,-0.6021824,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,f912a9a1-fb87-4dba-be1f-2cedae80bf62,1633153339254,13.4243597,52.496591,0.0,-0.34254932,-0.6787083,-0.078211784,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,ee0cfbe4-b5e5-4f8d-a26a-fc3c33925e92,1633153339321,13.4243597,52.496591,0.0,1.0056365,-1.4298248,-0.4653902,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,9e44b51f-5f47-47cb-b6d7-3658d894e4bb,1633153339388,13.4243597,52.496591,0.0,0.18976909,0.7306404,-0.04280567,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,9ca77ad9-6ac2-4237-afee-506f996fdb70,1633153339454,13.4243597,52.496591,0.0,0.31563568,0.66259956,-2.0946412,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,5b4f8b68-4c7f-4412-9645-c8720f4b6f82,1633153339521,13.4243597,52.496591,0.0,0.17166638,0.79628515,7.1694803,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,8dbee643-7546-41d0-acf0-b3c2ffad4262,68213474-d33b-462d-a266-d016563e646f,1633153339588,13.4243597,52.496591,0.0,0.9347681,0.049440622,3.4089127,on bike mount,cyclo cross,True,sett,intermediate
