bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,2bc6152d-7934-406c-b7b3-eac0945f0506,1644072372088,0.0,0.0,0.0,1.302709,2.5198298,-2.2321496,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,6fe3cb97-4de7-4b1c-b427-6f2371e01226,1644072372143,13.4241691,52.4967395,2.4519114,-0.3672266,-0.14254427,4.7898293,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,2f81160e-430c-4d0d-98eb-1f82c87dde0c,1644072372197,13.4241691,52.4967395,2.4519114,-2.0824635,-3.935403,0.1900711,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,691991a7-d4a2-4c0a-9872-81e5b2eb2c3f,1644072372253,13.4241691,52.4967395,2.4519114,-1.1781226,2.5033727,15.77544,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,3ca32bad-a9d4-4f94-a421-9e08213c558a,1644072372310,13.4241691,52.4967395,2.4519114,-1.566755,-4.310947,1.5429525,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,3aed14e6-b9bc-4ae2-a837-2ca30b8fb877,1644072372364,13.4241691,52.4967395,2.4519114,0.2422539,-5.4609632,1.2538805,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,583b7b2f-0913-45f3-a020-42db86ff79e4,1644072372420,13.4241691,52.4967395,2.4519114,-1.0968603,2.3665502,5.2323227,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,49ee1c6a-6e5d-4245-86c1-ae8b79540833,1644072372477,13.4241691,52.4967395,2.4519114,0.046414137,-2.883677,-3.3957167,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,4a79b233-e997-4875-8b69-d2cea6ef9e2e,1644072372532,13.4241691,52.4967395,2.4519114,-1.3110194,-1.55598,-1.8489971,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,0cfd6eae-e0cb-497d-8ceb-0d8bc0c0c88a,1644072372587,13.4241691,52.4967395,2.4519114,0.54075253,-3.1783895,2.0518389,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,7378b39a-e3bd-42c9-8876-499cfe2f9bd3,1644072372642,13.4241691,52.4967395,2.4519114,1.0262213,0.015657902,-3.4369936,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,6ef2552c-0b25-4183-91ec-3b8efd9de10f,1644072372697,13.4241691,52.4967395,2.4519114,-1.5970781,-2.3445704,0.5048561,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,f87018eb-7606-4fdd-b94b-d80ef80c1ada,1644072372753,13.4241691,52.4967395,2.4519114,1.0909257,-0.8767228,1.0508642,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,157c3620-6c11-45a4-b06c-0f82dfea5d39,1644072372809,13.4241691,52.4967395,2.4519114,-2.4320421,-2.6012414,1.3221931,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,bff95669-5ee5-4cc5-b5d3-e62f8c9c87b8,1644072372863,13.4241691,52.4967395,2.4519114,0.06993974,-3.5333366,0.4242201,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,47ef43e4-d2e8-4239-87c7-1497537f4653,1644072372920,13.4241691,52.4967395,2.4519114,-2.1553788,-1.0050695,8.283496,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,5277ec2f-486b-494b-a628-ff599efcdb22,1644072372976,13.4241691,52.4967395,2.4519114,-0.5369377,-1.4371203,-1.3959503,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,7d056342-530d-4240-9891-7f8cdfa05472,1644072373030,13.4241691,52.4967395,2.4519114,-2.0983562,-0.041478634,-3.2262154,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,29f4aebc-4535-4b2c-b3a6-0722e54cde71,1644072373086,13.424184,52.4967709,2.9384847,0.9233848,5.4533134,-1.3461256,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,ef9e1407-2566-4552-af55-0a031992d447,1644072373141,13.424184,52.4967709,2.9384847,1.9141624,-3.5047016,1.6933126,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,d367585d-db3d-41c0-b28d-388582621407,1644072373197,13.424184,52.4967709,2.9384847,-1.0021393,1.5786047,-0.4929905,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,7d002a18-d541-4424-b57f-868676288bd8,1644072373252,13.424184,52.4967709,2.9384847,-0.6786597,3.3020163,0.7307291,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,7ffcd2be-51d9-4580-bb1f-61de46c9e14e,1644072373307,13.424184,52.4967709,2.9384847,2.521736,-1.6131188,-4.6474047,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,4a553ff4-575e-4459-9fa7-f22dbc383800,1644072373370,13.424184,52.4967709,2.9384847,-0.6217397,-0.023473501,-1.9372263,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,fcbc1a49-30f2-4673-9d69-fc18c6441265,1644072373420,13.424184,52.4967709,2.9384847,-0.17881617,5.273229,1.6892815,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,c8874a2a-ed01-4c88-abab-589a9e3570ad,1644072373473,13.424184,52.4967709,2.9384847,-0.27149814,1.5015819,-0.4858923,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,568a155b-589d-433b-b78a-726d1addb940,1644072373528,13.424184,52.4967709,2.9384847,0.05950865,-4.4410377,-6.463908,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,2821c0a8-0748-4560-8106-595e692d4785,1644072373586,13.424184,52.4967709,2.9384847,-2.4515038,1.1178308,5.9537716,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,9b46c715-d833-4079-ae22-8ddb268531a2,1644072373640,13.424184,52.4967709,2.9384847,-0.99135613,-3.3322897,7.39635,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,2a4bd26d-def0-4e4b-b40c-56848d37408b,1644072373694,13.424184,52.4967709,2.9384847,-2.1875377,-3.9907007,-1.3936987,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,55b01578-a8d6-436e-99d6-383d8101747e,1644072373751,13.424184,52.4967709,2.9384847,-2.6860578,-0.09741402,0.5851917,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,ec618447-f388-4e97-88d9-1f05ffea9fdc,1644072373806,13.424184,52.4967709,2.9384847,1.4291241,-0.91018605,-1.6268668,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,ed5f531a-c481-42ed-9966-6b2f8d22b92a,1644072373867,13.424184,52.4967709,2.9384847,1.2875137,5.844025,6.4241676,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,3c7947f5-c1b4-4e7f-901c-1e8b13decf63,1644072373919,13.424184,52.4967709,2.9384847,0.8415013,-4.077312,3.7692232,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,49409159-ab35-4a81-bfe1-442114c5a588,1644072373973,13.424184,52.4967709,2.9384847,-2.8833094,3.8074617,-4.532528,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,b09c36df-a459-48fd-bf95-23dc03dc9ee6,1644072374028,13.424184,52.4967709,2.9384847,-2.1495388,-2.899313,1.2033339,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,f222bf65-ba45-49b5-9d4c-740cad2d6c19,1644072374083,13.424184,52.4967709,2.9384847,1.8815598,2.1872182,0.42187214,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,48ecdc6b-f8f4-4784-9b21-b248899ae119,1644072374147,13.4242062,52.496815,3.3411531,-0.28175455,-1.3659353,-1.5375147,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,9c3680e4-c095-4e8e-839f-a259c3dfca2a,959c147c-bdf1-4909-88b0-42f3c593d759,1644072374205,13.4242062,52.496815,3.3411531,-0.579426,9.697765,1.3766708,on bike mount,cyclo cross,True,sett,intermediate
