bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,7fe15898-ea24-4341-acb8-00bf55f157b6,1633859690678,0.0,0.0,0.0,-0.11827612,0.25732303,1.0801306,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,6dc26bac-5148-4518-917f-df15f8d81185,1633859690918,13.4245798,52.4964479,0.0,0.21014698,0.12571955,-0.02831459,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,fb74405c-ba3e-4ed8-98a2-6b5d919ceb34,1633859690967,13.4245798,52.4964479,0.0,-0.5109194,0.653548,-0.011437416,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,10b0002f-cb75-4bb8-a52c-92abf487548b,1633859691017,13.4245798,52.4964479,0.0,1.1347767,0.4557624,1.0026436,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,c2580ab0-269a-4826-aa45-26f83514eaa1,1633859691066,13.4245798,52.4964479,0.0,-0.25351435,1.8566608,-0.6024189,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,eb54caeb-c0ef-4a68-8f11-85c21439874c,1633859691117,13.4245798,52.4964479,0.0,0.6200899,0.07557416,-0.06952381,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,a9c3fdd6-396c-41f9-b8ab-103525364767,1633859691167,13.4245798,52.4964479,0.0,0.53419334,-0.3495927,0.5134592,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,9c39d7dc-383b-4f72-a823-fa9ac27f2c93,1633859691217,13.4245798,52.4964479,0.0,0.23806599,0.9296565,-0.37705994,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,3e3479b5-9c46-4e70-aeab-17f9744b3c3a,1633859691267,13.4245798,52.4964479,0.0,1.3341182,1.9119415,-0.7199898,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,125eaf6b-01c1-4131-975c-536f83d9b1d2,1633859691317,13.4245798,52.4964479,0.0,0.5219335,0.24904609,-0.43210316,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,21ea854b-d349-43af-b584-88695d1de11c,1633859691369,13.4245798,52.4964479,0.0,0.8875242,0.20919919,-1.1611547,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,632a3259-598f-4aa3-a8f1-10a0572b9330,1633859691419,13.4245798,52.4964479,0.0,-0.37155533,0.962651,-0.48506355,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,3dbf9e8d-689c-47c2-bc00-0bf4bd4a9c0d,1633859691469,13.4245798,52.4964479,0.0,-0.105647326,2.4149237,-2.9329047,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,daf9366b-01b1-4a94-8cdf-2bb613cefd37,1633859691520,13.4245798,52.4964479,0.0,2.237484,1.818891,1.8614197,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,874330a6-ad35-4834-b4b6-de1b17807801,1633859691571,13.4245798,52.4964479,0.0,2.3022451,0.20099473,1.1934385,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,f1c5d6d9-cf59-4823-a499-d05e55fdeb41,1633859691620,13.4245798,52.4964479,0.0,1.7289128,2.05004,-3.2118487,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,7efa1c5d-3a43-4e0b-9ae8-3ff473a0c27d,1633859691672,13.4245798,52.4964479,0.0,0.67439866,-4.7888665,-3.4134169,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,e1273b05-b941-4add-a117-1ba0e51f193c,1633859691722,13.4245798,52.4964479,0.0,-5.886347,-2.220494,5.0934467,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,10c0fb98-7486-412b-a8e2-4031c16830a2,1633859691773,13.4245798,52.4964479,0.0,0.8912287,-0.29313362,-0.7571926,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,c9b5f9e1-3d57-4820-909a-7b25e96c5ee8,1633859691823,13.4245798,52.4964479,0.0,0.6783136,-0.27872348,1.6679554,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,3c18376b-29ae-44ea-8638-cccd59a22607,1633859691873,13.4245798,52.4964479,0.0,-2.402357,-1.6425354,1.3027067,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,3a06199e-04fd-4292-876f-eb5818005e6b,1633859691923,13.4245798,52.4964479,0.0,-1.2659032,3.4400735,-3.5803843,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,07f00ce9-61a9-4e83-9f5b-e88aac2c10aa,1633859691972,13.4245798,52.4964479,0.0,5.230605,-1.060502,4.8352604,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,4f7ff092-fe76-427f-ba18-4f93684f45e4,1633859692023,13.4245798,52.4964479,0.0,4.2421775,-0.57635975,-3.705338,on bike mount,cyclo cross,True,sett,intermediate
