bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,7e0b2521-7484-4c48-9eae-35dc918b2d82,1636127970578,0.0,0.0,0.0,-0.6214216,0.72600174,-0.29602814,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,7ddea4fb-2450-4408-9adc-2cce599b1adc,1636127970629,13.3972283,52.4727709,0.0,-1.4185646,-1.5249805,-0.10609913,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,156f1908-87dd-4c96-9dcd-3567a1f0084a,1636127970679,13.3972283,52.4727709,0.0,-0.15825051,-2.2993536,0.06909084,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,5d081811-c91e-4569-89f4-d01e063b7a41,1636127970729,13.3972283,52.4727709,0.0,-0.34023544,-0.2288754,-0.77394867,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,c1a719b9-4f86-494d-a366-a48189fc2198,1636127970779,13.3972283,52.4727709,0.0,-1.7917447,-1.6943905,-0.1462822,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,e70ca8e6-3d41-4f6b-ace1-34ba894ea8e3,1636127970830,13.3972283,52.4727709,0.0,-1.426203,-1.2641208,1.0105743,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,c076402b-31ea-41d2-881b-cc53d3845999,1636127970881,13.3972283,52.4727709,0.0,-3.6112728,-2.1886377,1.4968662,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,5b0a8ded-0237-437b-b503-8b23dc704f54,1636127970946,13.3972283,52.4727709,0.0,-2.1512902,-1.0645521,1.5729504,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,90d1ac6a-ab83-4070-9efe-ce4d50d1dfec,1636127970997,13.3972283,52.4727709,0.0,-1.6891389,1.2579193,1.8827524,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,ced95bb9-c9a4-467f-afd1-1725c51224e8,1bd6dff8-2e47-47bc-9161-f52a27df6340,1636127971047,13.3972283,52.4727709,0.0,-1.7220759,0.23111558,0.93501854,on bike mount,cyclo cross,False,paving stones,good
