bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,5a802978-4cb0-4d53-a4e4-59219005359b,1627404723371,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,9e519e31-9ded-43ee-ae56-70d4a0e10109,1627404723423,13.4178349,52.4756867,5.3510485,10.784601,-5.1764765,0.9241524,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,18598cce-b887-400c-8744-405eb8bf7eb1,1627404723482,13.4178349,52.4756867,5.3510485,10.535345,-7.4658422,15.348729,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,2e69ceb0-9222-477b-b546-1c115f5dbed0,1627404723532,13.4178349,52.4756867,5.3510485,-0.11949921,1.7828455,14.15427,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,5655b200-e110-4195-b595-6889ad64dd54,1627404723582,13.4178349,52.4756867,5.3510485,-0.109948635,-5.1511884,-4.2763405,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,75d98b0b-6147-43b0-b618-027fa7e34e71,1627404723632,13.4178349,52.4756867,5.3510485,9.50924,4.4370227,0.15069151,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,dbeb9dc5-ad99-45a2-97f8-9a8b973e6630,1627404723682,13.4178349,52.4756867,5.3510485,3.6067743,-3.9243727,1.5393162,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,2dc6e262-7026-41ce-9879-c6bc3148fbe9,1627404723749,13.4178349,52.4756867,5.3510485,21.529673,4.688468,11.731989,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,1b08a219-47b1-4cf5-9f03-11fba4afbfc0,1627404723799,13.4178349,52.4756867,5.3510485,-20.32787,19.154345,-10.811918,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,64e310f8-c90d-4c3b-a966-ee84a29226ed,1627404723866,13.4178349,52.4756867,5.3510485,-1.0941343,-5.7557197,-7.022752,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,9855f1f9-2cf9-41d8-a36d-16afe94758c5,1627404723932,13.4178349,52.4756867,5.3510485,-14.795471,2.5335588,-9.2583,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,b75642fe-f78b-4775-8287-770d4a754101,1627404723983,13.4178349,52.4756867,5.3510485,7.8622775,0.78592014,-13.950474,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,8a249a12-0309-4d61-a581-c0a8255e0a4c,1627404724033,13.4178349,52.4756867,5.3510485,-1.9828072,8.900123,-4.9259505,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,5cdbce51-ddda-4b8e-9e98-b18a686a4041,1627404724083,13.4178349,52.4756867,5.3510485,-11.746534,15.762159,-22.806297,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,aceebf1a-8c7d-499f-a7f4-d4f3dc8dd34b,1627404724133,13.4178349,52.4756867,5.3510485,-18.918198,18.483465,-29.532701,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,24562d59-52cf-4227-8ebb-b80a3c2f5f51,1627404724199,13.4178349,52.4756867,5.3510485,3.6476398,1.8938427,-12.723259,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,a2e87ec7-dd6e-4f54-bbe3-004f83ede236,1627404724249,13.4178349,52.4756867,5.3510485,-6.345132,2.4199,-2.2235456,on bike mount,cyclo cross,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,5c244044-b3a1-4a30-aade-5854bcc56db0,0c333f23-749e-43ad-9d79-e9a2d8bcc7da,1627404724300,13.4178349,52.4756867,5.3510485,2.1279552,0.6451583,-12.790184,on bike mount,cyclo cross,sett,intermediate
