bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,13b247bb-d2ef-4356-a3e9-2af980fb64a3,1634557684074,0.0,0.0,0.0,0.7990997,0.95377254,-2.5258794,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,36ce7b25-650a-4556-8c83-0cda72a2d99e,1634557684128,13.4391445,52.4930316,3.435749,2.2513032,5.0309834,-9.929342,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,baa357c6-84a7-40e9-a8f8-49eb6bb13114,1634557684179,13.4391445,52.4930316,3.435749,-2.826151,1.6588168,-6.6372004,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,bee7b64b-1d95-43e3-b150-c8631a74c2e2,1634557684229,13.4391445,52.4930316,3.435749,1.8493891,5.4573565,-10.119797,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,8006ef13-dcc8-4136-82f8-67eaf46a66b4,1634557684279,13.4391445,52.4930316,3.435749,0.6630759,-1.1331089,-5.476496,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,d14f67b6-79de-4991-b175-8cd25abb4a61,1634557684346,13.4391445,52.4930316,3.435749,-4.7075872,-1.3702211,4.127125,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,fc07d405-59aa-4271-bb71-41fdbd5d1d85,1634557684412,13.4391445,52.4930316,3.435749,1.7365286,3.8949594,3.8945036,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,0d747e1a-c382-4446-ba12-c6a9fdc7494f,1634557684462,13.4391445,52.4930316,3.435749,-5.513839,-1.9934165,9.375358,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,55579610-5283-4a2c-8042-b6eac12063be,1634557684512,13.4391445,52.4930316,3.435749,3.2963421,4.1639857,3.4743319,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,a7f638b4-5096-4082-abd2-66fa250a3b70,1634557684562,13.4391445,52.4930316,3.435749,0.09202072,1.0723753,6.6968164,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,4fa8f0d1-bcc4-44f2-a054-74d75d28575e,1634557684614,13.4391445,52.4930316,3.435749,-5.209794,-4.1437616,9.130459,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,6c468a21-3b92-4cf0-9454-a2204892a9a3,1634557684664,13.4391445,52.4930316,3.435749,2.8991828,-4.386155,5.1504574,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,36b19e74-8f82-4bd2-a981-536aae834e20,1634557684714,13.4391445,52.4930316,3.435749,2.008957,5.2088094,-3.477466,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,38e5c311-0c3e-4c5a-b0f5-662864291afe,1634557684779,13.4390988,52.4930427,3.549876,-1.4831169,-5.629896,11.719111,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,40912ffc-e2a8-4c71-a5e4-3ccb18bc9cd3,1634557684830,13.4390988,52.4930427,3.549876,-5.1668854,-6.325523,-0.076125145,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,5d7cdd31-c9d1-42ef-abe8-93d01fd1430e,1634557684882,13.4390988,52.4930427,3.549876,3.5688367,-6.5552244,13.0173025,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,42ff6e17-1166-42a6-b335-88b93ea9f4fe,1634557684931,13.4390988,52.4930427,3.549876,-0.2360658,-4.9551554,9.13695,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,bab05ea9-7708-4ff3-9166-9c6e8b3bbc53,1634557684981,13.4390988,52.4930427,3.549876,-2.9102938,0.00010967255,0.003156662,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,06b88b48-aae5-4ad9-b1a9-0af3e2bf55f5,1634557685031,13.4390988,52.4930427,3.549876,1.3384206,0.5680847,5.97882,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,48acdb04-b8d8-4f30-8245-63c1432f81f5,1634557685097,13.4390988,52.4930427,3.549876,4.4262714,-3.8759608,3.2229805,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,edd9b3d5-5b8b-4ae9-9c6a-e7ee7adfc038,1634557685147,13.4390988,52.4930427,3.549876,2.4472742,3.4385252,8.095488,on bike mount,cyclo cross,True,sett,intermediate
6737010e-4ca2-4bf8-b587-06581394346f,a883b85b-46bd-4f1b-bcd7-592378aa7f8c,a482baea-edaf-47a9-bc01-e98fa4038835,1634557685197,13.4390988,52.4930427,3.549876,3.4219453,-9.744023,8.560807,on bike mount,cyclo cross,True,sett,intermediate
