bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,0c264f57-4e5f-4753-a0ac-d2db58fa907c,1633173723740,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,eb8505d2-c21c-408c-b682-2f7ca36d40f3,1633173723790,14.4636441,52.1912789,2.9831016,0.17084157,0.03878498,-0.003684044,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,a1121516-9c05-4782-bf7a-fb6998d8bfe9,1633173723840,14.4636441,52.1912789,2.9831016,0.08652425,0.0065262318,-0.07628727,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,b03535b3-4f4a-4eb0-b5f7-44bc5fd1738c,1633173723890,14.4636441,52.1912789,2.9831016,-0.007991433,0.04160571,-0.038615227,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,56facbec-c3b3-4c6b-bef1-9d27e469d6e8,1633173723940,14.4636588,52.1912547,2.9415972,0.11013514,-0.0107905865,0.02188301,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,190900e9-fa43-4800-9f5f-d7d8e24681b7,1633173723990,14.4636588,52.1912547,2.9415972,0.07371545,0.028104067,-0.0001335144,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,fa3d85ed-30bd-4517-b91e-8fd399c73679,1633173724040,14.4636588,52.1912547,2.9415972,0.06725001,0.044137955,-0.033046722,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,e9f19712-d2e4-4ca5-bd4b-33d42d7f1504,1633173724090,14.4636588,52.1912547,2.9415972,-0.021042585,0.0020878315,-0.051761627,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,cc494080-7ada-44ba-ada5-5ae6360f1c6e,1633173724141,14.4636588,52.1912547,2.9415972,0.077494025,0.04518199,0.0008831024,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,efc0386c-770d-4962-829a-3292a06676c3,1633173724190,14.4636588,52.1912547,2.9415972,-0.023954988,-0.0378263,-0.05173397,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,3cb28ef0-75b4-4617-bc0d-a9e5b6b4a1c5,1633173724240,14.4636588,52.1912547,2.9415972,0.037362456,0.064575434,0.07136059,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,f5a7fd5e-2f1c-4857-9bc0-593716b7e475,1633173724291,14.4636588,52.1912547,2.9415972,0.019363523,-0.008097172,0.04432106,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,4eec0cc6-35e7-4f27-800e-a1e72113c1d3,8a9b05e3-ffb4-437c-b50d-3d65ff79c62e,1633173724341,14.4636588,52.1912547,2.9415972,0.18570685,-0.012193918,-0.026018143,on bike mount,cyclo cross,True,asphalt,excellent
