bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,7a89f6aa-1c8d-4e26-addb-07d839d11253,1634144392299,0.0,0.0,0.0,-1.6025301,-0.030231476,-9.2562,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,45114998-da80-425a-86dc-a44d7e02f0d5,1634144392360,13.4162639,52.4910887,4.62392,3.6982822,5.2560825,3.0800333,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,cc06b859-4663-4184-8070-3af595de4a79,1634144392409,13.4162639,52.4910887,4.62392,-7.076311,-10.9258995,7.710926,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,6215b260-498c-4171-b718-1531e19de682,1634144392460,13.4162639,52.4910887,4.62392,1.6321099,4.558812,-3.3343804,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,3988d5fe-c377-4e07-ae7d-ab126999f766,1634144392510,13.4162639,52.4910887,4.62392,-1.5748936,-4.497136,-11.603859,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,937e9237-2395-4d17-95a2-c0607004cabb,1634144392560,13.4162639,52.4910887,4.62392,-0.0050262213,1.0627975,8.586212,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,76f1e1da-867d-407d-bedb-6d1a33a1b956,1634144392611,13.4162639,52.4910887,4.62392,2.9977913,10.813962,2.867239,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,49c4504d-db38-4a33-a5ef-d51cf769ea24,1634144392661,13.4162639,52.4910887,4.62392,-0.7774274,0.08591676,7.2530956,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,268db1de-1784-4728-a398-620c045863cd,1634144392711,13.4162639,52.4910887,4.62392,-1.4587855,-2.035214,-9.294596,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,e60f1407-e1e0-4191-aa1f-9a9ec4ca074f,1634144392761,13.4162639,52.4910887,4.62392,-14.195906,-11.44984,31.104414,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,eec16846-5e1a-43bf-835f-acd5836d4178,1634144392811,13.4162639,52.4910887,4.62392,6.540183,12.111518,2.6747265,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,da66af78-f86a-4aac-8c1c-fb08ab2e3a3c,1634144392862,13.4162639,52.4910887,4.62392,-2.895979,10.050937,-8.528348,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,10654d9c-454b-4a49-b265-72a09c281fa0,1634144392912,13.4162639,52.4910887,4.62392,7.8479524,6.5641527,-7.787038,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,860bf171-8e15-4a7a-bd2b-75a3304d95a1,1634144392978,13.4162639,52.4910887,4.62392,-0.010325611,-0.41982818,-6.771557,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,e0b0ed30-7349-41ea-87d2-1bfbd58225a4,1634144393028,13.4162639,52.4910887,4.62392,4.7574396,16.092054,4.317896,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,8e947c1e-f886-4821-b6ca-b42af07ce4f4,1634144393079,13.4162323,52.4911193,3.3443003,-1.233206,-3.7848878,12.166344,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,60e2c01f-fad5-42ce-a28f-0e585803561f,8155b084-076c-4723-8984-0c0e8def570b,1634144393128,13.4162323,52.4911193,3.3443003,5.694846,7.700839,2.671053,on bike mount,cyclo cross,True,sett,intermediate
