bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,9847edfb-267f-4b31-aeb2-431581bf5cea,1633161247300,0.0,0.0,0.0,-0.035655618,0.77176,1.7114773,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,9592e0bf-385e-4d33-8bdb-3ac137c47b12,1633161247361,13.8248839,52.4063435,5.4907756,-1.9168686,-1.4691515,0.31587315,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,8afcf7dd-b408-431a-ae13-7ec2ce7c1e19,1633161247411,13.8248839,52.4063435,5.4907756,0.84371454,-0.92763925,-0.5539303,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,89ab78e0-9d2b-404f-bab7-9b797178d3b1,1633161247478,13.8248839,52.4063435,5.4907756,-1.1016698,-2.221749,0.16355991,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,adf64050-7a33-481b-9580-87e3541a5baf,1633161247528,13.8248839,52.4063435,5.4907756,-2.121849,-0.74973273,2.3401108,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,53c8cb9b-016c-4967-89e7-afa3ed769c05,1633161247579,13.8248839,52.4063435,5.4907756,1.5890865,-1.8957492,0.9915123,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,7b345edb-7bb8-4a7d-9c5b-35f1c7053297,1633161247645,13.8248839,52.4063435,5.4907756,1.6204438,-0.74324656,-0.77527094,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,cd40c960-b6f1-496b-96af-fc3e32e33461,1633161247696,13.8248839,52.4063435,5.4907756,-2.028515,-1.6298456,0.77270603,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,16035063-b021-4aa4-bc1f-3a2e930af569,1633161247762,13.8248839,52.4063435,5.4907756,-0.74254435,-0.8227322,-0.77562857,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8de4f9ed-49c4-47c1-b717-45fecf2c387a,6ed53f7a-3e3a-40f6-b0a6-858e6648e087,1633161247812,13.8248839,52.4063435,5.4907756,-0.79961324,-1.1565075,-0.524209,on bike mount,cyclo cross,True,asphalt,excellent
