bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,b4b82965-bc46-4def-8b82-92343da8e25b,1634371862909,0.0,0.0,0.0,-0.29974505,-1.2429848,-0.48800373,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,6be95a8c-fb55-4930-a58f-0014f17b58ca,1634371863087,13.3769657,52.5085632,5.299552,0.4473537,1.679071,1.1087427,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,d8c16e89-acb5-4105-8c25-7f0f27b9c606,1634371863140,13.3769657,52.5085632,5.299552,1.5901655,0.3323698,-0.8279042,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,a3237ce5-d851-4932-9fb2-186ed9f9b88e,1634371863207,13.3710736,52.5108018,0.0,-2.4736676,0.63789797,1.3705893,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,f5d00410-abdd-460f-bc32-da2bfde5734e,1634371863274,13.3710736,52.5108018,0.0,1.4206748,1.3869958,-0.1894188,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,af552942-a47c-49cd-b91a-f398109822ff,1634371863340,13.3710736,52.5108018,0.0,0.9647945,-0.24554825,-0.30129433,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,85556f07-ba86-4d89-a885-fb176d765ab2,1634371863391,13.3710736,52.5108018,0.0,-2.1642647,1.9222379,-1.3107128,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,cca8408b-5d00-481c-bac3-a8b8ffda2b35,1634371863457,13.3710736,52.5108018,0.0,0.72301286,0.01644826,0.7281265,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,53690ba1-d6aa-4f60-b443-f55aa37306e0,1634371863508,13.3710736,52.5108018,0.0,2.0354426,1.6106181,1.532733,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,367c5572-0ead-41e4-a0ad-008f6f32dfbe,1634371863574,13.3710736,52.5108018,0.0,-0.37615204,1.1349912,-1.526267,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,a738b11d-568d-45cb-8f57-ef9ae011ad67,1634371863641,13.3710736,52.5108018,0.0,0.42307377,-1.1795864,-0.36580753,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,6ff32f79-e8ee-4869-8492-8e039bb55d3a,1634371863708,13.3710736,52.5108018,0.0,-0.49533415,2.946292,0.29471207,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,7a5b4fcd-c629-4629-8fa3-8504dc33694c,1634371863775,13.3710736,52.5108018,0.0,0.97577316,1.2116308,1.5435448,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,3b6e9794-ae93-48ea-bd86-249e0f7e6ac3,1634371863842,13.3710736,52.5108018,0.0,-1.35814,-3.16409,0.80594635,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,d3227630-cebd-4602-ad03-90cf99d11a86,1634371863909,13.3710736,52.5108018,0.0,1.2885082,0.049964428,1.860198,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,9118d7e7-2614-48a6-9d0c-5d641d9605ab,1634371863976,13.3710736,52.5108018,0.0,0.17365181,0.6464243,-2.219038,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,0a87090c-148e-4436-899e-d0145506d830,1634371864042,13.3710736,52.5108018,0.0,-2.1120744,1.0966244,-4.5233684,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,e23a4252-332b-4ab4-8d14-fe5f17ef1f4d,1634371864109,13.3710736,52.5108018,0.0,-0.970294,-0.1961379,0.86671257,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,2b00cd1a-f7a7-4c24-93f6-595e9598fb27,1634371864177,13.3710736,52.5108018,0.0,-0.79027367,-0.2963395,-2.2715364,on bike mount,cyclo cross,True,fine gravel,good
