bike_activity_ui,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,5750f039-2434-4438-a1e2-e8197c63d20f,1623945039329,0.0,0.0,0.0,-0.065512344,0.008633718,-0.015851974,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,756e0ead-dc5c-4381-ae6d-c509084fba66,1623945039387,-16.8197936,32.657047,0.0,0.02505657,-0.03325662,-0.015868187,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,35ba33a7-c547-4134-8dc4-87854914b245,1623945039454,-16.8197936,32.657047,0.0,-0.0024912506,-0.012030095,-0.035791397,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,83e897d2-b46e-428c-872c-bbfd7bb10e1b,1623945039521,-16.8197936,32.657047,0.0,-0.03761691,-0.021596879,-0.08869171,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,b8d27b21-4603-4b59-a0b4-95ef9b641aa5,1623945039588,-16.8197936,32.657047,0.0,-0.033589944,-0.029062495,-0.02306652,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,cc2db30d-8eb9-4fd7-b201-2e8391cd7f63,1623945039654,-16.8197936,32.657047,0.0,-0.010857686,-0.036635622,-0.02227974,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,961e4d25-1050-4570-a24e-4aa2616770ca,1623945039721,-16.8197936,32.657047,0.0,0.025116757,-0.025511295,-0.038384438,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,5a864d3c-3979-4800-9f4e-7c1da5d7e0e9,1623945039788,-16.8197936,32.657047,0.0,-0.012577757,-0.010092199,-0.03072834,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,dfc2931a-8cb2-486a-83e8-9e4b8ca18e5d,1623945039854,-16.8197936,32.657047,0.0,0.023085311,-0.0034696758,-0.056005478,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,4a471739-4c8c-454f-91a9-1d10e2ac1f31,1623945039921,-16.8197936,32.657047,0.0,0.0004773587,-0.006304443,-0.0230484,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,cf4eb9ce-9fdd-46ba-9158-4c113f836b4c,1623945039988,-16.8197936,32.657047,0.0,-0.01545091,-0.03304194,-0.036064148,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,0ef57699-8bbb-4de9-aad9-d11ddf317fb8,1623945040055,-16.8197936,32.657047,0.0,0.028364569,-0.02001886,-0.018428802,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,3314ba1c-ca00-4a3d-9ecf-f392ef3f53d2,1623945040121,-16.8197936,32.657047,0.0,0.0026979744,-0.010587946,-0.09969711,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,3ab467dd-46f5-438c-ac96-bd6b86710609,1623945040188,-16.8197936,32.657047,0.0,0.017770141,-0.023598388,-4.005432e-05,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,4213611e-2474-46e9-8ecc-f772cc6ccf0d,1623945040255,-16.8197936,32.657047,0.0,-0.013462812,-0.019122407,-0.012300491,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,b17e7877-e09b-41b2-ae6d-01c2b540cc9e,1623945040321,-16.8197936,32.657047,0.0,-0.0010663867,-0.024978116,-0.019685745,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,2b44497b-a9b4-4928-967a-e8b805339106,1623945040389,-16.8197936,32.657047,0.0,0.020413578,-0.02146025,-0.031085968,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,933a14f5-b941-457b-b58f-d0dd72ee20b6,1623945040455,-16.8197936,32.657047,0.0,-0.009980366,-0.035041854,-0.02266121,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,82dedc87-cff4-4a17-99a8-10007bd3749a,1623945040522,-16.8197936,32.657047,0.0,-0.008560196,-0.020816848,-0.038863182,other,other,mixed,mixed
719df2ba-add3-4fba-b3f2-5b84b31efb07,7a88c5ff-9b42-4f15-93ae-cc50bd5f89a3,dd612455-e76a-4901-ad47-a568e54c40d4,1623945040588,-16.8197936,32.657047,0.0,-0.024318874,-0.015736625,-0.028792381,other,other,mixed,mixed
