bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,450b6939-d88e-4732-a266-0fbb5f19d9d7,1627405209809,0.0,0.0,0.0,-0.37628186,2.9457679,9.529694,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,5a069199-2bcd-47c6-b23a-9968e7d02e6a,1627405209863,13.4140948,52.4877627,8.004315,-4.058289,0.4026475,-0.8088503,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,808614b9-a508-41c2-95d5-e006e0e642e4,1627405209913,13.4140948,52.4877627,8.004315,0.3477478,-4.747893,0.7259302,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,4c6531eb-1154-4565-87f7-c668acd0002d,1627405209964,13.4140948,52.4877627,8.004315,5.1777515,-30.448524,63.29122,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,e58dab8d-514d-488d-ade1-78be60683159,1627405210014,13.4140948,52.4877627,8.004315,-21.221113,6.721818,-10.015526,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,43c24bd5-92b9-4d01-87fb-7d6b62bd14ff,1627405210064,13.4140948,52.4877627,8.004315,22.755272,8.797148,-11.113861,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,636859ea-05fb-4a58-9aa0-8f2f0a7735a4,1627405210114,13.4140948,52.4877627,8.004315,-8.538527,-2.6137853,-25.354628,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,008e9092-5ba3-4595-9db7-f2a70ac7abb2,1627405210164,13.4140948,52.4877627,8.004315,-6.5383735,-4.8468423,-1.9981952,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,d50309fc-d117-45de-afb1-612f1cb1eb17,1627405210214,13.4140948,52.4877627,8.004315,2.0558853,-19.184908,13.602564,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,00791794-86c0-4e07-beeb-ee170f0faf89,1627405210264,13.4140948,52.4877627,8.004315,5.2673006,-40.462933,31.605804,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,6b905304-c21d-49be-a831-3a8fe4ffbd59,1627405210314,13.4140948,52.4877627,8.004315,-9.547101,-17.521626,29.155296,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,bdc2d411-be09-48f6-8a3a-45c184c044b9,1627405210365,13.4140948,52.4877627,8.004315,-6.5744834,12.837115,6.7856903,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,1fe91033-863e-4aed-955b-7a9c842fe97e,1627405210414,13.4140948,52.4877627,8.004315,-0.74057436,-2.5994751,-3.9554641,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,0a86540f-b3dc-42b0-aaf8-feaf4e024256,1627405210464,13.4140948,52.4877627,8.004315,14.280909,-12.573633,-15.309379,on bike mount,cyclo cross,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,54186371-ad28-4677-8d63-cad88fecc734,f3a56d1a-39dd-4fa7-b8b9-32897b79f376,1627405210514,13.4140948,52.4877627,8.004315,8.94888,-33.84053,38.490288,on bike mount,cyclo cross,sett,intermediate
