bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,01d897fc-a13e-49ca-980f-63a0c99ff9d6,1643886560692,0.0,0.0,0.0,-0.66512215,2.0984395,1.5325661,on bike mount,cyclo cross,True,sett,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,f72abe3c-05cc-492e-bbf7-e47bcee33280,1643886560747,13.4201725,52.495692,3.4441974,4.9917727,-4.9662695,-5.9748187,on bike mount,cyclo cross,True,sett,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,b371b1ba-2e81-4176-aa9e-4e27935077e6,1643886560797,13.4201725,52.495692,3.4441974,0.68848604,-2.531476,-0.104575634,on bike mount,cyclo cross,True,sett,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,06512713-66b0-4751-a5b3-0289c6d355bf,1643886560853,13.4201725,52.495692,3.4441974,-1.3026736,0.2549727,3.5693235,on bike mount,cyclo cross,True,sett,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,daed2ab2-0b97-4093-a01a-297b927325ce,1643886560908,13.4201725,52.495692,3.4441974,-2.421478,-3.3668084,2.7577057,on bike mount,cyclo cross,True,sett,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,51a5ab83-df0e-4023-b2ff-df1a8ed8232e,1643886560964,13.4201725,52.495692,3.4441974,-2.8897476,-4.4889145,0.91265583,on bike mount,cyclo cross,True,sett,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,32655a75-a48c-4caf-ad69-c123f19d0b47,1643886561020,13.4201725,52.495692,3.4441974,3.885527,1.0439785,-16.02547,on bike mount,cyclo cross,True,sett,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,0e15ded3-67f8-48ab-8dd6-7acd56648736,1643886561076,13.4201725,52.495692,3.4441974,5.0655556,7.182752,-5.805331,on bike mount,cyclo cross,True,sett,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,ae533a9f-cfa9-41bc-9f89-32d389f6a598,1643886561131,13.4201725,52.495692,3.4441974,3.7572002,-0.91370654,0.10287857,on bike mount,cyclo cross,True,sett,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,1d53777d-1a15-49c3-bff5-0de9b6e53e5f,eaeba40c-0bfb-41cb-b784-5247ce423d7a,1643886561186,13.4201725,52.495692,3.4441974,5.725094,-3.2078981,-10.145069,on bike mount,cyclo cross,True,sett,intermediate
