bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,531fe8c0-8304-4054-b044-f90808301be5,1633165159543,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,718ce8db-6756-4da1-b5d5-43e6c390df21,1633165159600,14.0869083,52.3549592,6.591022,3.1702366,4.499812,1.6518688,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,430882a9-91ff-4a9d-bc69-64c65242820d,1633165159666,14.0869083,52.3549592,6.591022,-1.2197793,-2.2610016,2.6172256,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,d7c52fae-7cfc-4fa3-a44b-79ff9be5af25,1633165159732,14.0869083,52.3549592,6.591022,0.5753075,-1.9812357,-0.4548359,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,521edfdc-be9b-4951-b229-a8098a0dc0a1,1633165159783,14.0869083,52.3549592,6.591022,0.34360114,-2.00116,-1.713522,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,c00ac3a9-4a51-4796-87f1-eb9591f8486f,1633165159850,14.0869083,52.3549592,6.591022,0.55958396,1.8521833,0.6644974,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,ae4dd47e-4d3a-4840-abca-dca21d9c9b87,1633165159900,14.0869083,52.3549592,6.591022,2.8489866,0.2001698,-0.20077515,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,d8e282a6-5260-4326-9f9b-0df23cd91005,1633165159967,14.0869083,52.3549592,6.591022,-1.1669676,-0.3563726,0.18155766,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,1d933e8b-0363-43f4-b2c4-53a0495435b2,1633165160017,14.0869083,52.3549592,6.591022,1.0149975,1.6972628,-2.4378223,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,345b5ae3-49c2-40dd-b74a-07dcaa7a9e00,1633165160084,14.0869083,52.3549592,6.591022,0.3134448,-1.9869471,-4.795585,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,8d64f6d7-8415-4287-b68d-1388a84ae5d3,1633165160150,14.087083,52.3549465,6.539248,0.33465058,-3.944807,0.63728905,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,6554303a-67fc-432a-a67f-05e8006a805e,1633165160217,14.087083,52.3549465,6.539248,4.225115,-0.45346737,-6.619996,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,1a32b0ca-a804-4365-a634-5f5742dae3ed,1633165160284,14.087083,52.3549465,6.539248,2.420033,-2.4766822,-1.7064047,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,90b1cf16-62cd-4af2-b457-cf7e4d39b823,c9502d08-c62f-4e3d-8b79-7e3b44dd769e,1633165160351,14.087083,52.3549465,6.539248,0.14755732,4.1396127,-1.6795993,on bike mount,cyclo cross,False,asphalt,excellent
