bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,f904a1e0-8ab4-4dc1-b7b7-2a2bef455bdd,1644074762924,0.0,0.0,0.0,-5.358673,-17.190285,8.510858,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,0a060a1f-457c-4807-bc30-7aad9b6986fe,1644074762980,13.4358118,52.4916111,3.890545,5.000279,3.6417828,-1.1672564,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,07564937-b8f2-4a85-b250-44890ee678c0,1644074763034,13.4358118,52.4916111,3.890545,0.7366483,5.0797896,-3.0509675,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,a5491338-7d5f-4649-aef6-1224f40cb0b1,1644074763091,13.4358118,52.4916111,3.890545,-2.562403,-13.573904,8.795452,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,7dbbd383-5f13-4abe-8507-8619c2ee562c,1644074763147,13.4358118,52.4916111,3.890545,3.5522084,8.149972,-13.828363,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,b621cf22-7755-491c-9524-5d434862f20f,1644074763202,13.4358118,52.4916111,3.890545,1.8001642,2.2594237,-20.423906,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,4b52a76b-3c75-4a15-9eaf-df7bea74eb78,1644074763257,13.4358118,52.4916111,3.890545,1.2036829,-7.175928,-2.1101942,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,3ee59ba5-be1e-4b74-a1b5-2ee464283c3d,1644074763313,13.4358118,52.4916111,3.890545,-3.996756,2.4949088,8.922201,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,147dbccb-f739-407d-b21c-a3c9295eabaf,1644074763368,13.4358118,52.4916111,3.890545,-2.5423305,1.9272618,3.0357418,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,2f8494ea-2190-4311-8af2-b3ad36f7944b,1644074763423,13.4358348,52.4916023,3.8170552,5.2475195,1.3527689,-9.766556,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,73bdd932-d343-47b0-ae9b-9421496f5038,1644074763479,13.4358348,52.4916023,3.8170552,-6.731449,-0.96973014,-3.3664188,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,0f37acb9-b2bf-4f9e-bec0-01f7aef8a3bd,6b24c4fe-2a84-41d8-b05f-9b869066c20c,1644074763535,13.4358348,52.4916023,3.8170552,-1.0720391,0.18249488,1.8245935,on bike mount,cyclo cross,True,sett,intermediate
