bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,f0518adf-5041-4574-808b-c35cd64e10c9,1633099229254,0.0,0.0,0.0,-1.3549187,-1.924799,-2.9114697,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,7f2d2c03-6ce6-4fa5-b02b-a883e68b7049,1633099229316,13.4449316,52.4950194,6.46783,-5.652331,-10.730628,-5.1377125,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,05f78d9f-be6b-4475-824e-c5cdfce6938c,1633099229366,13.4449316,52.4950194,6.46783,-2.1792746,-50.503475,11.897668,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,29d8b319-0c8b-481a-9906-15d85c2d8ec3,1633099229432,13.4449316,52.4950194,6.46783,-8.912353,-10.120434,15.276043,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,597e17c5-2d63-4326-acc7-66dc516dd51f,1633099229483,13.4449316,52.4950194,6.46783,2.0115724,8.246134,16.277561,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,2dada237-0c79-4f1b-b7f1-5e5fd440ee5c,1633099229549,13.4449316,52.4950194,6.46783,2.4612288,14.721956,-7.1943836,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,7df58772-e864-4b8e-b33f-ab96ea1c690d,1633099229616,13.4449316,52.4950194,6.46783,-1.6134329,-24.960636,24.906065,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,0daada80-2bb1-47b5-9f19-42de8e14bb3f,1633099229683,13.4452915,52.4952841,6.2869563,-20.274853,18.96003,-4.838496,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,ae6f2a77-61c4-438a-8b8d-99f2ed02f9f1,1633099229750,13.4452915,52.4952841,6.2869563,-2.896036,9.441738,-13.875174,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,510984e3-7215-49ff-9001-4e2661bae836,1633099229800,13.4452915,52.4952841,6.2869563,0.61697125,2.4044971,-12.191959,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,9405f6d6-e748-4257-af7f-0793d68661db,1633099229850,13.4452915,52.4952841,6.2869563,5.313774,-7.5171924,-8.812946,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,24c0b397-de51-4eab-83c0-4378a6e9dfd9,1633099229900,13.4452915,52.4952841,6.2869563,-2.4829261,-13.710719,15.924667,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,39c398e9-ec63-4b2d-8aaa-d6ffa2f7bcdc,1633099229967,13.4452915,52.4952841,6.2869563,-6.1772294,-9.07814,14.251024,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,9dbfaef2-7b29-4f22-92aa-7bd66072a55a,1633099230034,13.4452915,52.4952841,6.2869563,-12.827606,-15.275899,34.26306,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,c1911faa-d5d5-4da9-85df-1fa3d456fa14,1633099230084,13.4452915,52.4952841,6.2869563,5.682959,12.942364,-8.363502,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,2728598b-0470-45f8-859d-77819ded9c35,1633099230150,13.4452915,52.4952841,6.2869563,-0.75128305,-28.602177,-0.15074515,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,a227af9d-c108-4a8a-8819-bab3e8143946,1633099230201,13.4452915,52.4952841,6.2869563,-0.41948736,-27.719751,1.5742154,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,e9af744f-024f-4f6c-bb15-0bb13ddd0620,f6997e7b-d279-47c8-a7ca-adb5407e188d,1633099230251,13.4452915,52.4952841,6.2869563,4.3667293,-31.832733,25.817047,on bike mount,cyclo cross,True,sett,intermediate
