bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,3c6d7a02-0b71-4084-9665-f27a4b211de1,1633531193230,0.0,0.0,0.0,1.1896069,0.61231184,-4.506541,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,e9e970f4-ccfc-4e21-a797-3ab2288669ed,1633531193280,13.4394569,52.493045,3.16792,1.9202805,10.168108,-2.4149933,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,f4262018-c2dc-4666-a3a2-a742aa5697aa,1633531193331,13.4394569,52.493045,3.16792,3.20965,0.79635096,-1.3205748,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,b760ab72-0bc6-482a-84d4-ab933d89acb1,1633531193380,13.4394569,52.493045,3.16792,-5.1216974,-7.626545,-5.259048,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,3eaca75d-e837-48ab-a963-bea293c80656,1633531193430,13.4394569,52.493045,3.16792,-5.4376245,-5.8048344,9.395168,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,60bb7c8f-9ce3-49a6-8f0e-2cd588bc3eb2,1633531193481,13.4394356,52.4930319,3.140493,3.7584596,10.738119,2.083027,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,60b60118-87eb-4b0f-aa73-2fd3153bd963,1633531193547,13.4394356,52.4930319,3.140493,1.7394402,-2.8091443,10.067442,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,12d25e7a-518e-4134-92fc-da10a75074da,1633531193597,13.4394356,52.4930319,3.140493,-5.1412315,-5.9286394,9.693515,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,ebdaeb3d-81f0-46f8-9df5-27ff1cd48c0a,1633531193647,13.4394356,52.4930319,3.140493,9.622631,2.6305265,7.468755,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,f1d8b786-118f-41f2-ab0f-af9c25192aa4,4754efe3-8ff7-463b-95b1-119e0f932fad,1633531193697,13.4394356,52.4930319,3.140493,-1.3249173,-0.9288466,-1.8503385,on bike mount,cyclo cross,True,sett,intermediate
