bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,edc7ed47-2c6f-4f47-9003-a176d58a3690,1634466853817,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,c68fdc18-252f-478b-af26-3a56c05fd7d0,1634466853990,13.424581,52.4964869,0.0,-0.08857328,0.6209841,-1.361887,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,b8dd5306-9d26-40f0-9d7b-c8bef2aff3a4,1634466854040,13.424581,52.4964869,0.0,0.4197327,0.15380096,-1.1362586,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,310ca097-d051-4f2d-a645-cfdeeb65a899,1634466854090,13.424581,52.4964869,0.0,-3.7376888,-8.226049,5.1494675,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,c38ac65c-7fc1-4b8e-9333-56735642a024,1634466854140,13.424581,52.4964869,0.0,3.214697,0.11118674,-1.7536974,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,e1964418-1599-4c72-b2fc-e93d52f73a35,1634466854190,13.424581,52.4964869,0.0,-4.356396,0.2631595,-0.067689896,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,3e716385-0e7c-49bd-bff7-c967b7ad6286,1634466854240,13.424581,52.4964869,0.0,-0.28972724,1.5756593,-0.5318966,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,7b8967d2-eb4b-411b-8d15-0faddb6f78bb,1634466854289,13.424581,52.4964869,0.0,-0.17038363,-0.16783166,0.8101778,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,715f2e65-5226-4aa3-8aa4-8e73135a8f45,1634466854340,13.424581,52.4964869,0.0,0.50501907,-0.41212797,0.36393547,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,6df952de-247a-4c00-a1b0-b4f11d27ba46,1634466854389,13.424581,52.4964869,0.0,0.48089725,1.7827904,-2.0833864,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,59fc34c7-9cee-4db2-8291-0fe1e4f480ec,1634466854439,13.424581,52.4964869,0.0,0.7644743,-0.34174132,-0.19760609,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,d2a3554f-5a75-4082-be68-2039c4bc1b19,1634466854490,13.424581,52.4964869,0.0,0.65993476,-1.7440207,-0.4398365,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,8e741793-01c6-4a60-a6f7-04eb947175dd,1634466854539,13.424581,52.4964869,0.0,2.096373,0.53146315,1.5850277,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,2401145c-e3ae-4f6b-90b2-ff71743fce37,1634466854590,13.424581,52.4964869,0.0,2.871777,4.264609,-0.80762196,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,ae2cb1a3-e776-46f0-ba76-2f4380be9f53,1634466854639,13.424581,52.4964869,0.0,1.9894717,1.5885246,0.962801,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,033bd16c-d5cf-419f-bb65-8ecb06596813,1634466854690,13.424581,52.4964869,0.0,2.2244923,0.28209305,1.2215443,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,f458de7e-5f43-4997-b9c8-f028682f6608,1634466854740,13.424581,52.4964869,0.0,2.4656918,-0.8407967,1.7117271,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,931b73af-defd-4e72-887c-cd4eb5347ede,1634466854791,13.424581,52.4964869,0.0,1.5525951,-0.9958521,1.3195858,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,a64d5970-7358-4fca-9291-8a0d4f8fed4e,1634466854842,13.424581,52.4964869,0.0,0.12051034,1.2088807,-0.37268734,on bike mount,cyclo cross,True,sett,intermediate
79d45ce1-7637-490a-ad5b-43cb5209d509,33e00c24-28b3-4f0a-9ca2-530a805e2446,1bcfa4ce-8708-4f54-aedb-e52078f882d2,1634466854893,13.424581,52.4964869,0.0,1.6935759,-0.15848947,-1.1116686,on bike mount,cyclo cross,True,sett,intermediate
