bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,404f6049-eca9-4be9-b525-17f63c33347a,1634144147706,0.0,0.0,0.0,0.9972647,-0.027345896,-3.6199446,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,628964b1-9810-4d3b-9c77-03e6f81a6ee9,1634144147764,13.415776,52.4808602,4.153508,-0.78893197,-0.11499262,1.5580063,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,8030c8a1-19ae-4eec-a701-245a51722459,1634144147814,13.415776,52.4808602,4.153508,-0.8248413,-1.6912942,-0.18170261,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,f5725722-206d-4e9a-919e-cbc1f753d659,1634144147865,13.415776,52.4808602,4.153508,1.290818,0.7990842,0.92183304,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,7997d10c-cbcb-4bd0-a2cd-c4782992dfb3,1634144147915,13.415776,52.4808602,4.153508,-0.25229365,-2.6186488,0.25452042,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,3a66bfad-22ba-4794-bf57-4b44b8e3398c,1634144147965,13.415776,52.4808602,4.153508,0.40675616,-1.4823997,0.3463173,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,952548c9-82ac-434a-afac-55548a6ce191,1634144148015,13.415776,52.4808602,4.153508,0.9924628,1.279572,-2.579568,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,19e497b2-2686-4e6a-9fc6-524783516172,1634144148065,13.415776,52.4808602,4.153508,-1.5002942,-1.4389231,0.52138615,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,1a2b300b-e656-4202-b73b-56d01e55e3db,1634144148115,13.415776,52.4808602,4.153508,-0.8399766,2.1833212,-0.3485365,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,6d7d2bde-ceed-486c-a96d-d90b1ea7a415,1634144148165,13.415776,52.4808602,4.153508,0.33671033,1.3762603,-1.1546073,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,f868c7b6-14d9-4037-8021-1e4bfa30ae3a,1634144148216,13.415776,52.4808602,4.153508,-1.2698348,-0.21988797,-1.9183898,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,b1d78b36-6884-47e9-adb7-e26f57253fd3,1634144148266,13.415776,52.4808602,4.153508,-0.5368773,0.8375366,-1.6202159,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,6804dbfd-07a6-48dc-8f40-dad40f2eeba8,1634144148316,13.415776,52.4808602,4.153508,-0.0084902495,-2.078228,1.9655476,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,25fa04c6-773a-48c0-96c1-eedffe34a9f3,1634144148366,13.415776,52.4808602,4.153508,-0.13866141,-1.5310335,0.54384804,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,4553de0c-a675-476e-b24c-6ded0c0d8cfd,1634144148416,13.415776,52.4808602,4.153508,1.3583838,0.9159205,2.179264,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,e4992dc9-a010-4790-a546-7bbbd94de0d5,1634144148466,13.415776,52.4808602,4.153508,-1.194864,0.87924814,1.1322832,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,08becc09-cd03-4f2a-9326-56dea09bf10c,1634144148516,13.4157956,52.4809,4.227703,0.4148246,3.2010431,-1.2745867,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,f3e82925-8488-4861-9fa2-b2c97f1be051,1634144148567,13.4157956,52.4809,4.227703,0.5081711,-2.1243682,0.58778477,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,29db33c6-bce6-40a3-9811-54bc984b928c,1634144148617,13.4157956,52.4809,4.227703,-0.5839134,0.8257022,-1.1410007,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,10af4bc3-ce53-4086-b79f-fae1b0de23c7,1634144148667,13.4157956,52.4809,4.227703,0.24991453,0.32226872,-0.72178555,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,22d5071d-3369-4623-8394-3f64bfe38f84,1634144148717,13.4157956,52.4809,4.227703,-0.71727467,2.0722113,-2.5681982,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,77795cc3-3a22-4aa2-96d4-c2287cd75ce8,1634144148767,13.4157956,52.4809,4.227703,-1.9047334,-2.3513234,0.60676575,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,ababf282-7a88-4b44-971d-91a461ea39b3,1634144148818,13.4157956,52.4809,4.227703,2.092897,-1.4065897,0.7890434,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,6bf21f87-14e9-4a7b-a89a-6d7d06a86473,1634144148868,13.4157956,52.4809,4.227703,0.20511657,-1.1927787,0.5874653,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,578e8013-8fb3-4b4f-ba9a-cd97642e8dae,1634144148918,13.4157956,52.4809,4.227703,-0.35286102,-0.62984467,0.17351055,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,ad07f369-a9c5-4d86-90e9-3c9af73f9367,1634144148968,13.4157956,52.4809,4.227703,1.7642868,-2.6956935,0.6381779,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,27ce004c-1f13-45ac-b10b-ffd9eeb1b2b5,1634144149018,13.4157956,52.4809,4.227703,-0.54059374,0.5670016,0.3022976,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,c228969a-2fc6-4346-b601-d1cc79066b48,1634144149068,13.4157956,52.4809,4.227703,-1.1722839,-1.5361778,-1.1113892,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,dbecd56f-cd4c-4ebc-ae49-014d16f34ae8,1634144149120,13.4157956,52.4809,4.227703,0.5313527,-0.111759424,1.2649231,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,1f9a9e9a-afe8-4873-ab46-d1614dd902ae,1634144149185,13.4157956,52.4809,4.227703,-0.8529782,1.6201344,-3.0755153,on bike mount,cyclo cross,True,asphalt,excellent
