bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,46d8e19f-3ffa-4086-bf3a-e8979e842428,1634467763232,0.0,0.0,0.0,-0.37509426,0.8925669,-5.8903785,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,018fb802-c106-4397-8145-5d68ba816506,1634467763283,13.4824211,52.4858573,4.837173,-1.0978779,0.7024627,2.1022224,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,7e26849a-b35b-413a-b001-dbad419ed8d9,1634467763332,13.4824211,52.4858573,4.837173,-3.0121937,-4.9682717,3.2342024,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,c718b1db-2eb3-4dc0-ba0e-4590959ddbd0,1634467763384,13.4824211,52.4858573,4.837173,1.4321103,0.14882064,-0.7844181,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,3a65444e-672d-4731-a2f6-e84ba458af1c,1634467763434,13.4824211,52.4858573,4.837173,-1.0668045,-0.09775519,0.6901188,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,56bb6570-45d5-44d7-bb60-274a0b52a19c,1634467763484,13.4824535,52.485868,4.801487,4.3269634,8.229123,-6.9308267,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,86c56972-29a6-4ccf-ba51-6b4dab6aa580,1634467763534,13.4824535,52.485868,4.801487,-7.8519764,-9.630969,6.623945,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,fb95d5a5-60d2-4143-878b-379b65d44fd7,1634467763600,13.4824535,52.485868,4.801487,-4.4429173,-3.0466206,-0.55618095,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,29e49ab6-2a6c-4547-b037-3e94ceb90539,1634467763650,13.4824535,52.485868,4.801487,-0.00074639916,-1.4769402,1.9424334,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,57840dae-b244-4455-a9ad-04354d021c75,1634467763701,13.4824535,52.485868,4.801487,-1.974362,-1.9737422,-0.7712488,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,a0efc04c-4a4e-4a5f-95f5-6f2d02c6e49d,1634467763752,13.4824535,52.485868,4.801487,-0.31423903,13.413591,4.875885,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,333eaf34-c8aa-4ab3-83e0-bfb8c5b30ee2,1634467763802,13.4824535,52.485868,4.801487,-1.7127762,-3.3389041,-7.569703,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,cf781615-7ca0-4afe-a829-617c6c46e6a7,1634467763867,13.4824535,52.485868,4.801487,2.1877956,0.34172833,-7.0158553,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,c521e4ee-4beb-4a49-9437-89f3c90cadbd,1634467763917,13.4824535,52.485868,4.801487,-10.961362,3.1952548,-4.8259335,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,cdaf6614-d4da-4b16-981d-6254b056a0a6,1634467763967,13.4824535,52.485868,4.801487,7.2866435,9.232685,-0.28936958,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,c0ef61ff-71e0-443b-bfda-67c58a95e4f1,1634467764018,13.4824535,52.485868,4.801487,-1.760138,-2.849881,-7.2858267,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,fe5c3425-3f63-4ef6-99e6-34ba10a503b1,1634467764068,13.4824535,52.485868,4.801487,1.0966561,-4.6042557,3.736723,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,908a3484-d1b0-4271-a834-be094c13dc87,1634467764118,13.4824535,52.485868,4.801487,2.307135,9.902929,-6.791223,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,3ce9f3aa-86b2-4013-becb-b996a446e3ce,1634467764184,13.4824535,52.485868,4.801487,-8.006468,-4.2425356,-6.997308,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,ff011d5a-259c-4ad9-a07f-6d908d43a153,af8100b7-ded2-4353-87fc-11baada1b655,1634467764234,13.4824535,52.485868,4.801487,0.8194648,2.539857,-0.80171204,on bike mount,cyclo cross,True,fine gravel,good
