bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,7603d482-a3a5-4d2a-bd0f-f390224be2d6,1643972865608,0.0,0.0,0.0,-1.6192052,-1.7105526,1.5051785,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,19af34f8-8f01-43ce-927b-409bebb4a735,1643972865663,13.4156767,52.4732228,4.25405,2.368521,0.5317402,-1.4512315,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,fd629b9d-4513-4df2-8193-d2e3230714fb,1643972865718,13.4156767,52.4732228,4.25405,-1.2771616,0.37635088,1.4879866,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,f501c8a9-0be5-43b0-b301-3761960b68ff,1643972865774,13.4156767,52.4732228,4.25405,1.4336195,0.30255747,3.1574316,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,5be0ddb8-b0d0-434f-8919-b31a400ce6e3,1643972865830,13.4156767,52.4732228,4.25405,-0.6638874,-0.3616283,1.5433817,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,7c26d21d-942d-4cd6-8876-10d51549b9c0,1643972865886,13.4156767,52.4732228,4.25405,0.77630013,1.526011,4.8948936,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,69880967-ea98-4ce7-95cc-b380d6548921,1643972865941,13.4156767,52.4732228,4.25405,0.7440365,-0.0718205,-1.5418334,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,3ba1f3d1-97e5-46c2-8275-d4330ecd5dc7,1643972865997,13.4156767,52.4732228,4.25405,0.4271803,-5.1117287,0.7687483,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,72e4fcb8-f3a4-454c-b564-7154f4739252,1643972866053,13.4156767,52.4732228,4.25405,2.129898,-2.5006683,-4.006463,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,ff7c2a96-b467-41a3-9b2d-e8bd5ca932c1,b7515d0d-2e4a-4e0d-960f-6f4555a6b13a,1643972866109,13.4156767,52.4732228,4.25405,2.8076046,2.2387118,-4.0710087,on bike mount,cyclo cross,True,paving stones,good
