bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,af406e68-7f59-4447-95b6-3c999425a3d8,1633154224174,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,418a3387-726f-405e-a476-490d12ffb386,1633154224235,13.4826037,52.4859488,0.0033533468,-0.063611865,-0.012932301,-0.07997608,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,869b3743-0cba-43fa-9500-62954a93a38d,1633154224285,13.4826037,52.4859488,0.0033533468,0.12521985,0.020930529,-0.011432648,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,ce8de5fa-c7d1-4977-9436-de4a1690be82,1633154224335,13.4826037,52.4859488,0.0033533468,-0.056720525,0.04271388,-0.12042999,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,546d0ccd-539d-4092-b78a-9f61594ca120,1633154224385,13.4826037,52.4859488,0.0033533468,0.029110432,0.072307825,-0.044855118,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,98b9650a-e800-474c-a90f-4aa958ee1a7e,1633154224435,13.4826037,52.4859488,0.0033533468,0.23593672,0.07228708,0.050852776,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,6c20ea18-7c34-404d-a0fd-ba734dcc6328,1633154224485,13.4826037,52.4859488,0.0033533468,-0.050836265,0.17071748,-0.09462452,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,c8a2a324-32f9-425d-96e8-a085df9d9982,1633154224535,13.4826037,52.4859488,0.0033533468,0.34761423,0.1968813,-0.18252373,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,ad85e650-53d6-456b-9dbc-9451eefc2ec4,1633154224586,13.4826037,52.4859488,0.0033533468,-0.11869469,0.15607572,-0.113871574,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,13e59966-155d-4604-b54c-8eb8fb342477,1633154224637,13.4826037,52.4859488,0.0033533468,0.47995007,-0.082149506,-0.12629223,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,192098e5-1802-470e-b5b8-d00f7a715eee,1633154224687,13.4826037,52.4859488,0.0033533468,0.23643003,-0.2078278,-0.020450592,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,30423138-3625-4a4c-94e0-ce16759776ff,1633154224737,13.4826037,52.4859488,0.0033533468,-0.5970368,0.06689048,-0.021074295,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,83f6c10c-fb61-4051-a9a0-4c2d594ebf62,f48dc55d-07be-4a40-9227-38bece24fcd3,1633154224786,13.4826037,52.4859488,0.0033533468,-0.26730713,-0.18589997,-0.072071075,on bike mount,cyclo cross,True,fine gravel,good
