bike_activity_ui,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,2dce01aa-2eba-466f-b2be-98a20fbde389,1624826508517,0.0,0.0,0.0,0.07817489,1.0138664,0.89694357,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,026dd5da-cddd-4feb-b71f-c879a0eceab5,1624826508545,-16.8280965,32.6449201,0.413866,0.0008389652,-0.032710075,-0.08304453,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,7d229e8d-448e-45d9-8b29-c19904386d1d,1624826508578,-16.8280965,32.6449201,0.413866,0.070538014,0.12031984,-0.039715767,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,9ae664a0-cb4f-402e-a56c-7b56f7ea6ced,1624826508612,-16.8280965,32.6449201,0.413866,0.055858433,0.09634781,-0.06168413,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,13da4a0e-6b57-47cf-bd22-63a1705db945,1624826508645,-16.8280965,32.6449201,0.413866,-0.004815161,-0.004234314,-0.058354378,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,f274a79f-bb97-4642-b75a-ce63ef90da61,1624826508678,-16.8280965,32.6449201,0.413866,0.021632314,0.12052965,-0.032003403,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,938ad236-8cc3-438c-b5c4-def072c50bee,1624826508712,-16.8280965,32.6449201,0.413866,0.02549243,0.0884881,-0.107131004,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,4df0a712-da67-4335-b803-7566fbde3d32,1624826508745,-16.8280965,32.6449201,0.413866,0.048875123,0.05398321,0.029794693,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,002bbb55-ef5d-451d-b59d-b21f5f945b3b,1624826508779,-16.8280965,32.6449201,0.413866,0.024650425,0.024885654,-0.0930686,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,2af6496e-6cbc-4554-9c2e-66ebe717c5d6,1624826508812,-16.8280965,32.6449201,0.413866,0.014561653,0.033539295,-0.08228397,other,other,mixed,mixed
