bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,a75da0ec-bbaa-47c4-bf99-cfb1b8823359,1627366342191,13.3854023,52.4695505,1.5252501,-0.3778512,0.22612596,1.2623281,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,0b5a0aff-feb0-4a07-98b0-f32b1ed1c68f,1627366342262,13.3854023,52.4695505,1.5252501,-1.3978946,-1.1727444,0.94255257,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,fbdae6da-9604-4379-8c35-8784e9ede77b,1627366342312,13.3854023,52.4695505,1.5252501,0.28223592,-0.97693896,-0.08240032,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,888f5368-faad-480c-b0b2-c1fcc20d52a9,1627366342362,13.3854023,52.4695505,1.5252501,-0.21535024,1.2934675,0.01835823,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,e4d7cb1a-f932-45b6-acc4-6aaad91dcaa5,1627366342412,13.3854023,52.4695505,1.5252501,-0.5366119,0.93153954,1.852067,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,5159b3d7-420c-489b-a605-e063e5a4afdd,1627366342462,13.3854023,52.4695505,1.5252501,-0.50335515,-0.8352244,-1.7245512,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,8758e443-c437-4b84-b5c5-6737c47db7ae,1627366342512,13.3854023,52.4695505,1.5252501,-0.95541507,0.59016275,0.12846375,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,cd2d6e49-a992-47a8-8292-4619d5b12230,1627366342562,13.3854023,52.4695505,1.5252501,-0.93620276,-1.2489904,0.029323578,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,01faf20b-de75-4a10-b15f-82db506f190f,1627366342612,13.3854023,52.4695505,1.5252501,0.23559308,2.8571224,0.80941105,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,08ffc6fd-5d35-464c-95bf-54e3c3e4b7fc,1627366342662,13.3854023,52.4695505,1.5252501,0.5946337,-2.0926402,0.0033855438,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,3d5d6339-9be5-49f4-ae5b-00f68a594010,1627366342713,13.3854023,52.4695505,1.5252501,-0.37373817,-0.58890545,-0.3048525,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,81e366bc-3527-45a9-baba-9ea47bee9be7,1627366342764,13.3854023,52.4695505,1.5252501,0.338165,0.9431045,-1.1772599,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,9fd97212-29de-4e5c-8c9c-d4238a570ebd,1627366342815,13.3854023,52.4695505,1.5252501,0.25493804,0.85462284,-0.15462685,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,e91264c8-807f-421e-b133-a766bbf0405d,1627366342865,13.3854023,52.4695505,1.5252501,-0.71175444,0.5267186,-2.2846022,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,2f13a65f-d7d4-444e-8678-4222132f16e5,1627366342915,13.3854023,52.4695505,1.5252501,3.9355898,2.667439,0.8333273,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,15ec0c41-8c8e-4732-80bc-493c56b61429,1627366342966,13.3854023,52.4695505,1.5252501,-1.151324,-0.71156144,3.17517,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,0cb6dea3-98fa-4960-9e25-8078cc0af4aa,1627366343017,13.3854023,52.4695505,1.5252501,1.1302639,-0.07594442,0.78544044,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,585d8fd5-b4c5-4a7e-9285-7e1a46cc2c3b,1627366343069,13.3854023,52.4695505,1.5252501,1.5710918,-2.2904978,0.71398544,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,0fb2e2cb-99df-4fb9-80d0-bc15081fe7fd,1627366343119,13.3854036,52.4695311,2.2187874,-0.16679561,1.9064474,0.14601517,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,a6e7ac99-fbaf-4841-9dc1-bcf16135b41a,1627366343169,13.3854036,52.4695311,2.2187874,0.9575523,2.896906,1.2484818,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,0431c707-da28-4cf3-895a-3635910642a6,1627366343219,13.3854036,52.4695311,2.2187874,-0.379344,2.43823,1.698019,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,152834c2-b188-4f9f-b516-381511c9b9ba,1627366343271,13.3854036,52.4695311,2.2187874,-0.42327332,-2.291836,1.8402424,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,2deedb96-7b3c-4ba2-913e-b74a3a380514,1627366343321,13.3854036,52.4695311,2.2187874,-0.75536776,-0.36219668,-1.8698931,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,b6212327-ea8e-46bc-bafe-3fa951b45afc,1627366343371,13.3854036,52.4695311,2.2187874,-0.47070193,1.0369601,-1.0398536,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,ce401577-5723-450f-91db-81f99fd08fb0,1627366343422,13.3854036,52.4695311,2.2187874,-1.4365885,-0.6030054,0.10159874,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,37098328-4ddf-45e4-af86-102c6b3ea93d,1627366343472,13.3854036,52.4695311,2.2187874,-0.50375146,1.2050257,0.68231773,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,fe459ca0-4b8e-4408-a152-4c203bb40a30,1627366343522,13.3854036,52.4695311,2.2187874,-0.9274151,1.0136313,1.1002417,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,53f8cf21-24ac-4703-bf33-7d1b54ca4c13,1627366343574,13.3854036,52.4695311,2.2187874,-0.111051425,-0.21482801,1.3129549,on bike mount,cyclo cross,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,0a8f82b3-f54f-45f0-8c65-64052f8fdd79,376a8862-50d2-4458-9b9b-475b230295b6,1627366343623,13.3854036,52.4695311,2.2187874,-0.056621015,-0.2988763,-0.4592657,on bike mount,cyclo cross,mixed,mixed
