bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,e3c19ae7-5e94-4a7d-9b68-3b7bf84d3804,1636124310659,0.0,0.0,0.0,1.5724095,3.2191195,-0.791224,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,438f0cd1-6eb0-45f4-a189-c9cab42d26ad,1636124310714,13.4131622,52.4729307,4.432914,0.41144145,-0.6710839,-4.0569134,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,d0940617-d84c-456a-aa05-98ffa9b63b7f,1636124310764,13.4131622,52.4729307,4.432914,0.6209481,-0.9741597,4.550112,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,cac9f834-d4ea-4838-b2eb-8bce927fee42,1636124310814,13.4131622,52.4729307,4.432914,2.6990147,1.6104972,-2.97757,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,d165e57c-d28c-4eb3-85d0-8c2c4e377e2d,1636124310865,13.4131622,52.4729307,4.432914,-0.9131206,1.0493913,-1.072784,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,ffb8a881-482a-447a-8b61-dd9d78b99424,1636124310916,13.4131622,52.4729307,4.432914,0.77485263,0.23171067,-1.5977721,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,1667e2d7-4132-4447-a34e-95df2a1ef87d,1636124310982,13.4131622,52.4729307,4.432914,1.5619411,0.6539335,-0.68932056,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,45737a88-85bd-4761-bc3e-0afeae4a41e2,1636124311032,13.4131622,52.4729307,4.432914,-1.1918132,-1.9342144,3.1746416,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,28d9a055-1e2e-4678-9067-7dd273dc424c,1636124311081,13.4131622,52.4729307,4.432914,0.82176393,3.2618322,-1.8309679,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,ec84ceed-ac92-44a0-b69e-e4721043db3d,1636124311132,13.4131622,52.4729307,4.432914,-0.24685115,-2.9922724,-0.82654095,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,67e9385a-8bdc-46ea-a59c-5d58322459e1,1636124311182,13.4131622,52.4729307,4.432914,-0.67138666,0.35004687,-2.0021982,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,45f92e43-fd7f-4d08-8581-4650b4e03e84,1636124311232,13.4131622,52.4729307,4.432914,0.4241213,-0.16462374,-1.0288334,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,69305b55-87f7-4034-a3dc-7215683de091,1636124311282,13.4131622,52.4729307,4.432914,0.37409085,-1.653608,-0.39194107,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,d901ccfa-235e-4a48-98e1-5df2263a2b35,1636124311332,13.4131622,52.4729307,4.432914,2.156632,3.372213,-5.1179695,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,e1f03bf4-8650-4e13-9250-43dbcc7c8dd3,1636124311383,13.4131622,52.4729307,4.432914,-2.2875543,-3.4007034,1.382968,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,c1fb5d0d-18bf-4803-a5e5-ae8fed2084a8,1636124311433,13.4131622,52.4729307,4.432914,1.4332647,2.1591563,-1.1878195,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,52a6e702-8055-4975-87b9-db0359bf6f1e,1636124311484,13.4130764,52.4729187,4.2207665,0.5551518,0.89105344,-0.60860634,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,837aa6b6-6e8c-4e12-9571-11be5f4c7cd8,1636124311549,13.4130764,52.4729187,4.2207665,0.15027267,-0.4291494,1.453661,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,05b1a5d7-c62c-43eb-9f70-79ff3d099121,1636124311600,13.4130764,52.4729187,4.2207665,-0.044186234,-5.7295823,2.8773375,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,b9d5b2dc-2510-4adc-84c4-a4ca49fc385d,1636124311650,13.4130764,52.4729187,4.2207665,0.46104932,3.0631409,-0.5775118,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,792ab1ba-2669-47ce-8be9-5ef66ace0819,1636124311700,13.4130764,52.4729187,4.2207665,-0.0041840076,0.88303995,5.247243,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,bcf5de42-89ef-47ee-86ea-9beb5cdd166e,1636124311750,13.4130764,52.4729187,4.2207665,-0.18952087,1.5217533,0.93832016,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,da722d48-84fe-449e-b015-534f0f85615e,1636124311800,13.4130764,52.4729187,4.2207665,-0.2997644,-3.0170116,0.06293774,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,265ea76a-7c93-46b1-881e-3461290a5d8c,1636124311851,13.4130764,52.4729187,4.2207665,-1.4114189,0.3517568,-2.110423,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,04eb848d-03bd-47a6-a1d0-c14700845123,1636124311901,13.4130764,52.4729187,4.2207665,0.30856755,-2.5257964,-2.321806,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,5f3f05bd-6004-4c17-904a-95b748c9c717,013fa845-3119-428d-837c-1d9d65f1e71a,1636124311951,13.4130764,52.4729187,4.2207665,0.71704805,-2.772497,3.128046,on bike mount,cyclo cross,True,paving stones,good
