bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,92d9d779-a0c7-4b7c-90d5-644e1bd1ca68,1644076450766,0.0,0.0,0.0,1.4718797,4.0185437,1.7438517,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,7a753f2d-7159-4d01-9f92-87a6ae0d7e43,1644076450815,13.4287902,52.4938801,3.406672,-2.7803874,5.5393906,-3.374651,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,c312d6bd-36ed-4511-8795-a955acc599b0,1644076450869,13.4287902,52.4938801,3.406672,-2.5035849,-9.94548,8.7991295,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,3f220db5-0947-4c47-8896-6844a1ddd756,1644076450925,13.4287902,52.4938801,3.406672,1.920515,-0.49391437,4.701659,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,ad3ba10c-7443-47ba-b5fa-7b4eb0d3922a,1644076450981,13.4287902,52.4938801,3.406672,1.5880244,5.292093,12.364199,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,46616635-f26d-49f8-9115-4f1f50340c88,1644076451036,13.4287902,52.4938801,3.406672,2.993322,-4.7227697,9.528482,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,9b913e0c-1b9f-4754-ab6e-6b61f0b2ea88,1644076451092,13.4287902,52.4938801,3.406672,-4.4504633,7.6923165,-6.5676556,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,3d9298b6-3876-4be8-818e-aab1c59b7b73,1644076451149,13.4287902,52.4938801,3.406672,-8.389664,6.2878695,3.7540283,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,e874eb20-f7b0-4d8f-936b-446d151f6f07,1644076451224,13.4287902,52.4938801,3.406672,-3.8288302,7.6094666,-4.014374,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,496e095d-420c-4ccb-ae18-d9ff7d1ef53a,1644076451279,13.4287902,52.4938801,3.406672,1.2997533,-6.000171,8.830038,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,920bc643-2852-4574-aaff-664827a4b86f,1644076451336,13.4287902,52.4938801,3.406672,2.0473812,2.86419,-4.9444866,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,56b2c7aa-246d-420f-a1d2-a239eaa0f2af,1644076451392,13.4287902,52.4938801,3.406672,4.250312,3.8200011,-16.347466,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,42f2bd52-2534-4f8f-942b-b73bf003b9a9,1644076451448,13.4287902,52.4938801,3.406672,-2.84782,-7.3957243,11.339937,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,0b20a44f-0034-4f79-b85b-8ab7577e2d3c,1644076451501,13.4287902,52.4938801,3.406672,3.9517994,2.6698012,-3.749514,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,7dc30177-117a-487c-913e-bfa6aa84ed32,1644076451558,13.4288391,52.4938671,3.6417992,-2.6936188,3.6695156,7.8841496,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,7cfe3c97-d76f-439f-9748-89f41f29b056,1644076451614,13.4288391,52.4938671,3.6417992,3.0610468,-2.3527408,9.20493,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,6b8e0ae8-cbe1-4f1b-9d99-db4b820c193b,1644076451669,13.4288391,52.4938671,3.6417992,-5.399299,-2.0770245,-2.4254394,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,4336d91c-28e1-49b3-a338-0292ebd4adf5,1644076451725,13.4288391,52.4938671,3.6417992,-1.8594471,13.293472,-8.725415,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,80d71bc3-ab67-4586-ac2e-0eaebb761f8d,1644076451782,13.4288391,52.4938671,3.6417992,-1.6590723,-0.11478543,4.8404064,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,2a540e47-09ec-4d1e-ba9b-f87cb3d937cb,1644076451837,13.4288391,52.4938671,3.6417992,4.727786,1.422905,-17.46098,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,0b0fef32-aae6-48c1-8a03-7a683bf48205,1644076451893,13.4288619,52.4938595,3.4893196,-1.2086661,-8.9794655,-3.5782938,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,b35b5e17-960f-4fb4-9d82-bc2fcfc240ab,1644076451947,13.4288619,52.4938595,3.4893196,-1.7164323,-1.1079519,-8.551394,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,24159485-3209-4c37-8fec-faf10419ec0d,1644076452003,13.4288619,52.4938595,3.4893196,4.348624,1.8224325,2.9549875,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,cadb6875-f7c3-40f6-a2ac-e3e06417c37f,1644076452059,13.4288619,52.4938595,3.4893196,2.7125804,-6.2435822,1.1517763,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,d6097b1d-4cd6-4556-ae79-108fe5df6370,1644076452114,13.4288619,52.4938595,3.4893196,3.3562205,-3.910362,-7.6226625,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,f05d14d3-0b93-41d2-a9b0-a1fe300f8a97,1644076452170,13.4288619,52.4938595,3.4893196,0.27100754,-1.1479595,5.3335876,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,85192157-3cdb-4456-ae70-38846ff2f96d,1644076452227,13.4288619,52.4938595,3.4893196,1.3105149,-12.412757,14.1107235,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,a29ef239-70ef-4f81-abc9-8f9950f77d79,1644076452279,13.4288619,52.4938595,3.4893196,-6.3395004,6.571615,1.3516626,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,78298fda-9ad6-4673-811a-c99c52aa016d,1644076452334,13.4288619,52.4938595,3.4893196,-0.48774225,2.215877,-6.4825416,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,1b540310-8ee2-4834-8211-1dbe5d8f1506,1644076452390,13.4288619,52.4938595,3.4893196,-2.2035065,2.2862506,-4.1585903,on bike mount,cyclo cross,True,sett,intermediate
