bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,58a51ae9-ff3e-4499-985d-9e905be0c532,1627404967665,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,8c687df1-f1b6-4699-88ab-3468ade5602f,1627404967722,13.4216991,52.4788042,4.0824585,-0.08746296,-2.0975933,0.8034525,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,ad1fb7ea-6ad5-418d-876c-6d11198a6861,1627404967772,13.4216991,52.4788042,4.0824585,1.517437,0.41744184,-1.21103,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,7f9c5d6e-342e-4f21-a725-1658b9d21e34,1627404967822,13.4216991,52.4788042,4.0824585,0.55338526,0.9790344,-0.69881916,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,b2ae1808-4084-4d7e-8a5f-ff6deee0c5a4,1627404967873,13.4216991,52.4788042,4.0824585,3.805556,-0.23614168,-0.27209663,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,bec3efa6-ab4c-4558-bd24-3dcd536b316b,1627404967923,13.4216991,52.4788042,4.0824585,0.03072314,-1.9418911,1.4628143,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,5eebc263-6d04-4c2c-a6f6-3485296b7e82,1627404967973,13.4216991,52.4788042,4.0824585,0.9285044,-0.83177567,0.064603806,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,6104b1ff-7183-451d-85a4-6d4e542492cc,1627404968022,13.4216991,52.4788042,4.0824585,-0.82451415,1.0980184,0.42722893,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,1573929d-59bf-4db5-af01-55af2160192b,1627404968073,13.4216991,52.4788042,4.0824585,-0.6592528,1.6096978,-0.62602997,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,547bf485-e8e0-4fae-85c7-e47fb8a03116,5b108daf-fa6b-4c8a-9a2b-700c057ea4cd,1627404968123,13.4216991,52.4788042,4.0824585,0.88322324,-0.55300117,-1.547946,on bike mount,cyclo cross,False,asphalt,good
