bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,d659e459-3eb2-43d0-976f-979f79d65b7e,1634109567236,0.0,0.0,0.0,0.32619545,5.059357,-1.0135007,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,3eb83521-495a-4dff-85d1-0ef85f15e993,1634109567286,13.4131251,52.472858,5.710741,1.6760651,-1.2357786,4.3488235,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,2299af34-3ee8-4204-a80f-2d4533cb6b48,1634109567336,13.4131251,52.472858,5.710741,0.34659004,1.4821429,-0.21204662,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,33ed2390-03e5-4b87-b867-3d4e5fba6c00,1634109567387,13.4131251,52.472858,5.710741,-2.332531,-3.1118844,-1.6219201,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,81926150-1d12-40e4-9324-81419ebb295f,1634109567453,13.4130392,52.4728459,5.8179703,-1.1850343,0.76716566,-3.4158273,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,984a7ed2-1430-4eff-9d81-7e5166e0d656,1634109567503,13.4130392,52.4728459,5.8179703,0.1402659,0.9015908,-2.7045074,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,101d9ac2-2c42-47d2-aee8-0156e9036577,1634109567553,13.4130392,52.4728459,5.8179703,0.38107425,-1.1521044,-4.1990747,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,566998e1-5adb-474b-9c2c-278c62c9cc65,1634109567603,13.4130392,52.4728459,5.8179703,1.2389646,6.1509743,-6.5295696,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,af53b27a-caa7-4fdf-8239-81f204ff1d68,1634109567654,13.4130392,52.4728459,5.8179703,-1.4774814,1.2231266,2.5726147,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,be1642c6-76a6-46e3-ae87-404dd0b36a71,1634109567705,13.4130392,52.4728459,5.8179703,6.0055695,0.5154381,-1.2451248,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,44a10384-ca9d-4df3-8d48-c0a662825472,1634109567754,13.4130392,52.4728459,5.8179703,-2.9717472,2.112605,2.6218967,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,5ce3f1ed-e95c-4aa3-b2f7-ec1432c40c77,cfed8b3c-c16f-4df8-aaf2-58147c287d51,1634109567805,13.4130392,52.4728459,5.8179703,-1.3763812,-6.602863,11.385559,on bike mount,cyclo cross,True,paving stones,good
