bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,f7c39c85-bcbf-47b9-b6cc-6af902dfcc90,1643973364815,0.0,0.0,0.0,-0.17448986,0.01586485,0.11925697,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,fd80c353-88b9-4ae8-83f3-ffa7251446a1,1643973364870,13.4025271,52.4723462,6.705521e-06,-0.1699986,0.017885208,0.031835556,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,ec490db2-b226-4c7e-8d60-fc06e1d90dd5,1643973364921,13.4025271,52.4723462,6.705521e-06,-0.14300035,0.0228436,0.0066156387,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,1bd19e3b-7154-4303-a820-a9806691ef89,1643973364989,13.4025271,52.4723462,6.705521e-06,0.006429255,0.06944609,0.042607307,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,4a5337ba-181c-4699-8e72-0fe5cff9ea62,1643973365040,13.4025271,52.4723462,6.705521e-06,0.035983056,0.025351286,0.06313419,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,9eb9f51f-4fdb-4e3e-b809-247923bfdd06,1643973365090,13.4025271,52.4723462,6.705521e-06,0.009076923,-0.018401623,0.09251022,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,3a08929a-a90f-404e-95be-3b08fc30a1c3,1643973365141,13.4025271,52.4723462,6.705521e-06,0.048996046,0.008561611,0.06423473,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,068a6618-ace0-4fba-aad1-9b5f1d6d5b72,1643973365206,13.4025271,52.4723462,6.705521e-06,-0.13796765,0.045557737,0.03639412,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,8240ed44-de24-4710-9202-16da9961ee90,1643973365271,13.4025271,52.4723462,6.620431e-06,-0.21042947,0.029147387,0.03908348,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,c0ef7002-d7a4-4a13-8853-f830a5d74e89,1643973365337,13.4025271,52.4723462,6.620431e-06,-0.29468486,-0.05245614,0.08565521,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,7fc9398a-c660-483a-9382-f30c53e030c1,1643973365387,13.4025271,52.4723462,6.620431e-06,-0.117920384,-0.04229498,0.06381321,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,d58d0b9c-e18c-4e31-b778-184cc99d7bea,1643973365437,13.4025271,52.4723462,6.620431e-06,0.02079323,0.011003494,0.048710823,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,79a36267-e3c4-4b6a-a4e6-0c02469b5dc5,1643973365487,13.4025271,52.4723462,6.620431e-06,-0.014852248,0.05734968,0.030434608,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,c8d150c2-f017-4d5b-a0bd-957762c24ec1,1643973365538,13.4025271,52.4723462,6.620431e-06,-0.15974545,0.08865023,0.027954102,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,2c06af22-7d25-43b4-8edd-0f0febf0c430,1643973365588,13.4025271,52.4723462,6.620431e-06,-0.068864524,0.18156886,0.018362999,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,287f3a86-a31d-433f-a112-223fe58c3bee,1643973365639,13.4025271,52.4723462,6.620431e-06,0.07470639,0.21219778,0.008275032,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,4b57e2d6-319d-4b47-abe7-ec3d8e93dce8,1643973365689,13.4025271,52.4723462,6.620431e-06,-0.021169014,0.11299753,0.055577278,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,1b602018-1230-4abb-ba72-db01179c9ae8,1643973365739,13.4025271,52.4723462,6.620431e-06,-0.12720478,0.020106792,0.04576969,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,938fb618-56b4-486d-ada4-89cdf91bdc96,1643973365788,13.4025271,52.4723462,6.620431e-06,-0.026916191,0.035022497,0.024220467,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,01790ffd-7095-4f96-8a48-528b41c859c7,1643973365838,13.4025271,52.4723462,6.620431e-06,-0.03580984,0.07268524,0.028259277,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,b05c0fd7-1fa0-4009-8ab7-d885360ea72f,1643973365888,13.4025271,52.4723462,6.620431e-06,-0.0936742,0.08929324,0.038755417,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,34677695-e0ae-433a-a170-9ee141255930,1643973365938,13.4025271,52.4723462,6.620431e-06,-0.10311335,0.050141573,0.04523754,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,d715c0d9-94fb-484a-a2d1-2c3f946feb9c,1643973365990,13.4025271,52.4723462,6.620431e-06,-0.1032085,0.031051874,0.053700447,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,ca352f34-09a0-4408-98f2-3320d935476c,1643973366056,13.4025271,52.4723462,6.620431e-06,-0.0546052,-0.040933847,0.08580303,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,7d96930f-5321-496f-9dce-9b45bec5dd64,01ec1104-d1c6-46a4-818a-4ba8026187e6,1643973366106,13.4025271,52.4723462,6.620431e-06,-0.121693805,-0.07025719,0.0832386,on bike mount,cyclo cross,True,paving stones,good
