bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,1efd4586-31a1-40de-b0ba-7931ecc8abf8,1633681905222,0.0,0.0,0.0,2.1938152,-0.5492034,6.925565,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,460b989c-8700-4097-9ff1-e2f0efbfdc7a,1633681905300,13.422007,52.4979872,5.3804936,2.2320843,-3.141001,3.3457446,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,88e2eb16-a0bc-492e-a231-d7372b3da263,1633681905356,13.422007,52.4979872,5.3804936,4.662748,8.507644,-0.8275666,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,c27f87c2-7fb1-4dca-9a03-285cdbc71cc6,1633681905423,13.422007,52.4979872,5.3804936,9.904018,-9.233927,7.7881317,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,2b90d892-abbe-49ed-a71d-52f0718318d7,1633681905489,13.422007,52.4979872,5.3804936,5.8094306,-2.0759664,5.6055565,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,9e7cc585-9807-4eb8-adf1-2383d89ad922,1633681905557,13.422007,52.4979872,5.3804936,3.4417684,-3.7423556,1.4507055,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,5aaadace-8d76-4b6e-ba35-2f6ea42e7598,1633681905607,13.422007,52.4979872,5.3804936,-2.1406736,-9.94985,6.2901373,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,cab3d510-4e88-4471-ba33-32aaf37327c6,1633681905657,13.422007,52.4979872,5.3804936,5.9102316,4.4259014,8.449278,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,e83707f0-4a55-43b2-8ea2-e1e751b9a925,1633681905707,13.422007,52.4979872,5.3804936,0.9977454,-8.178516,1.5271606,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,b37b6af9-af53-4ca1-9a30-66d2d39678bb,1633681905773,13.422007,52.4979872,5.3804936,3.1426752,-3.862945,6.3105974,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,8b72d463-632a-4e86-9946-8696b69e8166,1633681905824,13.422007,52.4979872,5.3804936,2.8722937,-0.7513342,-9.595057,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,3d4fdaa6-0af2-402c-9c2f-7c0af7ba7cf3,1633681905873,13.422007,52.4979872,5.3804936,6.527533,2.8654885,7.560384,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,6c16f7b4-5152-49e4-a71b-4ea8f19e6e0b,1633681905924,13.422007,52.4979872,5.3804936,-0.49500346,-8.339149,9.751997,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,607d68c5-6262-4dc5-bea0-7d2f68f055a9,1633681905991,13.422007,52.4979872,5.3804936,1.6409104,2.4472914,5.2104206,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,f318a56b-2162-49ee-80b8-cdba837a8daf,1633681906040,13.422007,52.4979872,5.3804936,0.63029146,0.19599152,2.9370165,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,bd869e98-0e87-4b94-8c65-714797d04dd7,1633681906091,13.422007,52.4979872,5.3804936,-0.15203881,-9.556584,0.187891,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,28a54a1b-c337-46a5-82c8-373f4ed4c9ae,1633681906157,13.422007,52.4979872,5.3804936,4.0134563,-1.5234146,3.6661339,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,9012940e-ad2a-4884-9efd-0612641d0546,1633681906207,13.422007,52.4979872,5.3804936,2.7444363,-2.0106595,-7.289974,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,ec8d2bf2-c70a-4608-96fd-224fc28bdc3a,1633681906258,13.422007,52.4979872,5.3804936,4.6055403,-8.348971,0.8122854,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,8546d023-4e13-42b3-be49-13681b4e1d37,1633681906324,13.422007,52.4979872,5.3804936,3.4848526,-9.812968,2.556161,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,c8b927d7-7cab-46f1-9904-681513cee8b3,1633681906374,13.422007,52.4979872,5.3804936,-0.44676828,-4.3431363,-3.7690644,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,61062c18-c5d9-4905-aa42-f17073480213,1633681906425,13.422007,52.4979872,5.3804936,2.2665277,-5.173258,1.8572488,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,100eade4-12c3-487b-8bf2-3a11734377b1,1633681906491,13.422007,52.4979872,5.3804936,2.00625,0.3101015,3.6639462,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,9fcc08c3-b926-4f01-8a75-ce9f22d5d165,1633681906541,13.422007,52.4979872,5.3804936,3.3081548,5.4703093,-0.97838783,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,1d029786-b022-4d03-9792-3bd7fee622d4,1633681906608,13.422007,52.4979872,5.3804936,9.176057,0.2165842,-1.3777804,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,673a40d5-2ab6-42e1-a176-01d0e0ad0c76,1633681906658,13.4201923,52.4957287,3.27,-0.93633366,0.2546792,1.4522338,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,4f16b4f0-494e-4574-af43-c3b4beda7a71,1633681906708,13.4201923,52.4957287,3.27,5.7953396,-2.309574,-0.64550734,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,96b4e7e5-6192-4736-bf44-9d333bd864ac,1633681906775,13.4201923,52.4957287,3.27,7.365948,4.228286,6.824852,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,b078314e-31f3-4eca-b43b-06c9c7242109,1633681906826,13.4201923,52.4957287,3.27,3.6033773,-2.5993412,-1.2246733,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,be5b89ba-b3ca-4802-8706-6def8befa323,80903d2a-1a01-4efe-8076-b2abe163789f,1633681906893,13.4201923,52.4957287,3.27,4.9134135,0.6911125,0.9041376,on bike mount,cyclo cross,True,sett,intermediate
