bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,483ca2a1-80ad-4a9c-b386-756f417c41eb,1644074348586,0.0,0.0,0.0,0.03315324,0.10242963,0.07999802,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,37e10c57-fdd5-4c5a-95b8-a45d341470c1,1644074348649,13.4304903,52.4955639,9.4941366e-05,-0.07461784,-0.10542989,0.036133766,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,96acb13c-0cf3-439d-b278-b710800737e2,1644074348697,13.4304903,52.4955639,9.4941366e-05,0.013846142,-0.07497883,0.0672884,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,27669c1d-bde9-4bcd-b13e-9bc2bd7aed04,1644074348753,13.4304903,52.4955639,9.4941366e-05,0.036453933,-0.12641335,0.089487076,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,d8a32fc2-8a39-40e6-8670-bc106dcfd0c5,1644074348809,13.4304903,52.4955639,9.4941366e-05,0.10847236,-0.09803581,0.0073461533,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,c928142b-f81c-45c1-a18f-78877e99e0e7,1644074348866,13.4304903,52.4955639,9.4941366e-05,0.104601495,0.41593122,-0.004559517,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,ac070b80-8eaf-4876-ac22-4d1c761c7089,1644074348920,13.4304903,52.4955639,9.4941366e-05,0.09751207,0.28437567,0.028155327,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,4372fb19-7563-4af2-925f-430877a97e98,1644074348978,13.4304903,52.4955639,9.4941366e-05,-0.042689964,0.22756147,-0.085567474,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,58d02e18-4c70-4590-95a2-2ef3261bc39d,1644074349031,13.4304903,52.4955639,9.4941366e-05,-0.051549748,0.43805265,-0.19198608,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,06440b7a-7da7-445e-87ef-b02e11b3fdf6,1644074349086,13.4304903,52.4955639,9.4941366e-05,-0.42423123,0.9134383,-0.34170628,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,45fc433d-f2b3-45c5-b3e3-897398884899,1644074349143,13.4304903,52.4955639,9.4941366e-05,-0.21638408,1.0977821,-0.5209656,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,96b036f7-463c-4ebd-8171-6d871f5d9f58,1644074349198,13.4304903,52.4955639,9.4941366e-05,-0.80473995,1.5589828,-1.1258402,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,29cfdd94-049f-4b5f-acac-ef94980bdade,1644074349254,13.4304903,52.4955639,9.4941366e-05,-0.62455016,2.3720493,-1.555737,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,489434d5-da00-4cc1-98bd-0087d4711130,1644074349309,13.4304903,52.4955639,9.4941366e-05,-0.94626665,0.75002766,-0.7742157,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,4a46f062-625c-4794-9dfb-76599bc27eaf,1644074349364,13.4304904,52.4955638,3.2126714e-05,-0.32258528,1.6129761,-1.4877162,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,5571039d-a086-4e41-a762-d691a8d1e7a8,1644074349420,13.4304904,52.4955638,3.2126714e-05,-0.45024595,2.468875,-0.5976162,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,ce814b38-2751-4fa8-b7f7-1303e6899b80,1644074349475,13.4304904,52.4955638,3.2126714e-05,-0.3570843,2.4619493,-0.94044256,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,11e7ef42-b7b5-48c6-a6da-853d11ddb3ae,1644074349532,13.4304904,52.4955638,3.2126714e-05,-0.94908607,0.0032858849,0.1401062,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,0ce4d35c-e960-421b-bf25-a42c8b4710a4,1644074349587,13.4304904,52.4955638,3.2126714e-05,1.6732386,1.6261163,-1.8981476,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,79ee6294-fe13-40fd-9010-0491ff5da793,1644074349643,13.4304904,52.4955638,3.2126714e-05,-1.0296423,0.24998713,2.9735918,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,c7c29fac-a4b7-4cec-8f1e-25c269bf9591,1644074349697,13.4304904,52.4955638,3.2126714e-05,-1.2293313,-0.6582229,0.25616646,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,2279987e-33aa-4737-8e88-2487cf79211f,1644074349753,13.4304904,52.4955638,3.2126714e-05,0.549011,0.6467924,-0.2277298,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,2d2c40a0-f425-4901-95b0-773fdc63497c,1644074349811,13.4304904,52.4955638,3.2126714e-05,0.30758655,0.94196224,-0.44240856,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,b0c7f326-b5ca-4db8-a9cc-23cc2342646e,1644074349864,13.4304904,52.4955638,3.2126714e-05,-1.1635232,0.48932314,-1.2154508,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ffb139b2-a1bd-4846-9ce3-e686d8c188e3,c19b18db-ae17-4036-b8b4-52094aad84d5,1644074349920,13.4304904,52.4955638,3.2126714e-05,-1.2514439,1.548912,1.1812077,on bike mount,cyclo cross,True,sett,intermediate
