bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,cd66f174-c9a4-4e54-97c0-b444399e8d78,1632391352497,0.0,0.0,0.0,-0.00040136278,-0.3458023,0.22144413,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,b151799a-5845-4a06-b4cd-69edeaf55017,1632391352615,13.4245167,52.4964493,0.0,-0.12513593,-0.0011150837,0.027277946,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,eb7eca88-220a-4c51-a4a8-ce97a8e8b2ad,1632391352673,13.4245167,52.4964493,0.0,-0.17311642,0.2774787,-0.19135475,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,41503716-b536-47b2-bf46-d99db46dcfbf,1632391352723,13.4245167,52.4964493,0.0,-0.077794045,0.42318726,-0.17326736,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,ec71e512-76a6-4861-aa6f-c34926a4cedb,1632391352774,13.4245167,52.4964493,0.0,-0.04726829,0.56040883,-0.21570301,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,850fff5e-2f1a-494e-8216-6e7aaef67e61,1632391352824,13.4245167,52.4964493,0.0,0.013508916,0.6393337,-0.25081158,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,9dcf2708-9e15-474d-9e98-e6e6b91b6d83,1632391352890,13.4245167,52.4964493,0.0,0.090447605,0.81218886,-0.37842655,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,60e1c4b4-48b5-4227-86ff-c80fcd9eaf62,1632391352940,13.4245167,52.4964493,0.0,-0.04527277,0.68531513,-0.18724918,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,bf856f81-fa19-4f72-8ba1-232a0ed96641,1632391352991,13.4245167,52.4964493,0.0,0.045607373,0.88597393,-0.26389408,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,9844125a-8dc1-4a4f-9460-e2d97eec34b7,9deb6950-2b64-4f1a-bff7-4eea886a7522,1632391353041,13.4245167,52.4964493,0.0,-0.14196242,0.025686026,-0.5816164,on bike mount,cyclo cross,True,sett,intermediate
