bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,335b9941-8b4a-45c9-a399-1490c1f22001,1633625221448,0.0,0.0,0.0,-1.2722446,4.5062447,4.105419,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,443f1a4b-4a04-42b7-b5c0-62dafa2f10f7,1633625221500,13.4201537,52.4964828,2.8392313,1.55036,-26.565456,5.9613705,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,fe6b68bd-b763-4f67-a80a-638c0c5d1f5e,1633625221550,13.4201537,52.4964828,2.8392313,-0.08483642,-20.376827,9.355088,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,b2e11a70-cb48-4ec3-8c00-bc11ad866e6a,1633625221601,13.4201537,52.4964828,2.8392313,-17.70486,23.725632,18.350878,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,e2f4e118-65ae-4be4-8f1a-a96478a844ec,1633625221651,13.4201537,52.4964828,2.8392313,-0.23457307,-1.9963864,7.6356306,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,6a4de22d-0828-4ed5-a927-2011143aa0ca,1633625221701,13.4201537,52.4964828,2.8392313,-0.01845187,-11.518698,6.895336,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,df1131f3-cbd7-4167-a935-cd5b2b9fe50c,1633625221751,13.4201537,52.4964828,2.8392313,3.0189896,11.860867,-13.12444,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,05926e97-020d-47ed-8ca9-8b4f89099394,1633625221801,13.4201537,52.4964828,2.8392313,-1.7081642,1.1905336,1.9521093,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,f348ca7e-6345-4dcf-8b67-19209106c36c,1633625221852,13.4201537,52.4964828,2.8392313,12.7117405,-10.944275,-11.767544,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,9f6f69fc-c341-48a2-9aaf-8948c30088ae,3a0fa6f2-f98b-4f8b-af0c-2456d42e1b54,1633625221902,13.4201537,52.4964828,2.8392313,-3.298953,19.700497,2.557788,on bike mount,cyclo cross,True,sett,intermediate
