bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,501c52c3-7532-498f-b13d-044b9d9549a2,1632650825632,0.0,0.0,0.0,2.0447805,10.523337,-1.9623761,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,90be6e7c-9e6e-4944-bfc9-8cf4c15d2df6,1632650825695,13.4330745,52.4950105,6.187734,-7.9054785,2.5132742,11.282129,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,055dfbb7-3f94-4c7e-a5b5-483c06157c08,1632650825745,13.4330745,52.4950105,6.187734,-5.9719954,-3.4538074,6.7511015,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,05a12eee-1e33-4a0e-b7b9-9a8d31c61180,1632650825794,13.4330745,52.4950105,6.187734,-4.0239024,-5.0624866,4.167383,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,0b5921a4-5d12-4358-8614-393832971561,1632650825844,13.4330745,52.4950105,6.187734,-4.807842,-5.6377997,2.0600164,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,bf4435b9-1e57-4d7b-b14c-689c15650cd0,1632650825895,13.4330745,52.4950105,6.187734,-8.327784,-13.354492,26.607212,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,db50ea25-790d-4d66-a292-6bec33eb17c2,1632650825946,13.4330745,52.4950105,6.187734,1.7715383,-3.7564597,2.1567607,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,a11cf647-0266-451f-8fdd-d684e950ad83,1632650825995,13.4330745,52.4950105,6.187734,-2.3697233,11.328841,16.325521,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,d5eb03f1-8fb1-4172-836e-4b73f9b6b16c,1632650826046,13.4325986,52.4946317,5.130091,-19.281832,-7.8085074,9.358196,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,a5acd3c0-bfd8-4f6e-bc1b-44bee762a58e,1632650826097,13.4325986,52.4946317,5.130091,5.5180035,-8.677964,7.468402,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,3803e83e-75c3-4d17-8eb9-b7561de7a0cd,1632650826145,13.4325986,52.4946317,5.130091,-12.828375,-13.224533,15.53642,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,c6193762-68ad-4d5b-92a1-8db97e3e5b42,1632650826196,13.4325986,52.4946317,5.130091,-10.140851,-0.5265305,8.7572775,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,51c78acc-1bf1-4db9-bc03-a974f3f0501e,1632650826244,13.4325986,52.4946317,5.130091,-7.3263726,-4.1736197,16.14445,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,0400cf20-2dc4-432d-b67d-b95f049d913e,1632650826295,13.4325986,52.4946317,5.130091,1.3199492,1.8820715,3.179148,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,8a0c4d4d-0946-4cf4-826d-e19663c46c1f,1632650826346,13.4325986,52.4946317,5.130091,-11.407164,0.883121,2.8764582,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,771f7751-557b-461b-bf3b-40d5eb9942b2,1632650826397,13.4325986,52.4946317,5.130091,-7.108698,-5.9377413,7.5472918,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,f69706a9-0dab-49d7-882e-08b4c137908c,1632650826447,13.4325986,52.4946317,5.130091,-8.720637,3.3149967,14.775068,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,4f79e622-3027-4ce8-8a8a-ad8aaf3bbb8b,1632650826497,13.4325986,52.4946317,5.130091,-2.970831,-1.3740945,-1.6408391,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,4803125d-5f71-4f66-900a-a313cd360609,1632650826546,13.4325986,52.4946317,5.130091,-5.142151,9.678137,-5.945303,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,46a9bdc3-af72-41aa-8ef9-a226e81906a6,1632650826596,13.4325986,52.4946317,5.130091,-2.1635685,12.103498,2.3817532,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,32e025e1-9ace-40ed-b2d6-95c28980c45c,1632650826647,13.4325986,52.4946317,5.130091,-12.178141,-12.025802,19.119091,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,a793771e-23a4-4a34-911a-a54f7c88214c,1632650826698,13.4325986,52.4946317,5.130091,-7.6745076,-1.3383706,11.357902,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,3b3b7590-9407-4e95-96c2-4af6e6ab18a3,1632650826748,13.4325986,52.4946317,5.130091,-3.3368416,-0.37232876,-2.5382426,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,8b5423fb-329b-4de5-8425-ac6e76ba2d65,1632650826799,13.4325986,52.4946317,5.130091,-3.3598602,2.6241007,1.2183604,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,91c3cfd5-96df-42ad-8eb8-6234eddadf50,1632650826849,13.4325986,52.4946317,5.130091,-4.2243505,0.08613515,-2.107625,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,6a9abb85-42ef-4258-8aaf-1b43ade5f38e,1632650826899,13.4325986,52.4946317,5.130091,-9.397368,-1.7217656,7.02149,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,d065feaa-5a02-4cec-8333-b4d1708d3d47,1632650826950,13.4325986,52.4946317,5.130091,-1.6471477,4.501753,-4.775387,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,30ee2001-8722-4c1d-8f59-dbb54322492e,1632650827000,13.4325986,52.4946317,5.130091,-4.1571846,-3.016667,5.9370418,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,19ff30a0-6b70-4f5b-9ae7-d5f26e8448f7,1632650827050,13.4325986,52.4946317,5.130091,-7.049768,4.380397,3.7374206,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,1e5c4068-edd7-48f3-a2a9-d5883dccff43,1632650827100,13.4329387,52.4947604,2.4796047,-11.691359,-1.0125265,10.450287,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,1596a6d4-c83d-4289-99f0-92476c49e9d3,1632650827149,13.4329387,52.4947604,2.4796047,-5.023987,-0.72823,-0.05023551,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,b9689146-5e4d-45f7-95d5-ab57cfb2c3d8,1632650827199,13.4329387,52.4947604,2.4796047,-7.3517118,1.6915722,4.351882,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,8b044baa-9843-485e-b94f-731cd3c4ce1a,1632650827250,13.4329387,52.4947604,2.4796047,-3.2996924,-11.1826515,21.199993,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,44eef5f4-1aae-4fd3-a86f-7a3438c0a715,1632650827300,13.4329387,52.4947604,2.4796047,-6.912818,-0.5367613,6.1235056,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,b2d169f1-175e-4052-ac0c-83c9b3bdf667,1632650827350,13.4329387,52.4947604,2.4796047,-8.399762,-1.043433,0.10722494,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,7896c98a-80de-4f2b-bccc-91a25c2e90c1,1632650827402,13.4329387,52.4947604,2.4796047,-7.46737,1.5468602,0.18911481,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,5529ad62-e961-4d5e-9172-54574f214426,1632650827453,13.4329387,52.4947604,2.4796047,-5.3982153,4.723872,-0.77920055,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,5bc19abe-9d0e-426e-b2b1-8211f2a88324,1632650827503,13.4329387,52.4947604,2.4796047,-1.3189673,0.35831428,9.783026,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,09d35ce6-3040-4ef3-8ff1-78562eda2aa8,1632650827554,13.4329387,52.4947604,2.4796047,-7.165656,-6.835026,9.186333,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,24db7b0f-dd10-4108-aabf-b39173232418,1632650827603,13.4329387,52.4947604,2.4796047,-6.7221794,2.1413856,2.404519,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,26796790-cb14-443a-ac24-66076acdeb3a,1632650827653,13.4329387,52.4947604,2.4796047,-4.7165256,0.3054552,9.787016,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,08ea767c-e513-4210-9115-ce7606b5b999,1632650827703,13.4329387,52.4947604,2.4796047,-8.039757,6.3977747,1.6098721,on bike mount,cyclo cross,True,sett,intermediate
a96b5a89-73b3-47d2-ba91-3e06bdcd6feb,113ffb20-5584-448e-9573-cb02ef9b3ec5,10a0e24d-124f-43cd-95a1-7707f18296a0,1632650827754,13.4329387,52.4947604,2.4796047,-11.715044,-4.9768543,15.607159,on bike mount,cyclo cross,True,sett,intermediate
