bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,42e92e84-c1d4-4ce5-a194-55a7f27cc915,1644075903922,0.0,0.0,0.0,-0.097756565,0.5761428,-0.53793955,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,8134d984-ab08-4e9d-babf-6c4595b1c6cf,1644075903972,13.4357795,52.4916289,4.1202135,1.6190214,-1.2714052,6.2088814,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,5ace316b-e7b3-40dd-8807-33753b8310dc,1644075904027,13.4357795,52.4916289,4.1202135,-0.8883461,-4.2473264,0.49106026,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,5910350a-d364-4706-887b-9ba98961cfff,1644075904084,13.4357795,52.4916289,4.1202135,-2.7805357,4.37235,-12.813668,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,43da0054-6e2b-4281-999e-abf8d50558a1,1644075904140,13.4357795,52.4916289,4.1202135,1.9951115,-15.09784,0.9830494,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,fe2b0ff4-f6a0-4253-b795-c887d0cfe3ae,1644075904195,13.4357795,52.4916289,4.1202135,5.0224714,5.7806187,8.176376,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,11f1b007-dac0-4dc2-b220-97a08bb37bb8,1644075904250,13.4357795,52.4916289,4.1202135,1.9157491,14.0220585,-12.955314,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,3669ed55-0f3f-41f1-a314-89b0335746ab,1644075904308,13.4357795,52.4916289,4.1202135,0.1883668,-13.093115,-4.121468,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,233718f5-c342-49cd-a979-4b443a762338,1644075904365,13.435829,52.4916118,4.121255,-0.06288934,0.36121988,-6.6356983,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,d23a7dc3-9ee0-4002-b9d5-38a94c014cf6,81173f03-6244-4e4d-9ee5-c777df340c88,1644075904417,13.435829,52.4916118,4.121255,4.333107,7.187482,-5.6309395,on bike mount,cyclo cross,True,sett,intermediate
